"id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SMc02813",29.2635819343923,-7.47724009266401,0.689699139719529,-10.8413069729283,2.19315201296086e-27,3.92968719313717e-27
"SM_b21552",19.1463320923932,-6.3596680514981,0.738088789620462,-8.61639973527894,6.90922447719022e-18,1.17188626185069e-17
"SMc02118",4961.42129520417,-25.3322867569784,0.214453060919875,-118.125088298195,0,0
"SMc02120",419.261221829408,-18.5914785498695,0.244995589816005,-75.8849519039588,0,0
"SMc02121",1179.25845500246,-21.4843931929632,0.217094378375794,-98.9633787558213,0,0
"SMc02119",943.882261427486,-20.9101919481644,0.258180859139928,-80.9904809280675,0,0
"SMc01156",203.366779734509,-15.0732687200904,0.303086956984511,-49.7324888872095,0,0
"SMc01346",124.047981297228,-13.8192345261617,0.42523445003849,-32.4979185597754,1.14098176740433e-231,3.88799000361949e-231
"SMc01578",640.867142116577,-17.3328541461955,0.30451016123243,-56.9204458598196,0,0
"SMc04386",104.011891717946,-14.0620674872224,0.432145969610147,-32.5400870911935,2.89186405996387e-232,9.8670202114988e-232
"SMc00294",1324.09150877279,-19.9427506455298,0.243469135142416,-81.9107959366773,0,0
"SM_b20924",256.156372999755,-16.2184063861826,0.236380599886279,-68.6114105556258,0,0
"SMc01415",74.954414932776,-13.2482901461759,0.544349741280668,-24.3378275793927,7.80072887834444e-131,2.04562217171174e-130
"SMc00690",538.117405569723,-17.4085567215944,0.245444016667783,-70.9267920152946,0,0
"SMc01344",883.940344510748,-18.724614609493,0.256207831556285,-73.0836934052871,0,0
"SMc01345",2731.42300167649,-22.7088147922912,0.22178041371016,-102.393238484842,0,0
"SMc02764",895.12853252839,-19.5946564440983,0.175614574250029,-111.577621207,0,0
"SMc00768",46.6484287349297,-10.187584007397,0.563149748526509,-18.090364124379,3.79570918805294e-73,8.19330348480096e-73
"SM_b21184",197.480058434963,-15.4998671194075,0.330933504057489,-46.8368023465974,0,0
"SMc03846",2089.43598362579,-20.8422421166532,0.224280919176963,-92.9291809269256,0,0
"SM_b20102",294.605280803386,-16.4406855377792,0.239959741396271,-68.5143492909043,0,0
"SMc00573",1282.80692532736,-19.8091960778608,0.327034302258046,-60.5722272589935,0,0
"SMc02654",118.843748952563,-13.8764430060676,0.347467500281801,-39.9359450734633,0,0
"SMc04278",455.869731242357,-17.5545839282686,0.296418138604382,-59.2223674668509,0,0
"SM_b21497",452.321829074866,-16.7048192317553,0.219462469978962,-76.1169745030057,0,0
"SM_b21498",609.330772459739,-17.8003902033129,0.217966446185666,-81.6657357809573,0,0
"SMc04093",811.578118919772,-19.4021533626052,0.183932967141068,-105.484914771829,0,0
"SMc00774",543.694510862254,-18.2330334225879,0.206907564732829,-88.1216375347677,0,0
"SMc00741",128.677822052718,-14.0754157802859,0.347956864087735,-40.4516111995333,0,0
"SMc02584",1064.90042448477,-20.8680023469796,0.293103994216621,-71.1965812774184,0,0
"SMc02585",456.298933745522,-19.1725007095114,0.342476605773777,-55.9819280683242,0,0
"SMc01728",127.077167348436,-13.6348848045054,0.35317405581741,-38.6066999540718,0,0
"SMc04120",91.4558217522136,-12.2110385873573,0.415828670715249,-29.3655523231567,1.51282839060782e-189,4.65743859140413e-189
"SMc01533",285.408654431188,-16.3381613097019,0.263155166341645,-62.0856566748557,0,0
"SM_b21278",197.000063382342,-12.4787659968498,0.384969690467571,-32.4149311123521,1.69102001465634e-230,5.74249776552896e-230
"SMa1715",115.599370380665,-13.5012100523307,0.293329737028548,-46.0274167532379,0,0
"SMa1718",78.5174538555771,-12.9748963787655,0.414884141000852,-31.2735414457282,1.06868507613006e-214,3.48977302523231e-214
"SMa1296",629.026059251866,-20.1093855115468,0.317323721664189,-63.3718317876901,0,0
"SMc04270",376.247834068587,-15.8061716414419,0.257760824236121,-61.3210781284697,0,0
