"id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SMc02813",29.2635819343923,-11.7650761179148,0.642231059460324,-18.3190705971168,5.82999569710707e-75,1.28402773512726e-74
"SM_b21552",19.1463320923932,-8.84937162683225,0.815383623613964,-10.8530161393355,1.92951120817315e-27,3.53170658306906e-27
"SMc02118",4961.42129520417,-25.115660368318,0.20977889404007,-119.724438834732,0,0
"SMc02120",419.261221829408,-17.7851452016481,0.243182333094489,-73.1350216742005,0,0
"SMc02121",1179.25845500246,-20.706142829696,0.212102496118969,-97.6232868946617,0,0
"SMc02119",943.882261427486,-20.1870455138732,0.252886889239454,-79.8263823584718,0,0
"SMc01156",203.366779734509,-14.7749997962432,0.311762442955964,-47.391852771471,0,0
"SMc01346",124.047981297228,-13.6099695012151,0.427800187457677,-31.8138465111392,4.16533689423731e-222,1.38302474796486e-221
"SMc01578",640.867142116577,-15.9549258472854,0.309698713376217,-51.5175722667713,0,0
"SMc04386",104.011891717946,-14.2788490563383,0.436431596256061,-32.7172669871516,8.8736918249501e-235,3.02769752560528e-234
"SMc00294",1324.09150877279,-20.2775058858767,0.236237927840691,-85.8350988396369,0,0
"SM_b20924",256.156372999755,-14.9396091305591,0.250024836287917,-59.7525004010215,0,0
"SMc01415",74.954414932776,-9.80439931825665,0.618709366079847,-15.8465345051708,1.48550045538877e-56,3.07158773899863e-56
"SMc00690",538.117405569723,-16.7611651677626,0.249637301804571,-67.1420699014128,0,0
"SMc01344",883.940344510748,-19.2153894808841,0.248710556225951,-77.2600478743941,0,0
"SMc01345",2731.42300167649,-22.1622933211381,0.216220348118681,-102.498647856091,0,0
"SMc02764",895.12853252839,-18.9289817914672,0.176980135255959,-106.955403577306,0,0
"SMc00768",46.6484287349297,-11.1695270736962,0.573597974441729,-19.472744973633,1.86978267980522e-84,4.24701643152771e-84
"SM_b21184",197.480058434963,-16.0314374495054,0.322689475466615,-49.6806951212884,0,0
"SMc03846",2089.43598362579,-21.0339246098548,0.219404031310957,-95.8684509312584,0,0
"SM_b20102",294.605280803386,-17.2847476804369,0.237278807845512,-72.8457287752843,0,0
"SMc00573",1282.80692532736,-20.0255441669081,0.317220432702574,-63.1281661029824,0,0
