"id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SinmeB_2114",29.2635819343923,-8.78590187880771,0.689629396566379,-12.7400338827668,3.54240947172619e-37,6.46743225112706e-37
"SinmeB_3679",19.1463320923932,-9.16982311503459,0.738871676056193,-12.4105760339596,2.28999293756674e-35,4.14831748584867e-35
"SinmeB_1109",4961.42129520417,-24.4535356374775,0.22213301649855,-110.085101363746,0,0
"SinmeB_1107",419.261221829408,-15.659359168894,0.261708909973926,-59.8350249919048,0,0
"SinmeB_1106",1179.25845500246,-19.2399152400642,0.226237179621646,-85.04311834262,0,0
"SinmeB_1108",943.882261427486,-18.2166084030536,0.269433624366232,-67.6107462307393,0,0
"SinmeB_3470",203.366779734509,-15.0787449654777,0.319883177643319,-47.1382867850933,0,0
"SinmeB_0944",124.047981297228,-12.5690661006713,0.447595145980304,-28.0813279892549,1.65627301565271e-173,4.8642641220933e-173
"SinmeB_2152",640.867142116577,-16.0299727747366,0.317842385462803,-50.4337165460036,0,0
"SinmeB_3058",104.011891717946,-13.418256224493,0.466464182021238,-28.7658875893756,5.73252489933561e-182,1.72324361189074e-181
"SinmeB_1472",1324.09150877279,-19.8427009961034,0.247937236578083,-80.0311452606446,0,0
"SinmeB_3621",256.156372999755,-15.6386575821087,0.247846958727993,-63.0980410749029,0,0
"SinmeB_1920",74.954414932776,-11.5330817277042,0.577106796054017,-19.9843110609023,7.54210765392372e-89,1.68933813182902e-88
"SinmeB_2514",538.117405569723,-17.0640266282496,0.255190437284511,-66.867813738745,0,0
"SinmeB_0946",883.940344510748,-17.3970550908159,0.264515441353392,-65.7695255967061,0,0
"SinmeB_0945",2731.42300167649,-21.5301631834515,0.228385671578602,-94.2710767914425,0,0
"SinmeB_3136",895.12853252839,-19.2440525534764,0.184560445617838,-104.269647209913,0,0
"SinmeB_0320",46.6484287349297,-12.7351742794728,0.564598749438374,-22.5561503495021,1.16861124719226e-112,2.84211142498266e-112
"SinmeB_3813",197.480058434963,-15.4376122068796,0.334599787824515,-46.1375433237753,0,0
"SinmeB_3001",2089.43598362579,-21.6237888184423,0.231077896288424,-93.5779196788785,0,0
"SinmeB_4563",294.605280803386,-17.2125290411773,0.2485957701263,-69.2390262007774,0,0
"SinmeB_0767",1282.80692532736,-19.7582930341506,0.333762280366631,-59.1986997825115,0,0
"SinmeB_0692",118.843748952563,-13.4910618387914,0.365716673204694,-36.8893813907148,6.83925918787994e-298,2.74995937554359e-297
"SinmeB_1754",455.869731242357,-17.7040296122902,0.303486244977318,-58.3355255972584,0,0
"SinmeB_4901",452.321829074866,-18.6957046508635,0.219637121181394,-85.120878248186,0,0
"SinmeB_4900",609.330772459739,-19.3306449690354,0.220171913944369,-87.7979603425701,0,0
"SinmeB_3093",811.578118919772,-19.2314444486366,0.194648531975317,-98.8008707462294,0,0
"SinmeB_0327",543.694510862254,-18.9539101138532,0.212570943181741,-89.1651033304594,0,0
"SinmeB_2462",128.677822052718,-13.216923925863,0.366526335031751,-36.0599571234578,9.62877182109679e-285,3.75512605192576e-284
