Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR000182:GNAT domain	29	0.759758973015457	0.021582340608652	61602384, 61604342, 61604682, 61602267, 61602444, 61603832, 61601753, 61603609, 61603090, 61603583, 61602671, 61604452, 61603760, 61600470, 61604710, 61601882, 61602895, 61604334, 61603024, 61603124, 61604553, 61600795, 61602776, 61601669, 61604617, 61602912, 61604616, 61603916, 61604095	2954	36	4890	1.33350259535094	1	1	1
INTERPRO	IPR015797:NUDIX hydrolase domain-like	13	0.340581608593136	0.042104248234247	61602242, 61602561, 61602393, 61601066, 61602638, 61602759, 61603826, 61603508, 61603219, 61603836, 61604627, 61601707, 61604085	2954	14	4890	1.5371409227198	1	1	1
INTERPRO	IPR016181:Acyl-CoA N-acyltransferase	38	0.995546240503013	0.048104033300581	61602384, 61602660, 61604342, 61604682, 61602267, 61602444, 61601872, 61603310, 61603832, 61601753, 61603609, 61603090, 61603583, 61604178, 61602671, 61604452, 61603760, 61600470, 61604710, 61601882, 61602895, 61604334, 61603024, 61603124, 61604553, 61599990, 61602954, 61600795, 61602776, 61601669, 61604617, 61602779, 61602912, 61604616, 61603916, 61604092, 61603360, 61604095	2954	51	4890	1.23342227886415	1	1	1
INTERPRO	IPR000835:Transcription regulator HTH, MarR-type	15	0.392978779145926	0.049314219148098	61601780, 61602591, 61604666, 61601784, 61603332, 61601630, 61604400, 61604328, 61604658, 61600864, 61601655, 61602427, 61603938, 61602718, 61604295	2954	17	4890	1.46063164602334	1	1	1
INTERPRO	IPR013766:Thioredoxin domain	12	0.314383023316741	0.060957030464805	61602395, 61601508, 61604693, 61604033, 61604643, 61601044, 61602783, 61604109, 61603215, 61602380, 61603618, 61603926	2954	13	4890	1.52804541430134	1	1	1
INTERPRO	IPR011991:Winged helix-turn-helix DNA-binding domain	23	0.602567461357087	0.061395460235609	61604243, 61603174, 61599776, 61601001, 61603862, 61603456, 61603027, 61604401, 61604685, 61601464, 61600047, 61603545, 61602544, 61603359, 61603348, 61600811, 61602537, 61602427, 61601823, 61600418, 61604152, 61603030, 61602390	2954	29	4890	1.31288959447155	1	1	1
INTERPRO	IPR001412:Aminoacyl-tRNA synthetase, class I, conserved site	9	0.235787267487556	0.073547361248687	61604100, 61603064, 61604363, 61603213, 61602265, 61602986, 61604789, 61602979, 61601878	2954	9	4890	1.65538253215978	1	1	1
INTERPRO	IPR014729:Rossmann-like alpha/beta/alpha sandwich fold	26	0.681163217186272	0.078983562207703	61604100, 61602264, 61604363, 61603213, 61601794, 61603258, 61602265, 61602986, 61603317, 61604668, 61604789, 61604107, 61601730, 61604106, 61601879, 61601878, 61604198, 61603064, 61603043, 61601020, 61602410, 61599532, 61602979, 61599271, 61603626, 61602409	2954	34	4890	1.26588075988689	1	1	1
INTERPRO	IPR015813:Pyruvate/Phosphoenolpyruvate kinase-like domain	11	0.288184438040346	0.087392515143517	61601491, 61601915, 61602397, 61602892, 61602178, 61603625, 61599495, 61603812, 61604249, 61604634, 61604074	2954	12	4890	1.51743398781313	1	1	1
INTERPRO	IPR000086:NUDIX hydrolase domain	11	0.288184438040346	0.087392515143517	61601707, 61602242, 61601066, 61602638, 61603826, 61602759, 61604085, 61603508, 61603219, 61603836, 61604627	2954	12	4890	1.51743398781313	1	1	1
INTERPRO	IPR020568:Ribosomal protein S5 domain 2-type fold	15	0.392978779145926	0.099442065365169	61603631, 61601487, 61601530, 61602585, 61601941, 61602701, 61602896, 61602715, 61602815, 61601723, 61601855, 61601922, 61602835, 61601818, 61602282	2954	18	4890	1.37948544346649	1	1	1
												
												
												
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
PFAM	PF00583:Acetyltransferase (GNAT) family	15	0.392978779145926	0.099413433534796	61603760, 61600470, 61602267, 61601882, 61602895, 61602444, 61604334, 61604553, 61603124, 61600795, 61601753, 61603832, 61601669, 61603916, 61603609	2835	18	4693	1.37948265726043	1	1	1
