Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR000182:GNAT domain	29	0.7597589730154571	0.021582340608651912	61602384, 61604342, 61604682, 61602267, 61602444, 61603832, 61601753, 61603609, 61603090, 61603583, 61602671, 61604452, 61603760, 61600470, 61604710, 61601882, 61602895, 61604334, 61603024, 61603124, 61604553, 61600795, 61602776, 61601669, 61604617, 61602912, 61604616, 61603916, 61604095	2954	36	4890	1.3335025953509365	1.0	1.0	1.0
INTERPRO	IPR015797:NUDIX hydrolase domain-like	13	0.34058160859313596	0.04210424823424704	61602242, 61602561, 61602393, 61601066, 61602638, 61602759, 61603826, 61603508, 61603219, 61603836, 61604627, 61601707, 61604085	2954	14	4890	1.5371409227197987	1.0	1.0	1.0
INTERPRO	IPR016181:Acyl-CoA N-acyltransferase	38	0.9955462405030129	0.04810403330058116	61602384, 61602660, 61604342, 61604682, 61602267, 61602444, 61601872, 61603310, 61603832, 61601753, 61603609, 61603090, 61603583, 61604178, 61602671, 61604452, 61603760, 61600470, 61604710, 61601882, 61602895, 61604334, 61603024, 61603124, 61604553, 61599990, 61602954, 61600795, 61602776, 61601669, 61604617, 61602779, 61602912, 61604616, 61603916, 61604092, 61603360, 61604095	2954	51	4890	1.2334222788641522	1.0	1.0	1.0
INTERPRO	IPR000835:Transcription regulator HTH, MarR-type	15	0.39297877914592616	0.04931421914809839	61601780, 61602591, 61604666, 61601784, 61603332, 61601630, 61604400, 61604328, 61604658, 61600864, 61601655, 61602427, 61603938, 61602718, 61604295	2954	17	4890	1.4606316460233382	1.0	1.0	1.0
INTERPRO	IPR013766:Thioredoxin domain	12	0.3143830233167409	0.06095703046480459	61602395, 61601508, 61604693, 61604033, 61604643, 61601044, 61602783, 61604109, 61603215, 61602380, 61603618, 61603926	2954	13	4890	1.5280454143013384	1.0	1.0	1.0
INTERPRO	IPR011991:Winged helix-turn-helix DNA-binding domain	23	0.6025674613570867	0.061395460235609225	61604243, 61603174, 61599776, 61601001, 61603862, 61603456, 61603027, 61604401, 61604685, 61601464, 61600047, 61603545, 61602544, 61603359, 61603348, 61600811, 61602537, 61602427, 61601823, 61600418, 61604152, 61603030, 61602390	2954	29	4890	1.3128895944715522	1.0	1.0	1.0
INTERPRO	IPR001412:Aminoacyl-tRNA synthetase, class I, conserved site	9	0.23578726748755569	0.07354736124868703	61604100, 61603064, 61604363, 61603213, 61602265, 61602986, 61604789, 61602979, 61601878	2954	9	4890	1.6553825321597833	1.0	1.0	1.0
INTERPRO	IPR014729:Rossmann-like alpha/beta/alpha sandwich fold	26	0.6811632171862719	0.0789835622077025	61604100, 61602264, 61604363, 61603213, 61601794, 61603258, 61602265, 61602986, 61603317, 61604668, 61604789, 61604107, 61601730, 61604106, 61601879, 61601878, 61604198, 61603064, 61603043, 61601020, 61602410, 61599532, 61602979, 61599271, 61603626, 61602409	2954	34	4890	1.2658807598868933	1.0	1.0	1.0
INTERPRO	IPR015813:Pyruvate/Phosphoenolpyruvate kinase-like domain	11	0.2881844380403458	0.08739251514351738	61601491, 61601915, 61602397, 61602892, 61602178, 61603625, 61599495, 61603812, 61604249, 61604634, 61604074	2954	12	4890	1.5174339878131347	1.0	1.0	1.0
INTERPRO	IPR000086:NUDIX hydrolase domain	11	0.2881844380403458	0.08739251514351738	61601707, 61602242, 61601066, 61602638, 61603826, 61602759, 61604085, 61603508, 61603219, 61603836, 61604627	2954	12	4890	1.5174339878131347	1.0	1.0	1.0
INTERPRO	IPR020568:Ribosomal protein S5 domain 2-type fold	15	0.39297877914592616	0.09944206536516902	61603631, 61601487, 61601530, 61602585, 61601941, 61602701, 61602896, 61602715, 61602815, 61601723, 61601855, 61601922, 61602835, 61601818, 61602282	2954	18	4890	1.379485443466486	1.0	1.0	1.0
