"id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SMc02813",29.2635819343923,-9.03307272654131,0.62263009091196,-14.5079283163309,1.079313107983e-47,2.07544064455082e-47
"SM_b21552",19.1463320923932,-7.98201147886919,0.708493353341443,-11.2661769390269,1.9275905287546e-29,3.40373152309e-29
"SMc02118",4961.42129520417,-24.2477262274882,0.209693081286649,-115.634364656704,0,0
"SMc02120",419.261221829408,-16.2879489503974,0.247018061549393,-65.93829150886,0,0
"SMc02121",1179.25845500246,-19.1772271471813,0.211176595637205,-90.8113282597241,0,0
"SMc02119",943.882261427486,-19.0518680713392,0.25394770985543,-75.0227993085082,0,0
"SMc01156",203.366779734509,-15.8446934417704,0.287859938243665,-55.0430655215326,0,0
"SMc01346",124.047981297228,-13.5222305633884,0.406309327422836,-33.2806304230279,7.36198196468895e-243,2.47664463456933e-242
"SMc01578",640.867142116577,-20.347678848678,0.285894868352001,-71.1718925420704,0,0
"SMc04386",104.011891717946,-13.7969288079368,0.418197229583107,-32.991439999951,1.07760324928778e-238,3.59307086788241e-238
"SMc00294",1324.09150877279,-20.5041338263891,0.231680543516446,-88.5017512268292,0,0
"SM_b20924",256.156372999755,-16.7551434252171,0.2256642482427,-74.2481077782294,0,0
"SMc01415",74.954414932776,-13.3590752364784,0.528286756400328,-25.2875452103045,4.3791981425142e-141,1.1445828852989e-140
"SMc00690",538.117405569723,-18.7974115138432,0.230047090086449,-81.7111466473205,0,0
"SMc01344",883.940344510748,-20.1608960765665,0.243029658594502,-82.9565255251629,0,0
"SMc01345",2731.42300167649,-22.9798540876395,0.213601455950577,-107.582853241209,0,0
"SMc02764",895.12853252839,-20.1640702558482,0.167284370319908,-120.537682135439,0,0
"SMc00768",46.6484287349297,-11.4237619544612,0.539734515361354,-21.1655205093062,1.98557838256082e-99,4.57974319850497e-99
"SM_b21184",197.480058434963,-13.1984345173008,0.348663255327271,-37.8543890577519,0,0
"SMc03846",2089.43598362579,-24.6057865011562,0.212752763379825,-115.654368527415,0,0
"SM_b20102",294.605280803386,-15.3599185697381,0.243841326362828,-62.9914493939516,0,0
"SMc00573",1282.80692532736,-19.8561648581354,0.310644623719246,-63.9192290547445,0,0
"SMc02654",118.843748952563,-14.431956174713,0.337187871371444,-42.8009350277457,0,0
"SMc04278",455.869731242357,-16.5535872852648,0.278308306584994,-59.4793144638297,0,0
"SM_b21497",452.321829074866,-16.6938148544545,0.217537571330589,-76.7399155573228,0,0
"SM_b21498",609.330772459739,-18.686071108557,0.212803816647156,-87.8089096472354,0,0
"SMc04093",811.578118919772,-19.9899282942551,0.175248269849887,-114.066337495816,0,0
"SMc00774",543.694510862254,-17.9290191996587,0.19869731311671,-90.2328215637604,0,0
"SMc00741",128.677822052718,-14.0034412046271,0.335775744783098,-41.7047431870726,0,0
"SMc02584",1064.90042448477,-17.5575024333809,0.283563961799796,-61.917256064355,0,0
"SMc02585",456.298933745522,-15.5443179856476,0.341685553807468,-45.493050005873,0,0
"SMc01728",127.077167348436,-13.6134966154766,0.344998498035935,-39.4595822676845,0,0
"SMc04120",91.4558217522136,-13.678453256119,0.385794171548685,-35.4553133895464,2.40228027414223e-275,8.70345152917586e-275
"SMc01533",285.408654431188,-17.4463375474701,0.249996730854926,-69.7862627555491,0,0
"SM_b21278",197.000063382342,-12.8963815643946,0.372370223858574,-34.633224511777,7.99105361762643e-263,2.81144319669962e-262
"SMa1715",115.599370380665,-13.5896831154655,0.295343431257414,-46.0131551177825,0,0
