ID	Gene Name	Species
SMC00334	(d)CMP kinase(cmk)	Sinorhizobium meliloti 2011	
SMC03922	1,4-alpha-glucan branching protein GlgB(glgB)	Sinorhizobium meliloti 2011	
SMC01116	1-acyl-sn-glycerol-3-phosphate acyltransferase(SM2011_RS16370)	Sinorhizobium meliloti 2011	
SMC02158	1-acyl-sn-glycerol-3-phosphate acyltransferase(SM2011_RS16790)	Sinorhizobium meliloti 2011	
SMC00714	1-acyl-sn-glycerol-3-phosphate acyltransferase(SM2011_RS27925)	Sinorhizobium meliloti 2011	
SMC00579	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA(rsmA)	Sinorhizobium meliloti 2011	
SMC01858	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH(rsmH)	Sinorhizobium meliloti 2011	
SMC02799	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG(rsmG)	Sinorhizobium meliloti 2011	
SMC00902	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD(rsmD)	Sinorhizobium meliloti 2011	
SMC00826	16S rRNA (uracil(1498)-N(3))-methyltransferase(SM2011_RS18250)	Sinorhizobium meliloti 2011	
SMC01732	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase(dapD)	Sinorhizobium meliloti 2011	
SMC00465	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase(folK)	Sinorhizobium meliloti 2011	
SMA0705	2-dehydro-3-deoxygalactonokinase(SM2011_RS01920)	Sinorhizobium meliloti 2011	
SMC00881	2-dehydro-3-deoxygalactonokinase(SM2011_RS18520)	Sinorhizobium meliloti 2011	
SM_B20019	2-oxo acid dehydrogenase subunit E2(SM2011_RS06690)	Sinorhizobium meliloti 2011	
SMC03203	2-oxo acid dehydrogenase subunit E2(SM2011_RS29305)	Sinorhizobium meliloti 2011	
SMC02483	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase(odhB)	Sinorhizobium meliloti 2011	
SMC01156	2-polyprenylphenol 6-hydroxylase(ubiB)	Sinorhizobium meliloti 2011	
SMC00608	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ(SM2011_RS20310)	Sinorhizobium meliloti 2011	
SMC03831	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN(rlmN)	Sinorhizobium meliloti 2011	
SMC03781	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH(rlmH)	Sinorhizobium meliloti 2011	
SMC00155	3-deoxy-7-phosphoheptulonate synthase class II(SM2011_RS23820)	Sinorhizobium meliloti 2011	
SMC01027	3-deoxy-8-phosphooctulonate synthase(kdsA)	Sinorhizobium meliloti 2011	
SM_B20803	3-deoxy-manno-octulosonate cytidylyltransferase(SM2011_RS09405)	Sinorhizobium meliloti 2011	
SMC02898	3-deoxy-manno-octulosonate cytidylyltransferase(SM2011_RS15460)	Sinorhizobium meliloti 2011	
SMC01172	3-mercaptopyruvate sulfurtransferase(sseA)	Sinorhizobium meliloti 2011	
SM_B20821	3-methyl-2-oxobutanoate hydroxymethyltransferase(SM2011_RS09490)	Sinorhizobium meliloti 2011	
SMC01881	3-methyl-2-oxobutanoate hydroxymethyltransferase(panB)	Sinorhizobium meliloti 2011	
SM_B20589	3-oxoadipyl-CoA thiolase(pcaF)	Sinorhizobium meliloti 2011	
SMC00333	3-phosphoshikimate 1-carboxyvinyltransferase(aroA)	Sinorhizobium meliloti 2011	
SMC01166	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)(iolD)	Sinorhizobium meliloti 2011	
SMC00862	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase(SM2011_RS18615)	Sinorhizobium meliloti 2011	
SM_B21186	4-aminobutyrate--2-oxoglutarate transaminase(SM2011_RS10885)	Sinorhizobium meliloti 2011	
SMC00502	4-carboxy-4-hydroxy-2-oxoadipate aldolase/oxaloacetate decarboxylase(SM2011_RS23385)	Sinorhizobium meliloti 2011	
SMC03104	5-aminolevulinate synthase(hemA)	Sinorhizobium meliloti 2011	
SMC01165	5-dehydro-2-deoxygluconokinase(iolC)	Sinorhizobium meliloti 2011	
SMC02263	5-guanidino-2-oxopentanoate decarboxylase(SM2011_RS17190)	Sinorhizobium meliloti 2011	
SMC01472	50S ribosomal protein L11 methyltransferase(SM2011_RS25355)	Sinorhizobium meliloti 2011	
SMC01609	6,7-dimethyl-8-ribityllumazine synthase(SM2011_RS25690)	Sinorhizobium meliloti 2011	
SMC01777	6,7-dimethyl-8-ribityllumazine synthase(ribH)	Sinorhizobium meliloti 2011	
SMC02813	AAC(3)-VI family aminoglycoside N-acetyltransferase(SM2011_RS26030)	Sinorhizobium meliloti 2011	
SMC00571	ACP S-malonyltransferase(fabD)	Sinorhizobium meliloti 2011	
SM_B21082	AGE family epimerase/isomerase(SM2011_RS09970)	Sinorhizobium meliloti 2011	
SMC00918	ATP phosphoribosyltransferase regulatory subunit(SM2011_RS18330)	Sinorhizobium meliloti 2011	
SMC00917	ATP phosphoribosyltransferase(hisG)	Sinorhizobium meliloti 2011	
SM_B20218	ATP-binding protein(SM2011_RS07635)	Sinorhizobium meliloti 2011	
SM_B20609	ATP-binding protein(SM2011_RS14055)	Sinorhizobium meliloti 2011	
SMC01595	ATP-binding protein(SM2011_RS26280)	Sinorhizobium meliloti 2011	
SMC02585	ActS/PrrB/RegB family redox-sensitive histidine kinase(SM2011_RS14640)	Sinorhizobium meliloti 2011	
SMC01352	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA(gatA)	Sinorhizobium meliloti 2011	
SMC01350	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB(gatB)	Sinorhizobium meliloti 2011	
SMC01353	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC(gatC)	Sinorhizobium meliloti 2011	
SMA1521	CBS domain-containing protein(SM2011_RS04175)	Sinorhizobium meliloti 2011	
SMC02700	CCA tRNA nucleotidyltransferase(SM2011_RS26400)	Sinorhizobium meliloti 2011	
SMC02159	CDP-alcohol phosphatidyltransferase family protein(SM2011_RS16785)	Sinorhizobium meliloti 2011	
SMC02134	CDP-alcohol phosphatidyltransferase family protein(SM2011_RS16950)	Sinorhizobium meliloti 2011	
SMC00601	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase(pgsA)	Sinorhizobium meliloti 2011	
SMC00552	CDP-diacylglycerol--serine O-phosphatidyltransferase(pssA)	Sinorhizobium meliloti 2011	
SMC01797	CatB-related O-acetyltransferase(SM2011_RS20610)	Sinorhizobium meliloti 2011	
SM_B20587	CoA transferase subunit A(SM2011_RS13950)	Sinorhizobium meliloti 2011	
SM_B21182	CoA transferase(SM2011_RS10865)	Sinorhizobium meliloti 2011	
SM_B20588	CoA-transferase subunit beta(SM2011_RS13955)	Sinorhizobium meliloti 2011	
SMC02444	ComF family protein(SM2011_RS27725)	Sinorhizobium meliloti 2011	
SM_B21270	Crp/Fnr family transcriptional regulator(SM2011_RS10500)	Sinorhizobium meliloti 2011	
SMA0093	D-amino-acid transaminase(SM2011_RS00255)	Sinorhizobium meliloti 2011	
SMC01047	D-amino-acid transaminase(SM2011_RS21785)	Sinorhizobium meliloti 2011	
SM_B21373	D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit(SM2011_RS11340)	Sinorhizobium meliloti 2011	
SMC03959	DNA ligase D(ligD)	Sinorhizobium meliloti 2011	
SMC02850	DNA polymerase I(polA)	Sinorhizobium meliloti 2011	
SMC01375	DNA polymerase III subunit alpha(dnaE)	Sinorhizobium meliloti 2011	
SMC00415	DNA polymerase III subunit beta(dnaN)	Sinorhizobium meliloti 2011	
SMC00586	DNA polymerase III subunit chi(SM2011_RS20200)	Sinorhizobium meliloti 2011	
SMC01190	DNA polymerase III subunit delta'(SM2011_RS22500)	Sinorhizobium meliloti 2011	
SMC02802	DNA polymerase III subunit delta(holA)	Sinorhizobium meliloti 2011	
SMC02789	DNA polymerase III subunit epsilon(dnaQ)	Sinorhizobium meliloti 2011	
SMC02905	DNA polymerase III subunit gamma/tau(SM2011_RS15490)	Sinorhizobium meliloti 2011	
SMC01373	DNA polymerase IV(SM2011_RS20900)	Sinorhizobium meliloti 2011	
SMC01285	DNA-directed RNA polymerase subunit alpha(SM2011_RS21360)	Sinorhizobium meliloti 2011	
SMC01316	DNA-directed RNA polymerase subunit beta'(rpoC)	Sinorhizobium meliloti 2011	
SMC01317	DNA-directed RNA polymerase subunit beta(rpoB)	Sinorhizobium meliloti 2011	
SMC02408	DNA-directed RNA polymerase subunit omega(rpoZ)	Sinorhizobium meliloti 2011	
SM_B21005	DUF1801 domain-containing protein(SM2011_RS12210)	Sinorhizobium meliloti 2011	
SMC04148	DUF1989 domain-containing protein(SM2011_RS14860)	Sinorhizobium meliloti 2011	
SMC01848	DUF3419 family protein(SM2011_RS25550)	Sinorhizobium meliloti 2011	
SMA1188	FAD:protein FMN transferase(SM2011_RS03245)	Sinorhizobium meliloti 2011	
SMC02335	FGGY family carbohydrate kinase(SM2011_RS27405)	Sinorhizobium meliloti 2011	
SMC02341	FGGY family carbohydrate kinase(SM2011_RS27440)	Sinorhizobium meliloti 2011	
SM_B20489	FGGY-family carbohydrate kinase(SM2011_RS08950)	Sinorhizobium meliloti 2011	
SM_B20852	FGGY-family carbohydrate kinase(SM2011_RS12275)	Sinorhizobium meliloti 2011	
SMC03003	FGGY-family carbohydrate kinase(SM2011_RS17540)	Sinorhizobium meliloti 2011	
SMC01618	FGGY-family carbohydrate kinase(SM2011_RS25735)	Sinorhizobium meliloti 2011	
SMC01503	FGGY-family carbohydrate kinase(SM2011_RS26775)	Sinorhizobium meliloti 2011	
SMC02334	FGGY-family carbohydrate kinase(SM2011_RS27400)	Sinorhizobium meliloti 2011	
SM_B21271	FkbM family methyltransferase(SM2011_RS10505)	Sinorhizobium meliloti 2011	
SM_B21092	GNAT family N-acetyltransferase(SM2011_RS10015)	Sinorhizobium meliloti 2011	
SM_B21153	GNAT family N-acetyltransferase(SM2011_RS10725)	Sinorhizobium meliloti 2011	
SM_B21552	GNAT family N-acetyltransferase(SM2011_RS11540)	Sinorhizobium meliloti 2011	
SMC02576	GNAT family N-acetyltransferase(SM2011_RS14595)	Sinorhizobium meliloti 2011	
SMC02865	GNAT family N-acetyltransferase(SM2011_RS15290)	Sinorhizobium meliloti 2011	
SMC00352	GNAT family N-acetyltransferase(SM2011_RS15710)	Sinorhizobium meliloti 2011	
SMC01127	GNAT family N-acetyltransferase(SM2011_RS16315)	Sinorhizobium meliloti 2011	
SMC01117	GNAT family N-acetyltransferase(SM2011_RS16365)	Sinorhizobium meliloti 2011	
SMC00906	GNAT family N-acetyltransferase(SM2011_RS18385)	Sinorhizobium meliloti 2011	
SMC00075	GNAT family N-acetyltransferase(SM2011_RS18995)	Sinorhizobium meliloti 2011	
SMC01775	GNAT family N-acetyltransferase(SM2011_RS20485)	Sinorhizobium meliloti 2011	
SMC01796	GNAT family N-acetyltransferase(SM2011_RS20605)	Sinorhizobium meliloti 2011	
SMC01349	GNAT family N-acetyltransferase(SM2011_RS21015)	Sinorhizobium meliloti 2011	
SMC01017	GNAT family N-acetyltransferase(SM2011_RS21630)	Sinorhizobium meliloti 2011	
SMC02105	GNAT family N-acetyltransferase(SM2011_RS21925)	Sinorhizobium meliloti 2011	
SMC01229	GNAT family N-acetyltransferase(SM2011_RS22275)	Sinorhizobium meliloti 2011	
SMC01171	GNAT family N-acetyltransferase(SM2011_RS22620)	Sinorhizobium meliloti 2011	
SMC01437	GNAT family N-acetyltransferase(SM2011_RS25170)	Sinorhizobium meliloti 2011	
SMC01462	GNAT family N-acetyltransferase(SM2011_RS25300)	Sinorhizobium meliloti 2011	
SMC04442	GNAT family N-acetyltransferase(SM2011_RS26070)	Sinorhizobium meliloti 2011	
SMC01824	GNAT family N-acetyltransferase(SM2011_RS26870)	Sinorhizobium meliloti 2011	
SMC00742	GNAT family N-acetyltransferase(SM2011_RS27780)	Sinorhizobium meliloti 2011	
SMC00739	GNAT family N-acetyltransferase(SM2011_RS27795)	Sinorhizobium meliloti 2011	
SMC00656	GNAT family N-acetyltransferase(SM2011_RS28215)	Sinorhizobium meliloti 2011	
SMC03151	GNAT family N-acetyltransferase(SM2011_RS29045)	Sinorhizobium meliloti 2011	
SMC03107	GNAT family N-acetyltransferase(SM2011_RS29595)	Sinorhizobium meliloti 2011	
SMC02490	GNAT family N-acetyltransferase(SM2011_RS29895)	Sinorhizobium meliloti 2011	
SMC03241	GNAT family N-acetyltransferase(SM2011_RS30115)	Sinorhizobium meliloti 2011	
SMC03773	GNAT family N-acetyltransferase(SM2011_RS30485)	Sinorhizobium meliloti 2011	
SMC03774	GNAT family N-acetyltransferase(SM2011_RS30490)	Sinorhizobium meliloti 2011	
SMC03840	GNAT family N-acetyltransferase(SM2011_RS30820)	Sinorhizobium meliloti 2011	
SMC01568	GatB/YqeY domain-containing protein(SM2011_RS26195)	Sinorhizobium meliloti 2011	
SM_B21560	HAMP domain-containing histidine kinase(SM2011_RS11580)	Sinorhizobium meliloti 2011	
SMC01716	HAMP domain-containing histidine kinase(SM2011_RS16585)	Sinorhizobium meliloti 2011	
SMC00059	HAMP domain-containing histidine kinase(SM2011_RS19415)	Sinorhizobium meliloti 2011	
SMC02367	HAMP domain-containing histidine kinase(SM2011_RS19535)	Sinorhizobium meliloti 2011	
SMC04212	HAMP domain-containing histidine kinase(SM2011_RS23960)	Sinorhizobium meliloti 2011	
SMC02752	HPr kinase/phosphorylase(SM2011_RS14520)	Sinorhizobium meliloti 2011	
SMC01374	L,D-transpeptidase family protein(SM2011_RS20895)	Sinorhizobium meliloti 2011	
SM_B21573	L,D-transpeptidase(SM2011_RS11645)	Sinorhizobium meliloti 2011	
SM_B21516	L,D-transpeptidase(SM2011_RS13205)	Sinorhizobium meliloti 2011	
SMC00925	L,D-transpeptidase(SM2011_RS18295)	Sinorhizobium meliloti 2011	
SMC00924	L,D-transpeptidase(SM2011_RS18300)	Sinorhizobium meliloti 2011	
SMC01200	L,D-transpeptidase(SM2011_RS22430)	Sinorhizobium meliloti 2011	
SMA0011	L-seryl-tRNA(Sec) selenium transferase(selA)	Sinorhizobium meliloti 2011	
SMC00294	LL-diaminopimelate aminotransferase(SM2011_RS23175)	Sinorhizobium meliloti 2011	
SMC02270	LTA synthase family protein(SM2011_RS17225)	Sinorhizobium meliloti 2011	
SMC00195	LTA synthase family protein(SM2011_RS23795)	Sinorhizobium meliloti 2011	
SM_B20868	MASE1 domain-containing protein(SM2011_RS12345)	Sinorhizobium meliloti 2011	
SMC01551	MBOAT family protein(SM2011_RS26100)	Sinorhizobium meliloti 2011	
SMC02875	N-acetylglucosamine kinase(SM2011_RS15340)	Sinorhizobium meliloti 2011	
SM_B20481	N-acetylglutaminylglutamine amidotransferase(SM2011_RS08910)	Sinorhizobium meliloti 2011	
SM_B20482	N-acetylglutaminylglutamine synthetase(ngg)	Sinorhizobium meliloti 2011	
SMC00230	N-acetyltransferase(SM2011_RS22795)	Sinorhizobium meliloti 2011	
SMC02707	N-acetyltransferase(SM2011_RS26435)	Sinorhizobium meliloti 2011	
SMC02982	N-acetyltransferase(SM2011_RS29005)	Sinorhizobium meliloti 2011	
SMC01331	NAD kinase(SM2011_RS21105)	Sinorhizobium meliloti 2011	
SMC00169	NADP-dependent malic enzyme(SM2011_RS23745)	Sinorhizobium meliloti 2011	
SMC00519	NTP transferase domain-containing protein(SM2011_RS23300)	Sinorhizobium meliloti 2011	
SMC01809	O-acetylhomoserine aminocarboxypropyltransferase(SM2011_RS20670)	Sinorhizobium meliloti 2011	
SMC02217	O-succinylhomoserine sulfhydrylase(SM2011_RS16955)	Sinorhizobium meliloti 2011	
SM_B20933	PAS domain S-box protein(SM2011_RS11860)	Sinorhizobium meliloti 2011	
SMC00776	PAS domain S-box protein(SM2011_RS17975)	Sinorhizobium meliloti 2011	
SMC00471	PAS domain-containing hybrid sensor histidine kinase/response regulator(SM2011_RS23570)	Sinorhizobium meliloti 2011	
SM_B20515	PAS domain-containing protein(SM2011_RS09095)	Sinorhizobium meliloti 2011	
SMC01507	PAS domain-containing protein(SM2011_RS26760)	Sinorhizobium meliloti 2011	
SMC02756	PAS domain-containing sensor histidine kinase(SM2011_RS14500)	Sinorhizobium meliloti 2011	
SMA1905	PBP1A family penicillin-binding protein(SM2011_RS05250)	Sinorhizobium meliloti 2011	
SM_B20039	PLP-dependent aminotransferase family protein(SM2011_RS06790)	Sinorhizobium meliloti 2011	
SM_B21525	PLP-dependent aminotransferase family protein(SM2011_RS11405)	Sinorhizobium meliloti 2011	
SMC00490	PLP-dependent aminotransferase family protein(SM2011_RS23440)	Sinorhizobium meliloti 2011	
SMC04323	PLP-dependent aminotransferase family protein(SM2011_RS24880)	Sinorhizobium meliloti 2011	
SMC01406	PLP-dependent aminotransferase family protein(SM2011_RS25000)	Sinorhizobium meliloti 2011	
SMC01976	PLP-dependent transferase(SM2011_RS27150)	Sinorhizobium meliloti 2011	
SMC00805	PQQ-binding-like beta-propeller repeat protein(SM2011_RS18135)	Sinorhizobium meliloti 2011	
SMC01141	PTS IIA-like nitrogen regulatory protein PtsN(ptsN)	Sinorhizobium meliloti 2011	
SMC02753	PTS sugar transporter subunit IIA(SM2011_RS14515)	Sinorhizobium meliloti 2011	
SMC01267	PrkA family serine protein kinase(SM2011_RS21450)	Sinorhizobium meliloti 2011	
SMC01130	RNA methyltransferase(SM2011_RS16300)	Sinorhizobium meliloti 2011	
SMC01327	RNA methyltransferase(SM2011_RS21135)	Sinorhizobium meliloti 2011	
SMC00482	RNA methyltransferase(SM2011_RS23510)	Sinorhizobium meliloti 2011	
SMC00649	RNA methyltransferase(SM2011_RS28250)	Sinorhizobium meliloti 2011	
SMC01139	RNA polymerase factor sigma-54(rpoN)	Sinorhizobium meliloti 2011	
SM_B20465	ROK family protein(SM2011_RS08830)	Sinorhizobium meliloti 2011	
SMC02880	ROK family protein(SM2011_RS15365)	Sinorhizobium meliloti 2011	
SMC03109	ROK family protein(SM2011_RS29580)	Sinorhizobium meliloti 2011	
SMC03817	ROK family protein(SM2011_RS30705)	Sinorhizobium meliloti 2011	
SMC02172	ROK family transcriptional regulator(SM2011_RS16725)	Sinorhizobium meliloti 2011	
SMC02470	ROK family transcriptional regulator(SM2011_RS29995)	Sinorhizobium meliloti 2011	
SMC00811	RlmE family RNA methyltransferase(SM2011_RS18175)	Sinorhizobium meliloti 2011	
SM_B20623	S-methyl-5-thioribose kinase(mtnK)	Sinorhizobium meliloti 2011	
SMC02877	SIS domain-containing protein(SM2011_RS15350)	Sinorhizobium meliloti 2011	
SMC04267	Stf0 family sulphotransferase(SM2011_RS24750)	Sinorhizobium meliloti 2011	
SM_B20238	TIGR04290 family methyltransferase(SM2011_RS07730)	Sinorhizobium meliloti 2011	
SMC00973	TlyA family RNA methyltransferase(SM2011_RS18795)	Sinorhizobium meliloti 2011	
SMC00049	TraR/DksA family transcriptional regulator(SM2011_RS19345)	Sinorhizobium meliloti 2011	
SMC02093	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase(lpxD)	Sinorhizobium meliloti 2011	
SMC02305	UDP-N-acetylglucosamine 1-carboxyvinyltransferase(murA)	Sinorhizobium meliloti 2011	
SMC02099	UMP kinase(pyrH)	Sinorhizobium meliloti 2011	
SMC04023	UTP--glucose-1-phosphate uridylyltransferase GalU(galU)	Sinorhizobium meliloti 2011	
SM_B20960	UTP--glucose-1-phosphate uridylyltransferase(SM2011_RS11995)	Sinorhizobium meliloti 2011	
SM_B21448	UdgX family uracil-DNA binding protein(SM2011_RS12880)	Sinorhizobium meliloti 2011	
SMC01145	VOC family protein(SM2011_RS16225)	Sinorhizobium meliloti 2011	
SMC00453	YdiU family protein(SM2011_RS19320)	Sinorhizobium meliloti 2011	
SMC01124	[protein-PII] uridylyltransferase(SM2011_RS16330)	Sinorhizobium meliloti 2011	
SM_B21184	acetate kinase(SM2011_RS10875)	Sinorhizobium meliloti 2011	
SMC01431	acetolactate synthase 3 large subunit(SM2011_RS25140)	Sinorhizobium meliloti 2011	
SMC01430	acetolactate synthase small subunit(ilvN)	Sinorhizobium meliloti 2011	
SMC02228	acetyl-CoA C-acetyltransferase(SM2011_RS17015)	Sinorhizobium meliloti 2011	
