"id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SMc02813",29.2635819343923,-12.2847184850064,0.674559660952887,-18.2114632642766,4.18607862917137e-74,9.34717557259072e-74
"SM_b21552",19.1463320923932,-9.25795047132602,0.788453346764413,-11.7419128339273,7.7708717547218e-32,1.4671717524014e-31
"SMc02118",4961.42129520417,-24.5587214562905,0.215074456033884,-114.187067628437,0,0
"SMc02120",419.261221829408,-16.0165583132794,0.253916713743471,-63.0779993847145,0,0
"SMc02121",1179.25845500246,-19.1476708127814,0.220945570028487,-86.6623884349104,0,0
"SMc02119",943.882261427486,-18.7208960943356,0.262352222002448,-71.3578713053968,0,0
"SMc01156",203.366779734509,-14.9736575680692,0.319109050580192,-46.9233246153458,0,0
"SMc01346",124.047981297228,-13.2680182082709,0.44550611534153,-29.7818991734816,6.70274744305535e-195,2.14971733686637e-194
"SMc01578",640.867142116577,-17.1106847754838,0.320314654583191,-53.4183638826924,0,0
"SMc04386",104.011891717946,-13.6478522737055,0.445630846153514,-30.6259146814178,5.53174269164493e-206,1.83133331721305e-205
"SMc00294",1324.09150877279,-20.3559895673013,0.24672019668001,-82.5063770263707,0,0
"SM_b20924",256.156372999755,-15.6923623115905,0.253710550110055,-61.8514378088865,0,0
"SMc01415",74.954414932776,-10.4270000421405,0.593938026973617,-17.5557037411307,5.37960813244636e-69,1.17534035136791e-68
"SMc00690",538.117405569723,-17.3627481537724,0.257266437509964,-67.489363641147,0,0
"SMc01344",883.940344510748,-19.0363119403239,0.260750790023028,-73.0057689897801,0,0
"SMc01345",2731.42300167649,-22.0387760701125,0.224076890996395,-98.353631970318,0,0
"SMc02764",895.12853252839,-19.2654817411706,0.182082268757403,-105.806467991888,0,0
"SMc00768",46.6484287349297,-13.2126601773196,0.56366676048754,-23.4405522970547,1.65033717334524e-121,4.28372717557844e-121
"SM_b21184",197.480058434963,-14.996133329627,0.334599145931025,-44.8182056409621,0,0
"SMc03846",2089.43598362579,-22.8719340549122,0.226470785512586,-100.99286759281,0,0
"SM_b20102",294.605280803386,-16.8869547859087,0.243076962964681,-69.4716380357374,0,0
"SMc00573",1282.80692532736,-20.3981054126429,0.329167213735521,-61.9688248448473,0,0
"SMc02654",118.843748952563,-13.4235517903932,0.371072844551651,-36.1749774673278,1.50669349137363e-286,6.07052410762815e-286
"SMc04278",455.869731242357,-17.0400569372158,0.305385635549814,-55.7984887093233,0,0
"SM_b21497",452.321829074866,-18.7582242945976,0.218632902880483,-85.7978101532682,0,0
"SM_b21498",609.330772459739,-19.5605047997483,0.217652445365562,-89.8703654208669,0,0
"SMc04093",811.578118919772,-19.1585638474143,0.18948187629617,-101.110270923582,0,0
"SMc00774",543.694510862254,-18.3309877703165,0.21135648236196,-86.7301895142428,0,0
"SMc00741",128.677822052718,-12.806382156979,0.373262524477824,-34.3093166797136,5.69900989476802e-258,2.15045177756299e-257
"SMc02584",1064.90042448477,-19.3043064480849,0.295085186260903,-65.4194359693025,0,0
"SMc02585",456.298933745522,-16.9294515105093,0.347172093083735,-48.7638604823749,0,0
"SMc01728",127.077167348436,-14.5937173449523,0.362398471492661,-40.26980932023,0,0
"SMc04120",91.4558217522136,-13.4630758852559,0.424951747852151,-31.6814225457426,2.80089089624747e-220,9.61469014688423e-220
"SMc01533",285.408654431188,-16.6427109834473,0.271806704042837,-61.2299503136038,0,0
"SM_b21278",197.000063382342,-15.4802667450816,0.388266485356985,-39.8702111279281,0,0
"SMa1715",115.599370380665,-14.1107547400713,0.309268132602825,-45.6262810568747,0,0
"SMa1718",78.5174538555771,-12.587008627054,0.43612296562497,-28.8611460967589,3.67190442238499e-183,1.14020777686073e-182
"SMa1296",629.026059251866,-14.2866542714122,1.21969833193322,-11.7132686807629,1.08995055672824e-31,2.05492704485427e-31
"SMc04270",376.247834068587,-16.6000626893931,0.269502114948208,-61.5952965437145,0,0
"SMc01270",1154.8258730228,-20.4621272101779,0.261634194443391,-78.2089178125578,0,0
"SMc01288",842.20335390827,-18.9658482724297,0.213011040614116,-89.0369260567466,0,0
"SMc04400",30.5737164577057,-9.0858578175744,0.721408215223714,-12.5946137371846,2.26063863218989e-36,4.36402024456671e-36
"SM_b21643",10.4055493198371,-7.77684767460678,1.28448969556268,-6.05442589494661,1.40919327221283e-09,2.24477534540408e-09
"SMc03064",144.173587416786,-13.7633820026538,0.350840865935597,-39.229700240166,0,0
"SMc03061",754.33620010265,-20.5978931586756,0.363832799804665,-56.6136235373343,0,0
"SMc03062",98.8545285144829,-12.6886237386448,0.445052761707387,-28.5103808590391,8.71056953446985e-179,2.67749298282635e-178
"SMc03063",52.9432965451807,-11.377983613334,0.497603538319473,-22.8655601038535,1.02330692272926e-115,2.60235834465135e-115
"SMc03065",150.076046462169,-14.1268105622893,0.402938563505909,-35.0594652429741,2.79739761769571e-269,1.08400870937557e-268
"SMc03060",63.4225610854558,-12.3270061432328,0.532208219096707,-23.1619988209782,1.10052415857849e-118,2.82782507153907e-118
"SM_b21647",6.18124303098253,-6.88675115779932,1.32520988342325,-5.19672486897671,2.02830211723152e-07,3.14545910689884e-07
"SM_b21646",2.28031691426205,-5.57622460347288,1.52447984700078,-3.65778833642398,0.000254400996411567,0.000376860363479881
"SM_b21645",1.63767646057133,-4.64679621275399,1.61750158122449,-2.87282328913475,0.00406821601076577,0.00585861624711334
"SM_b21644",5.54512910414659,-6.82878427975669,1.39080827853559,-4.90993933897694,9.11045707673562e-07,1.40265923729613e-06
"SM_b21649",14.3309110329819,-8.77016775118546,1.27144913021472,-6.89777321229077,5.28239854251146e-12,8.66953518836338e-12
"SMc02755",7474.03747662152,-24.9127686079127,0.294011142197319,-84.7340968839648,0,0
"SMc01359",645.225178890716,-17.716026494303,0.209672021582624,-84.4939938127212,0,0
"SMc00475",1970.35707576233,-21.3668444918993,0.236681402592587,-90.276820476171,0,0
"SMc01173",405.97505723913,-17.2976785214666,0.250347377713823,-69.0947062415007,0,0
"SMc01169",4941.76926062904,-27.1935398523093,0.378831907599056,-71.7826014832155,0,0
"SM_b20843",76.9344181737257,-13.6797894107872,0.772870832612299,-17.6999685245588,4.19541619577515e-70,9.20686645182732e-70
"SMc02566",50.2377000202181,-13.2385467004409,0.555565208558117,-23.828970022798,1.67327635705135e-125,4.39519850810998e-125
"SM_b20873",109.259048266209,-13.2914276862634,0.327106111671785,-40.6333822939996,0,0
"SMc00557",182.787979991254,-14.9100998855285,0.382856436146549,-38.9443626326325,0,0
"SMc01335",714.741986864362,-19.5392273278788,0.262400681686633,-74.4633253324134,0,0
"SMc02386",795.839249167733,-17.8787898953048,0.2210288901462,-80.8889276124891,0,0
"SM_b21600",8314.90247129336,-23.4878237744177,0.343036013276517,-68.4704312823402,0,0
"SMc03807",24.3651057056791,-9.22867225999392,0.797140624593598,-11.5772198471241,5.37614119913877e-31,1.00949431965785e-30
"SMc00527",253.39985327823,-15.8307790479318,0.324930606628618,-48.7204920834857,0,0
"SMc02135",185.028358742653,-15.9244467474063,0.319149498272975,-49.8965119280426,0,0
"SMc02698",165.717689091435,-14.2312078982732,0.334149338403894,-42.5893642831984,0,0
"SMc02648",31.0772852729026,-10.9183060649454,0.798306820781585,-13.6768292349748,1.39650699981682e-42,2.7702467673818e-42
"SMc01870",225.78819631896,-18.0006033806265,0.278514188082799,-64.6308308547467,0,0
"SMa0627",3.95664315608038,-7.41968086430197,1.38212848440238,-5.36830037730549,7.9482098983834e-08,1.2394004748879e-07
"SM_b20895",415.688168670193,-17.3273559980693,0.227632784885858,-76.1197733742866,0,0
"SM_b20894",296.729332072159,-16.4230757021892,0.340331394369148,-48.256129096264,0,0
"SM_b20893",198.39824442995,-15.5620687073395,0.347883103022973,-44.7336147461921,0,0
"SM_b20892",282.909052654711,-16.1444226190902,0.311382649827899,-51.8475343055022,0,0
"SM_b20891",388.810625660827,-17.661739141649,0.295405597181225,-59.7880991767867,0,0
"SM_b20890",354.916039445337,-17.4390064904622,0.228018763651443,-76.4805764718561,0,0
"SMa0693",140.152323973394,-10.1303952911503,1.22806366429126,-8.24907990173029,1.5961868998109e-16,2.7295658790496e-16
