sample,id_gene,camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut verb
1,SMc02575,579,573,574,573,574,574
2,SMc02576,576,580,581,580,581,581
3,SMc02582,578,578,578,579,579,573
4,SMc02615,575,575,575,576,576,580
5,SMc02854,781,572,577,781,577,577
6,SMc02857,564,566,562,564,781,562
7,SMc02866,37,782,563,37,564,563
8,SMc02868,509,13,507,509,562,507
9,SMc02882,566,508,511,572,563,511
10,SMc02890,583,555,44,782,37,44
11,SMc02911,1080,512,566,583,507,572
12,SMc00320,554,1081,671,1080,509,782
13,SMc00321,526,534,508,1090,511,671
14,SMc00324,1090,740,536,554,44,13
15,SMc00332,508,112,512,526,671,536
16,SMc00335,101,154,1073,13,583,555
17,SMc00362,552,836,337,555,1080,1073
18,SMc00365,930,814,741,101,1090,337
19,SMc00371,512,553,3,552,554,741
20,SMc00397,307,514,922,930,526,1081
21,SMc00399,525,1086,33,307,536,3
22,SMc00404,571,744,298,525,101,534
23,SMc01160,97,116,530,1081,552,740
24,SMc01159,155,584,514,571,930,112
25,SMc01142,111,299,738,97,307,922
26,SMc01106,175,215,38,534,1073,33
27,SMc01104,514,102,862,740,337,154
28,SMc01095,244,800,299,112,741,836
29,SMc01092,299,861,102,155,525,814
30,SMc01721,102,855,198,154,3,298
31,SMc01720,556,7,783,836,571,530
32,SMc02178,850,556,241,814,97,553
33,SMc02172,969,850,801,111,155,738
34,SMc02171,560,969,786,553,922,1086
35,SMc02156,693,693,556,175,33,38
36,SMc02136,152,152,850,1086,111,862
37,SMc02229,582,582,969,744,298,744
38,SMc02243,236,560,693,244,649,116
39,SMc02254,732,236,152,116,530,584
40,SMc02255,898,732,582,584,175,649
41,SMc03004,529,898,236,215,738,198
42,SMc03006,787,529,649,800,38,215
43,SMc03007,549,787,732,861,862,800
44,SMc03008,9,9,898,855,244,783
45,SMc03009,30,549,560,7,198,861
46,SMc03010,98,30,529,628,783,855
47,SMc03011,742,98,787,664,241,241
48,SMc03012,256,742,549,627,801,7
49,SMc03014,36,256,9,632,786,801
50,SMc03017,664,36,30,616,629,786
51,SMc03019,627,628,98,635,664,628
52,SMc03020,616,632,742,882,672,629
53,SMc03021,635,646,256,640,633,672
54,SMc03022,882,622,36,639,627,633
55,SMc03023,646,640,629,648,616,632
56,SMc03024,622,777,672,656,635,640
57,SMc03025,626,626,633,655,882,648
