Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	25	12.2549019607843	1.98518350072957E-23	SMC01308, SMC01307, SMC01804, SMC01309, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01301, SMC01304, SMC01303, SMC00335, SMC01305, SMC01319, SMC03859, SMC01292, SMC01291, SMC01293, SMC01295, SMC01297, SMC01299, SMC00565, SMC01313, SMC00567	109	53	3453	14.94287692574	1.72710964563473E-21	1.72710964563473E-21	1.70725781062743E-21
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	25	12.2549019607843	3.49255199176339E-23	SMC01308, SMC01307, SMC01804, SMC01309, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01301, SMC01304, SMC01303, SMC00335, SMC01305, SMC01319, SMC03859, SMC01292, SMC01291, SMC01293, SMC01295, SMC01297, SMC01299, SMC00565, SMC01313, SMC00567	77	56	2419	14.024814471243	1.04776559752902E-21	5.23882798764508E-22	5.23882798764508E-22
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	25	12.2549019607843	3.49255199176339E-23	SMC01308, SMC01307, SMC01804, SMC01309, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01301, SMC01304, SMC01303, SMC00335, SMC01305, SMC01319, SMC03859, SMC01292, SMC01291, SMC01293, SMC01295, SMC01297, SMC01299, SMC00565, SMC01313, SMC00567	77	56	2419	14.024814471243	1.04776559752902E-21	5.23882798764508E-22	5.23882798764508E-22
UP_KW_CELLULAR_COMPONENT	KW-0969~Cilium	23	11.2745098039216	1.55379019640902E-21	SMC03071, SMC03050, SMC03020, SMC03042, SMC03054, SMC03021, SMC03032, SMC03051, SMC03030, SMC03024, SMC03025, SMC03047, SMC03014, SMC03022, SMC03033, SMC03034, SMC03028, SMC03039, SMC03029, SMC03026, SMC03037, SMC03049, SMC03038	81	38	1771	13.2335932423652	1.86454823569083E-20	6.21516078563609E-21	5.17930065469674E-21
UP_KW_CELLULAR_COMPONENT	KW-0282~Flagellum	23	11.2745098039216	1.55379019640902E-21	SMC03071, SMC03050, SMC03020, SMC03042, SMC03054, SMC03021, SMC03032, SMC03051, SMC03030, SMC03024, SMC03025, SMC03047, SMC03014, SMC03022, SMC03033, SMC03034, SMC03028, SMC03039, SMC03029, SMC03026, SMC03037, SMC03049, SMC03038	81	38	1771	13.2335932423652	1.86454823569083E-20	6.21516078563609E-21	5.17930065469674E-21
UP_KW_CELLULAR_COMPONENT	KW-0966~Cell projection	23	11.2745098039216	1.55379019640902E-21	SMC03071, SMC03050, SMC03020, SMC03042, SMC03054, SMC03021, SMC03032, SMC03051, SMC03030, SMC03024, SMC03025, SMC03047, SMC03014, SMC03022, SMC03033, SMC03034, SMC03028, SMC03039, SMC03029, SMC03026, SMC03037, SMC03049, SMC03038	81	38	1771	13.2335932423652	1.86454823569083E-20	6.21516078563609E-21	5.17930065469674E-21
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	23	11.2745098039216	1.25107031188171E-19	SMC01308, SMC01319, SMC01307, SMC01309, SMC01292, SMC03051, SMC01293, SMC01295, SMC02692, SMC03242, SMC01297, SMC01300, SMC01299, SMC01321, SMC00565, SMC01313, SMC01304, SMC00567, SMC01303, SMC00335, SMC00324, SMC01305, SMC01778	77	59	2419	12.2467532467532	3.75321093564512E-18	1.25107031188171E-18	1.25107031188171E-18
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	19	9.31372549019608	2.18346056679577E-18	SMC01308, SMC01319, SMC01307, SMC01309, SMC01292, SMC01293, SMC01295, SMC02692, SMC03242, SMC01297, SMC01300, SMC01299, SMC01321, SMC00565, SMC01313, SMC01304, SMC00567, SMC01303, SMC01305	77	38	2419	15.7077922077922	6.55038170038731E-17	1.63759542509683E-17	1.63759542509683E-17
GOTERM_BP_DIRECT	GO:0006412~translation	25	12.2549019607843	2.32711002371679E-17	SMC01308, SMC01307, SMC01804, SMC01309, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01301, SMC01304, SMC01303, SMC00335, SMC01305, SMC01319, SMC03859, SMC01292, SMC01291, SMC01293, SMC01295, SMC01297, SMC01299, SMC00565, SMC01313, SMC00567	99	61	2016	8.34575260804769	1.3031816132814E-15	1.27991051304424E-15	1.1635550118584E-15
UP_KW_CELLULAR_COMPONENT	KW-0975~Bacterial flagellum	14	6.86274509803922	8.69157536011929E-15	SMC03020, SMC03021, SMC03032, SMC03030, SMC03024, SMC03047, SMC03014, SMC03034, SMC03028, SMC03039, SMC03029, SMC03037, SMC03049, SMC03038	81	18	1771	17.0054869684499	1.03916875104915E-13	2.60747260803579E-14	2.17289384002982E-14
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	16	7.84313725490196	3.24081931575749E-14	SMC01308, SMC01307, SMC01309, SMC01292, SMC01293, SMC01295, SMC03242, SMC01297, SMC01300, SMC01299, SMC00565, SMC01313, SMC01304, SMC00567, SMC01303, SMC01305	109	36	3453	14.0795107033639	2.82041057175775E-12	1.40975640235451E-12	1.39355230577572E-12
GOTERM_BP_DIRECT	GO:0071973~bacterial-type flagellum-dependent cell motility	13	6.37254901960784	4.51005775384184E-13	SMC03020, SMC03032, SMC03030, SMC03024, SMC03047, SMC03014, SMC03034, SMC03028, SMC03039, SMC03029, SMC03037, SMC03049, SMC03038	99	17	2016	15.572192513369	2.52544651857534E-11	1.2402658823065E-11	1.12751443846046E-11
