Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
PFAM	PF06429:Flagellar basal body rod FlgEFG protein C-terminal	4	1.9607843137254901	3.053641989606679E-4	SMC03030, SMC03024, SMC03047, SMC03028	151	5	4693	24.863576158940393	0.05059503328853898	0.012977978455828387	0.012977978455828387
PFAM	PF00460:Flagella basal body rod protein	4	1.9607843137254901	3.053641989606679E-4	SMC03030, SMC03024, SMC03047, SMC03028	151	5	4693	24.863576158940393	0.05059503328853898	0.012977978455828387	0.012977978455828387
PFAM	PF00669:Bacterial flagellin N-terminal helical region	4	1.9607843137254901	3.053641989606679E-4	SMC03039, SMC03037, SMC03038, SMC03049	151	5	4693	24.863576158940393	0.05059503328853898	0.012977978455828387	0.012977978455828387
PFAM	PF00700:Bacterial flagellin C-terminal helical region	4	1.9607843137254901	3.053641989606679E-4	SMC03039, SMC03037, SMC03038, SMC03049	151	5	4693	24.863576158940393	0.05059503328853898	0.012977978455828387	0.012977978455828387
PFAM	PF00006:ATP synthase alpha/beta family, nucleotide-binding domain	3	1.4705882352941175	0.005836866283475973	SMC03025, SMC02501, SMC02796	151	4	4693	23.309602649006624	0.6303410488074307	0.1984534536381831	0.1984534536381831
PFAM	PF00015:Methyl-accepting chemotaxis protein (MCP) signalling domain	3	1.4705882352941175	0.031524394358289104	SMC03004, SMC01104, SMC00975	151	9	4693	10.359823399558499	0.9956840478501034	0.8931911734848579	0.8931911734848579
PFAM	PF01052:Surface presentation of antigens (SPOA)	2	0.9803921568627451	0.06290998783025056	SMC03020, SMC03021	151	2	4693	31.079470198675498	0.9999840477283262	1.0	1.0
PFAM	PF00012:Hsp70 protein	2	0.9803921568627451	0.06290998783025056	SMC02376, SMC02857	151	2	4693	31.079470198675498	0.9999840477283262	1.0	1.0
PFAM	PF12806:Acetyl-CoA dehydrogenase C-terminal like	2	0.9803921568627451	0.06290998783025056	SMC00977, SMC02229	151	2	4693	31.079470198675498	0.9999840477283262	1.0	1.0
PFAM	PF04183:IucA / IucC family	2	0.9803921568627451	0.06290998783025056	SMA2404, SMA2410	151	2	4693	31.079470198675498	0.9999840477283262	1.0	1.0
PFAM	PF01544:CorA-like Mg2+ transporter protein	2	0.9803921568627451	0.09287449472115807	SMC00978, SMC00399	151	3	4693	20.719646799116997	0.9999999364004183	1.0	1.0
PFAM	PF06276:Ferric iron reductase FhuF-like transporter	2	0.9803921568627451	0.09287449472115807	SMA2404, SMA2410	151	3	4693	20.719646799116997	0.9999999364004183	1.0	1.0
