Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-0966~Cell projection	16	12.213740458015266	3.772545431015908E-15	SMC03071, SMC03050, SMC03042, SMC03021, SMC03051, SMC03030, SMC03025, SMC03047, SMC03014, SMC03022, SMC03033, SMC03034, SMC03039, SMC03029, SMC03026, SMC03038	51	37	1767	14.982511923688394	4.529709940470639E-14	1.509018172406363E-14	1.3832666580391662E-14
UP_KW_CELLULAR_COMPONENT	KW-0282~Flagellum	16	12.213740458015266	3.772545431015908E-15	SMC03071, SMC03050, SMC03042, SMC03021, SMC03051, SMC03030, SMC03025, SMC03047, SMC03014, SMC03022, SMC03033, SMC03034, SMC03039, SMC03029, SMC03026, SMC03038	51	37	1767	14.982511923688394	4.529709940470639E-14	1.509018172406363E-14	1.3832666580391662E-14
UP_KW_CELLULAR_COMPONENT	KW-0969~Cilium	16	12.213740458015266	3.772545431015908E-15	SMC03071, SMC03050, SMC03042, SMC03021, SMC03051, SMC03030, SMC03025, SMC03047, SMC03014, SMC03022, SMC03033, SMC03034, SMC03039, SMC03029, SMC03026, SMC03038	51	37	1767	14.982511923688394	4.529709940470639E-14	1.509018172406363E-14	1.3832666580391662E-14
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	16	12.213740458015266	3.161345103082213E-14	SMC01308, SMC01804, SMC01309, SMC01292, SMC01283, SMC01293, SMC01297, SMC03881, SMC01300, SMC01321, SMC00565, SMC01313, SMC01301, SMC01304, SMC00335, SMC01305	49	56	2380	13.877551020408163	8.54316617449058E-13	4.267815889160987E-13	3.951681378852766E-13
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	16	12.213740458015266	3.161345103082213E-14	SMC01308, SMC01804, SMC01309, SMC01292, SMC01283, SMC01293, SMC01297, SMC03881, SMC01300, SMC01321, SMC00565, SMC01313, SMC01301, SMC01304, SMC00335, SMC01305	49	56	2380	13.877551020408163	8.54316617449058E-13	4.267815889160987E-13	3.951681378852766E-13
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	16	12.213740458015266	3.181229729649282E-14	SMC01308, SMC01804, SMC01309, SMC01292, SMC01283, SMC01293, SMC01297, SMC03881, SMC01300, SMC01321, SMC00565, SMC01313, SMC01301, SMC01304, SMC00335, SMC01305	72	53	3484	14.60796645702306	2.1667112548584555E-12	2.1632362161615116E-12	2.1632362161615116E-12
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	14	10.687022900763358	1.6402991719010586E-11	SMC01308, SMC01309, SMC01292, SMC03051, SMC01293, SMC01297, SMC01300, SMC01321, SMC00565, SMC01313, SMC01304, SMC00335, SMC01305, SMC01778	49	56	2380	12.142857142857142	4.4288073208775813E-10	1.4762692547109527E-10	1.3669159765842156E-10
GOTERM_BP_DIRECT	GO:0006412~translation	16	12.213740458015266	1.0585991180501305E-10	SMC01308, SMC01804, SMC01309, SMC01292, SMC01283, SMC01293, SMC01297, SMC03881, SMC01300, SMC01321, SMC00565, SMC01313, SMC01301, SMC01304, SMC00335, SMC01305	64	61	2024	8.295081967213115	4.65783456249369E-9	4.5519762076155614E-9	4.2343964722005225E-9
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	11	8.396946564885496	1.2979851652750326E-9	SMC01308, SMC01292, SMC01309, SMC01293, SMC01297, SMC01300, SMC01321, SMC01313, SMC00565, SMC01304, SMC01305	49	38	2380	14.06015037593985	3.504559886735592E-8	8.76139986560647E-9	8.112407282968954E-9
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	10	7.633587786259542	2.19430474597204E-8	SMC01308, SMC01292, SMC01309, SMC01293, SMC01297, SMC01300, SMC01313, SMC00565, SMC01304, SMC01305	72	36	3484	13.441358024691358	1.4921261324296609E-6	7.460636136304936E-7	7.460636136304936E-7
