Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-0966~Cell projection	14	10.852713178294573	1.7403780822675198E-12	SMC03050, SMC03042, SMC03021, SMC03040, SMC03052, SMC03035, SMC03025, SMC03014, SMC03033, SMC03029, SMC03048, SMC03027, SMC03038, SMC03019	49	37	1767	13.644787644787645	1.7403856134023954E-11	5.801260274225066E-12	3.4807561645350396E-12
UP_KW_CELLULAR_COMPONENT	KW-0282~Flagellum	14	10.852713178294573	1.7403780822675198E-12	SMC03050, SMC03042, SMC03021, SMC03040, SMC03052, SMC03035, SMC03025, SMC03014, SMC03033, SMC03029, SMC03048, SMC03027, SMC03038, SMC03019	49	37	1767	13.644787644787645	1.7403856134023954E-11	5.801260274225066E-12	3.4807561645350396E-12
UP_KW_CELLULAR_COMPONENT	KW-0969~Cilium	14	10.852713178294573	1.7403780822675198E-12	SMC03050, SMC03042, SMC03021, SMC03040, SMC03052, SMC03035, SMC03025, SMC03014, SMC03033, SMC03029, SMC03048, SMC03027, SMC03038, SMC03019	49	37	1767	13.644787644787645	1.7403856134023954E-11	5.801260274225066E-12	3.4807561645350396E-12
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	14	10.852713178294573	2.166435943858576E-11	SMC01318, SMC01290, SMC01292, SMC01294, SMC02101, SMC01298, SMC03881, SMC01300, SMC01310, SMC00485, SMC01302, SMC01313, SMC01304, SMC01306	74	53	3484	12.436511983681797	1.3431888934434255E-9	1.3431902851923171E-9	1.3215259257537313E-9
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	14	10.852713178294573	8.497559730545969E-11	SMC01318, SMC01290, SMC01292, SMC01294, SMC02101, SMC01298, SMC03881, SMC01300, SMC01310, SMC00485, SMC01302, SMC01313, SMC01304, SMC01306	55	56	2380	10.818181818181817	2.0394139710333548E-9	1.0197071676655164E-9	9.347315703600565E-10
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	14	10.852713178294573	8.497559730545969E-11	SMC01318, SMC01290, SMC01292, SMC01294, SMC02101, SMC01298, SMC03881, SMC01300, SMC01310, SMC00485, SMC01302, SMC01313, SMC01304, SMC01306	55	56	2380	10.818181818181817	2.0394139710333548E-9	1.0197071676655164E-9	9.347315703600565E-10
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	10	7.751937984496124	2.8200988882283783E-8	SMC01292, SMC01294, SMC01298, SMC01300, SMC00485, SMC01302, SMC01313, SMC01304, SMC01306, SMC01290	74	36	3484	13.078078078078079	1.7484598064942958E-6	8.742306553507973E-7	8.601301609096554E-7
GOTERM_BP_DIRECT	GO:0006412~translation	14	10.852713178294573	4.835980599074117E-8	SMC01318, SMC01290, SMC01292, SMC01294, SMC02101, SMC01298, SMC03881, SMC01300, SMC01310, SMC00485, SMC01302, SMC01313, SMC01304, SMC01306	70	61	2024	6.636065573770492	2.369627740694824E-6	2.3212706875555763E-6	2.272910881564835E-6
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	10	7.751937984496124	7.897656458078909E-8	SMC01292, SMC01294, SMC01298, SMC01300, SMC00485, SMC01302, SMC01313, SMC01304, SMC01306, SMC01290	55	38	2380	11.38755980861244	1.8954358294021034E-6	6.318125166463127E-7	5.791614735924533E-7
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	11	8.527131782945736	2.4593589444976584E-7	SMC01292, SMC01294, SMC01298, SMC01300, SMC00485, SMC01302, SMC01313, SMC01304, SMC01306, SMC01290, SMC01778	55	56	2380	8.5	5.902444772609705E-6	1.475615366698595E-6	1.3526474194737122E-6
UP_KW_CELLULAR_COMPONENT	KW-0975~Bacterial flagellum	7	5.426356589147287	4.24129777391404E-6	SMC03021, SMC03040, SMC03014, SMC03029, SMC03048, SMC03038, SMC03019	49	18	1767	14.023809523809522	4.241216826061933E-5	1.06032444347851E-5	6.36194666087106E-6
GOTERM_BP_DIRECT	GO:0071973~bacterial-type flagellum-dependent cell motility	7	5.426356589147287	1.161803530535351E-5	SMC03040, SMC03035, SMC03014, SMC03029, SMC03038, SMC03027, SMC03019	70	17	2024	11.905882352941177	5.691250238477608E-4	2.788328473284842E-4	2.7302382967580745E-4
