Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-0282~Flagellum	15	12.096774193548388	4.397888967995236E-14	SMC03050, SMC03020, SMC03042, SMC03054, SMC03021, SMC03032, SMC03024, SMC03025, SMC03014, SMC03033, SMC03028, SMC03029, SMC03037, SMC03049, SMC03038	48	37	1767	14.923986486486486	4.39648317751562E-13	1.4659629893317454E-13	1.0261740925322218E-13
UP_KW_CELLULAR_COMPONENT	KW-0966~Cell projection	15	12.096774193548388	4.397888967995236E-14	SMC03050, SMC03020, SMC03042, SMC03054, SMC03021, SMC03032, SMC03024, SMC03025, SMC03014, SMC03033, SMC03028, SMC03029, SMC03037, SMC03049, SMC03038	48	37	1767	14.923986486486486	4.39648317751562E-13	1.4659629893317454E-13	1.0261740925322218E-13
UP_KW_CELLULAR_COMPONENT	KW-0969~Cilium	15	12.096774193548388	4.397888967995236E-14	SMC03050, SMC03020, SMC03042, SMC03054, SMC03021, SMC03032, SMC03024, SMC03025, SMC03014, SMC03033, SMC03028, SMC03029, SMC03037, SMC03049, SMC03038	48	37	1767	14.923986486486486	4.39648317751562E-13	1.4659629893317454E-13	1.0261740925322218E-13
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	15	12.096774193548388	3.9390624229217266E-13	SMC01308, SMC01319, SMC01307, SMC01292, SMC01295, SMC02692, SMC03242, SMC01300, SMC01299, SMC01313, SMC01304, SMC00567, SMC01303, SMC00324, SMC01778	47	56	2380	13.563829787234043	9.059863970151127E-12	3.019947857573324E-12	2.6260416152811514E-12
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	15	12.096774193548388	3.9390624229217266E-13	SMC01308, SMC01319, SMC01307, SMC03859, SMC01292, SMC01291, SMC01295, SMC02692, SMC03881, SMC01300, SMC01299, SMC01313, SMC01304, SMC00567, SMC01303	47	56	2380	13.563829787234043	9.059863970151127E-12	3.019947857573324E-12	2.6260416152811514E-12
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	15	12.096774193548388	3.9390624229217266E-13	SMC01308, SMC01319, SMC01307, SMC03859, SMC01292, SMC01291, SMC01295, SMC02692, SMC03881, SMC01300, SMC01299, SMC01313, SMC01304, SMC00567, SMC01303	47	56	2380	13.563829787234043	9.059863970151127E-12	3.019947857573324E-12	2.6260416152811514E-12
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	15	12.096774193548388	1.0953374127560138E-12	SMC01308, SMC01319, SMC01307, SMC03859, SMC01292, SMC01291, SMC01295, SMC02692, SMC03881, SMC01300, SMC01299, SMC01313, SMC01304, SMC00567, SMC01303	74	53	3484	13.324834268230497	7.44835304544722E-11	7.448294406740894E-11	7.448294406740894E-11
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	13	10.483870967741936	1.1088271159751842E-12	SMC01308, SMC01319, SMC01307, SMC01292, SMC01295, SMC02692, SMC03242, SMC01300, SMC01299, SMC01313, SMC01304, SMC00567, SMC01303	47	38	2380	17.323628219484885	2.5501933897942308E-11	6.375755916857309E-12	5.544135579875921E-12
UP_KW_CELLULAR_COMPONENT	KW-0975~Bacterial flagellum	10	8.064516129032258	1.2240809489008081E-10	SMC03020, SMC03021, SMC03032, SMC03024, SMC03014, SMC03028, SMC03029, SMC03037, SMC03038, SMC03049	48	18	1767	20.45138888888889	1.2240808366925648E-9	3.0602023722520204E-10	2.1421416605764143E-10
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	11	8.870967741935484	1.429142927429259E-9	SMC01308, SMC01292, SMC01307, SMC01295, SMC03242, SMC01300, SMC01299, SMC01313, SMC01304, SMC00567, SMC01303	74	36	3484	14.385885885885886	9.718171356531968E-8	4.859085953259481E-8	4.859085953259481E-8
GOTERM_BP_DIRECT	GO:0006412~translation	15	12.096774193548388	1.6668984520558193E-9	SMC01308, SMC01319, SMC01307, SMC03859, SMC01292, SMC01291, SMC01295, SMC02692, SMC03881, SMC01300, SMC01299, SMC01313, SMC01304, SMC00567, SMC01303	65	61	2024	7.656998738965953	7.33435268074345E-8	7.167663343840022E-8	7.167663343840022E-8
GOTERM_BP_DIRECT	GO:0071973~bacterial-type flagellum-dependent cell motility	9	7.258064516129033	1.2470783388134706E-8	SMC03020, SMC03032, SMC03024, SMC03014, SMC03028, SMC03029, SMC03037, SMC03038, SMC03049	65	17	2024	16.48506787330317	5.487143227567159E-7	2.681218428448962E-7	2.681218428448962E-7
GOTERM_MF_DIRECT	GO:0005198~structural molecule activity	5	4.032258064516129	1.1662389135456093E-5	SMC03032, SMC03029, SMC03037, SMC03038, SMC03049	74	8	3484	29.425675675675677	7.927327069001677E-4	2.643474870703381E-4	2.643474870703381E-4
GOTERM_BP_DIRECT	GO:0006935~chemotaxis	7	5.64516129032258	1.5521992130999022E-5	SMC03020, SMC03021, SMC03012, SMC03090, SMC03004, SMC01104, SMC03008	65	19	2024	11.472064777327937	6.827397813844449E-4	2.2248188721098598E-4	2.2248188721098598E-4
GOTERM_CC_DIRECT	GO:0015934~large ribosomal subunit	5	4.032258064516129	3.110507530867096E-5	SMC01319, SMC01291, SMC03881, SMC01299, SMC01304	64	7	1968	21.964285714285715	5.908310131268468E-4	5.909964308647483E-4	5.909964308647483E-4
UP_KW_BIOLOGICAL_PROCESS	KW-0145~Chemotaxis	5	4.032258064516129	2.1245389951109753E-4	SMC03020, SMC03021, SMC03012, SMC03004, SMC03008	35	13	1337	14.692307692307692	0.005297828519958969	0.005311347487777438	0.005311347487777438
GOTERM_CC_DIRECT	GO:0005840~ribosome	8	6.451612903225806	4.2753340151852466E-4	SMC01308, SMC01307, SMC03859, SMC01295, SMC02692, SMC01300, SMC00567, SMC01303	64	45	1968	5.466666666666667	0.008091954021177128	0.003699669695840458	0.003699669695840458
GOTERM_CC_DIRECT	GO:0009288~bacterial-type flagellum	4	3.225806451612903	5.841583730274407E-4	SMC03025, SMC03037, SMC03038, SMC03049	64	6	1968	20.5	0.011040849584438406	0.003699669695840458	0.003699669695840458
UP_SEQ_FEATURE	REGION:Disordered	21	16.93548387096774	0.0015896253917286874	SMC01308, SMC03859, SM_B21640, SMC02172, SMC03042, SMC02061, SMA1550, SMC03057, SMC03773, SMC03014, SMC02692, SMC03881, SMC00640, SMA0875, SMC01104, SMC03004, SMA2339, SMC01303, SMC02436, SMC01721, SMC00887	71	627	4331	2.0430622009569377	0.13064031836260537	0.10980544004210208	0.10980544004210208
UP_SEQ_FEATURE	DOMAIN:Flagellin_D0/D1	3	2.4193548387096775	0.0024955781827750473	SMC03037, SMC03038, SMC03049	71	5	4331	36.599999999999994	0.1973891999459425	0.10980544004210208	0.10980544004210208
INTERPRO	IPR001029:Flagellin, D0/D1 domain	3	2.4193548387096775	0.0034170604304928024	SMC03037, SMC03038, SMC03049	93	5	4859	31.348387096774193	0.5602279962438615	0.8200945033182726	0.8200945033182726
GOTERM_MF_DIRECT	GO:0003774~motor activity	3	2.4193548387096775	0.004157366833840943	SMC03020, SMC03014, SMC03029	74	5	3484	28.248648648648647	0.24669887013781588	0.07067523617529603	0.07067523617529603
GOTERM_BP_DIRECT	GO:0019289~rhizobactin 1021 biosynthetic process	3	2.4193548387096775	0.009256907624551374	SMA2400, SMA2410, SMA2402	65	5	2024	18.683076923076925	0.3358191740293328	0.09951175696392728	0.09951175696392728
UP_KW_BIOLOGICAL_PROCESS	KW-0536~Nodulation	5	4.032258064516129	0.009422240994705925	SMA0869, SMA0875, SMA0863, SMA0852, SMA0851	35	34	1337	5.617647058823529	0.21075049450853534	0.11777801243382406	0.11777801243382406
