Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	14	9.79020979020979	1.4912737105372348E-11	SMC01318, SMC01309, SMC01290, SMC01283, SMC01294, SMC01293, SMC01310, SMC00485, SMC01321, SMC00565, SMC01301, SMC00335, SMC01306, SMC01305	72	53	3484	12.781970649895179	9.842406889504218E-10	9.84240648954575E-10	9.693279118492026E-10
UP_KW_CELLULAR_COMPONENT	KW-0282~Flagellum	14	9.79020979020979	2.498921854453595E-11	SMC03071, SMC03051, SMC03040, SMC03052, SMC03030, SMC03035, SMC03047, SMC03022, SMC03034, SMC03039, SMC03026, SMC03048, SMC03027, SMC03019	59	37	1767	11.33211177278974	2.9987079486204493E-10	9.99568741781438E-11	6.663791611876253E-11
UP_KW_CELLULAR_COMPONENT	KW-0966~Cell projection	14	9.79020979020979	2.498921854453595E-11	SMC03071, SMC03051, SMC03040, SMC03052, SMC03030, SMC03035, SMC03047, SMC03022, SMC03034, SMC03039, SMC03026, SMC03048, SMC03027, SMC03019	59	37	1767	11.33211177278974	2.9987079486204493E-10	9.99568741781438E-11	6.663791611876253E-11
UP_KW_CELLULAR_COMPONENT	KW-0969~Cilium	14	9.79020979020979	2.498921854453595E-11	SMC03071, SMC03051, SMC03040, SMC03052, SMC03030, SMC03035, SMC03047, SMC03022, SMC03034, SMC03039, SMC03026, SMC03048, SMC03027, SMC03019	59	37	1767	11.33211177278974	2.9987079486204493E-10	9.99568741781438E-11	6.663791611876253E-11
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	14	9.79020979020979	1.782780561399734E-10	SMC01318, SMC01309, SMC01290, SMC01283, SMC01294, SMC01293, SMC01310, SMC00485, SMC01321, SMC00565, SMC01301, SMC00335, SMC01306, SMC01305	58	56	2380	10.258620689655173	4.635229533533902E-9	2.3176147298196544E-9	2.1393366736796807E-9
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	14	9.79020979020979	1.782780561399734E-10	SMC01318, SMC01309, SMC01290, SMC01283, SMC01294, SMC01293, SMC01310, SMC00485, SMC01321, SMC00565, SMC01301, SMC00335, SMC01306, SMC01305	58	56	2380	10.258620689655173	4.635229533533902E-9	2.3176147298196544E-9	2.1393366736796807E-9
GOTERM_BP_DIRECT	GO:0006412~translation	14	9.79020979020979	4.0155222947746855E-8	SMC01318, SMC01309, SMC01290, SMC01283, SMC01294, SMC01293, SMC01310, SMC00485, SMC01321, SMC00565, SMC01301, SMC00335, SMC01306, SMC01305	69	61	2024	6.73224043715847	1.9676040270422135E-6	1.927450701491849E-6	1.927450701491849E-6
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	11	7.6923076923076925	4.2048062853830544E-7	SMC01294, SMC03051, SMC01309, SMC01293, SMC00485, SMC01321, SMC00565, SMC00335, SMC01306, SMC01290, SMC01305	58	56	2380	8.060344827586206	1.0932438880839612E-5	3.64416544733198E-6	3.3638450283064436E-6
GOTERM_BP_DIRECT	GO:0071973~bacterial-type flagellum-dependent cell motility	8	5.594405594405594	5.277055994257413E-7	SMC03040, SMC03030, SMC03035, SMC03047, SMC03034, SMC03039, SMC03027, SMC03019	69	17	2024	13.803921568627452	2.5857246890748087E-5	1.2664934386217792E-5	1.2664934386217792E-5
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	9	6.293706293706294	1.8345617468115547E-6	SMC01294, SMC01309, SMC01293, SMC00485, SMC01321, SMC00565, SMC01306, SMC01290, SMC01305	58	38	2380	9.71869328493648	4.769751160871305E-5	1.1924651354275105E-5	1.1007370480869329E-5
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	10	6.993006993006993	3.129955478377695E-6	SM_B21294, SMC00912, SMC00949, SMC02376, SM_B22023, SM_B21566, SMA0744, SMC01106, SMC04040, SMC02857	45	41	1337	7.2466124661246605	7.511622767508719E-5	7.511893148106468E-5	7.511893148106468E-5
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	8	5.594405594405594	5.6419205206284206E-6	SMC01294, SMC01309, SMC01293, SMC00485, SMC00565, SMC01306, SMC01290, SMC01305	72	36	3484	10.753086419753085	3.722984845128119E-4	1.8618337718073787E-4	1.8336241692042368E-4
UP_KW_CELLULAR_COMPONENT	KW-0975~Bacterial flagellum	7	4.895104895104895	1.3179706191092996E-5	SMC03040, SMC03030, SMC03047, SMC03034, SMC03039, SMC03048, SMC03019	59	18	1767	11.646892655367232	1.5814501028932337E-4	3.953911857327899E-5	2.6359412382185992E-5
GOTERM_CC_DIRECT	GO:0005840~ribosome	10	6.993006993006993	1.9410289373776733E-5	SMC01318, SMC01283, SMC01294, SMC01309, SMC01293, SMC01310, SMC01321, SMC00565, SMC01301, SMC00335	72	45	1968	6.074074074074074	3.881342115387154E-4	3.882057874755347E-4	3.882057874755347E-4
UP_KW_BIOLOGICAL_PROCESS	KW-0145~Chemotaxis	6	4.195804195804196	3.246308554664081E-5	SMC03043, SMC03010, SMC03035, SMC03022, SMC03007, SMC03019	45	13	1337	13.712820512820514	7.788232592196298E-4	3.895570265596897E-4	3.895570265596897E-4
GOTERM_BP_DIRECT	GO:0006935~chemotaxis	6	4.195804195804196	2.978584305723538E-4	SMC03043, SMC03010, SMC03035, SMC03022, SMC03007, SMC03019	69	19	2024	9.263157894736842	0.014491214003344632	0.0047657348891576605	0.0047657348891576605
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	6	4.195804195804196	4.002745500634016E-4	SMC00912, SMC02376, SM_B22023, SM_B21566, SMA0744, SMC02857	72	32	3484	9.072916666666666	0.026077365279485232	0.008806040101394836	0.008672615251373703
UP_KW_MOLECULAR_FUNCTION	KW-0143~Chaperone	6	4.195804195804196	5.94849853963143E-4	SMC00912, SMC02050, SM_B22023, SM_B21566, SMA0744, SMC02857	58	30	2380	8.206896551724137	0.01535164153490376	0.0030932192406083435	0.0028552792990230863
UP_KW_BIOLOGICAL_PROCESS	KW-0536~Nodulation	7	4.895104895104895	6.041766184079504E-4	SMA0849, SMA0868, SMA0878, SMA0853, SMA0866, SMA0855, SMA0876	45	34	1337	6.116993464052288	0.014399935696183142	0.003728880151741255	0.003728880151741255
