Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	16	11.851851851851853	1.5898184523149514E-14	SMC01319, SMC01307, SMC03859, SMC01309, SMC01291, SMC01283, SMC01293, SMC01295, SMC02692, SMC01297, SMC01321, SMC00565, SMC01301, SMC00567, SMC00335, SMC01305	69	53	3484	15.243095433415368	1.0478284906412227E-12	1.0492801785278678E-12	1.0333819940047184E-12
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	16	11.851851851851853	3.161345103082213E-14	SMC01319, SMC01307, SMC03859, SMC01309, SMC01291, SMC01283, SMC01293, SMC01295, SMC02692, SMC01297, SMC01321, SMC00565, SMC01301, SMC00567, SMC00335, SMC01305	49	56	2380	13.877551020408163	7.277511926417901E-13	3.635546868544545E-13	3.477479613390434E-13
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	16	11.851851851851853	3.161345103082213E-14	SMC01319, SMC01307, SMC03859, SMC01309, SMC01291, SMC01283, SMC01293, SMC01295, SMC02692, SMC01297, SMC01321, SMC00565, SMC01301, SMC00567, SMC00335, SMC01305	49	56	2380	13.877551020408163	7.277511926417901E-13	3.635546868544545E-13	3.477479613390434E-13
UP_KW_CELLULAR_COMPONENT	KW-0969~Cilium	15	11.11111111111111	2.13752993754088E-13	SMC03071, SMC03020, SMC03054, SMC03032, SMC03051, SMC03030, SMC03024, SMC03047, SMC03022, SMC03034, SMC03028, SMC03039, SMC03026, SMC03037, SMC03049	53	37	1767	13.516063233044365	2.5646151868841116E-12	8.55011975016352E-13	5.700079833442347E-13
UP_KW_CELLULAR_COMPONENT	KW-0282~Flagellum	15	11.11111111111111	2.13752993754088E-13	SMC03071, SMC03020, SMC03054, SMC03032, SMC03051, SMC03030, SMC03024, SMC03047, SMC03022, SMC03034, SMC03028, SMC03039, SMC03026, SMC03037, SMC03049	53	37	1767	13.516063233044365	2.5646151868841116E-12	8.55011975016352E-13	5.700079833442347E-13
UP_KW_CELLULAR_COMPONENT	KW-0966~Cell projection	15	11.11111111111111	2.13752993754088E-13	SMC03071, SMC03020, SMC03054, SMC03032, SMC03051, SMC03030, SMC03024, SMC03047, SMC03022, SMC03034, SMC03028, SMC03039, SMC03026, SMC03037, SMC03049	53	37	1767	13.516063233044365	2.5646151868841116E-12	8.55011975016352E-13	5.700079833442347E-13
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	14	10.37037037037037	1.6402991719010586E-11	SMC01319, SMC01307, SMC01309, SMC03051, SMC01293, SMC01295, SMC02692, SMC03242, SMC01297, SMC01321, SMC00565, SMC00567, SMC00335, SMC01305	49	56	2380	12.142857142857142	3.7726877177846063E-10	1.2575626984574782E-10	1.2028860593941095E-10
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	12	8.88888888888889	5.414156625900994E-11	SMC01319, SMC01307, SMC01309, SMC01293, SMC01295, SMC02692, SMC03242, SMC01297, SMC01321, SMC00565, SMC00567, SMC01305	49	38	2380	15.338345864661655	1.2452563424858454E-9	3.1131400598930717E-10	2.9777861442455466E-10
GOTERM_BP_DIRECT	GO:0006412~translation	16	11.851851851851853	6.390355924789923E-11	SMC01319, SMC01307, SMC03859, SMC01309, SMC01291, SMC01283, SMC01293, SMC01295, SMC02692, SMC01297, SMC01321, SMC00565, SMC01301, SMC00567, SMC00335, SMC01305	62	61	2024	8.562665256478054	2.492238415641168E-9	2.4283352514201707E-9	2.4283352514201707E-9
GOTERM_BP_DIRECT	GO:0071973~bacterial-type flagellum-dependent cell motility	10	7.4074074074074066	2.2634733548109364E-10	SMC03020, SMC03032, SMC03030, SMC03024, SMC03047, SMC03034, SMC03039, SMC03028, SMC03037, SMC03049	62	17	2024	19.20303605313093	8.827548025891474E-9	4.300599374140779E-9	4.300599374140779E-9
