Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-0282~Flagellum	13	9.62962962962963	9.377839263475643E-11	SMC03020, SMC03054, SMC03032, SMC03040, SMC03052, SMC03024, SMC03035, SMC03028, SMC03048, SMC03037, SMC03027, SMC03049, SMC03019	52	37	1767	11.93918918918919	9.377842946634019E-10	3.125946421158548E-10	1.8755678526951286E-10
UP_KW_CELLULAR_COMPONENT	KW-0966~Cell projection	13	9.62962962962963	9.377839263475643E-11	SMC03020, SMC03054, SMC03032, SMC03040, SMC03052, SMC03024, SMC03035, SMC03028, SMC03048, SMC03037, SMC03027, SMC03049, SMC03019	52	37	1767	11.93918918918919	9.377842946634019E-10	3.125946421158548E-10	1.8755678526951286E-10
UP_KW_CELLULAR_COMPONENT	KW-0969~Cilium	13	9.62962962962963	9.377839263475643E-11	SMC03020, SMC03054, SMC03032, SMC03040, SMC03052, SMC03024, SMC03035, SMC03028, SMC03048, SMC03037, SMC03027, SMC03049, SMC03019	52	37	1767	11.93918918918919	9.377842946634019E-10	3.125946421158548E-10	1.8755678526951286E-10
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	13	9.62962962962963	1.5995862514918252E-10	SMC01319, SMC01307, SMC01318, SMC03859, SMC01290, SMC01291, SMC01294, SMC01295, SMC02692, SMC01310, SMC00485, SMC00567, SMC01306	69	53	3484	12.385015039649987	9.277598911339169E-9	9.277600258652587E-9	8.957683008354221E-9
GOTERM_BP_DIRECT	GO:0071973~bacterial-type flagellum-dependent cell motility	10	7.4074074074074066	4.743498780604596E-10	SMC03020, SMC03032, SMC03040, SMC03024, SMC03035, SMC03028, SMC03037, SMC03027, SMC03049, SMC03019	67	17	2024	17.76997366110623	2.039704516398899E-8	1.99226948785393E-8	1.99226948785393E-8
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	13	9.62962962962963	8.567296863668351E-10	SMC01319, SMC01307, SMC01318, SMC03859, SMC01290, SMC01291, SMC01294, SMC01295, SMC02692, SMC01310, SMC00485, SMC00567, SMC01306	53	56	2380	10.424528301886793	1.7134593632839312E-8	8.567296863668352E-9	7.282202334118099E-9
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	13	9.62962962962963	8.567296863668351E-10	SMC01319, SMC01307, SMC01318, SMC03859, SMC01290, SMC01291, SMC01294, SMC01295, SMC02692, SMC01310, SMC00485, SMC00567, SMC01306	53	56	2380	10.424528301886793	1.7134593632839312E-8	8.567296863668352E-9	7.282202334118099E-9
UP_KW_CELLULAR_COMPONENT	KW-0975~Bacterial flagellum	9	6.666666666666667	9.639287185316145E-9	SMC03020, SMC03032, SMC03040, SMC03024, SMC03028, SMC03037, SMC03048, SMC03049, SMC03019	52	18	1767	16.990384615384613	9.639286724372198E-8	2.409821796329036E-8	1.4458930777974217E-8
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	10	7.4074074074074066	5.587541846439427E-8	SMC01319, SMC01307, SMC01294, SMC01295, SMC02692, SMC03242, SMC00485, SMC00567, SMC01306, SMC01290	53	38	2380	11.817279046673288	1.1175077770930741E-6	3.725027897626285E-7	3.166273712982342E-7
GOTERM_BP_DIRECT	GO:0006412~translation	13	9.62962962962963	2.6032413820295155E-7	SMC01319, SMC01307, SMC01318, SMC03859, SMC01290, SMC01291, SMC01294, SMC01295, SMC02692, SMC01310, SMC00485, SMC00567, SMC01306	67	61	2024	6.437974064105702	1.119387674974881E-5	5.466806902261983E-6	5.466806902261983E-6
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	10	7.4074074074074066	1.926598242577157E-6	SMC01319, SMC01307, SMC01294, SMC01295, SMC02692, SMC03242, SMC00485, SMC00567, SMC01306, SMC01290	53	56	2380	8.018867924528303	3.853125962194337E-5	9.632991212885785E-6	8.188042530952916E-6
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	8	5.9259259259259265	4.204902192411702E-6	SMC01307, SMC01294, SMC01295, SMC03242, SMC00485, SMC00567, SMC01306, SMC01290	69	36	3484	11.22061191626409	2.43855102427748E-4	1.2194216357993935E-4	1.1773726138752764E-4
