Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006412~translation	34	12.014134275618375	5.819784147737447E-24	SMC01308, SMC01307, SMC01804, SMC01309, SMC01290, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01302, SMC01301, SMC01304, SMC01303, SMC00335, SMC01306, SMC01305, SMC01319, SMC01318, SMC03859, SMC01292, SMC01291, SMC01294, SMC01293, SMC01295, SMC02101, SMC01298, SMC01297, SMC00485, SMC01299, SMC01310, SMC00565, SMC01313, SMC00567	142	61	2024	7.944585546063265	4.364838110803085E-22	4.364838110803085E-22	4.1320467448935874E-22
GOTERM_BP_DIRECT	GO:0071973~bacterial-type flagellum-dependent cell motility	17	6.007067137809187	2.150479524013388E-18	SMC03020, SMC03032, SMC03040, SMC03030, SMC03024, SMC03035, SMC03047, SMC03014, SMC03034, SMC03028, SMC03039, SMC03029, SMC03037, SMC03027, SMC03049, SMC03038, SMC03019	142	17	2024	14.253521126760562	1.612859643010041E-16	8.064298215050205E-17	7.634202310247528E-17
GOTERM_BP_DIRECT	GO:0006935~chemotaxis	13	4.593639575971731	2.7419433627049063E-10	SMC03090, SMC03020, SMC03021, SMC03043, SMC03010, SMC03035, SMC03022, SMC03012, SMC03007, SMC01104, SMC03004, SMC03019, SMC03008	142	19	2024	9.75240919199407	2.056457482080276E-8	6.8548584067622656E-9	6.489265958401612E-9
GOTERM_BP_DIRECT	GO:0019289~rhizobactin 1021 biosynthetic process	5	1.76678445229682	1.0701141916322039E-4	SMA2404, SMA2406, SMA2400, SMA2410, SMA2402	142	5	2024	14.253521126760564	0.00799416126898067	0.0020064641093103823	0.001899452690147162
GOTERM_BP_DIRECT	GO:0007165~signal transduction	7	2.4734982332155475	6.702420933140804E-4	SMC00992, SMC03090, SMC03004, SMC01104, SMC00765, SMC01469, SMC03008	142	17	2024	5.869096934548467	0.04904164719175785	0.010053631399711205	0.009517437725059941
GOTERM_BP_DIRECT	GO:0006457~protein folding	7	2.4734982332155475	9.48300998762895E-4	SMC00912, SMC02050, SMC01142, SM_B22023, SMC02136, SMA0745, SMC02857	142	18	2024	5.543035993740219	0.06868370172728022	0.011853762484536188	0.011221561818694258
GOTERM_BP_DIRECT	GO:0044781~bacterial-type flagellum organization	4	1.4134275618374559	0.005664197645419052	SMC03051, SMC03052, SMC03025, SMC03050	142	6	2024	9.502347417840376	0.346898355108328	0.06068783191520412	0.05745114754639324
GOTERM_BP_DIRECT	GO:0097588~archaeal or bacterial-type flagellum-dependent cell motility	3	1.0600706713780919	0.013800287324572802	SMC03021, SMC03043, SMC03022	142	3	2024	14.253521126760564	0.647332552198622	0.12937769366787003	0.12247755000558362
GOTERM_BP_DIRECT	GO:0019290~siderophore biosynthetic process	3	1.0600706713780919	0.026342798205294643	SMA2406, SMA2339, SMC02576	142	4	2024	10.690140845070424	0.8649619869884767	0.21952331837745537	0.20781540806399107
GOTERM_BP_DIRECT	GO:0042026~protein refolding	3	1.0600706713780919	0.060040972709485906	SMC00913, SM_B21566, SMA0744	142	6	2024	7.126760563380282	0.9903801292434657	0.4503072953211443	0.4262909062373499
