Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	34	12.014134275618375	5.6809142957506184E-33	SMC01308, SMC01307, SMC01804, SMC01309, SMC01290, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01302, SMC01301, SMC01304, SMC01303, SMC00335, SMC01306, SMC01305, SMC01319, SMC01318, SMC03859, SMC01292, SMC01291, SMC01294, SMC01293, SMC01295, SMC02101, SMC01298, SMC01297, SMC00485, SMC01299, SMC01310, SMC00565, SMC01313, SMC00567	155	53	3484	14.419476567255023	6.192196582368174E-31	6.192196582368174E-31	6.192196582368174E-31
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	22	7.773851590106007	2.8194484253988086E-20	SMC01308, SMC01307, SMC01309, SMC01290, SMC01292, SMC01294, SMC01293, SMC01295, SMC03242, SMC01298, SMC01297, SMC01300, SMC01299, SMC00485, SMC01302, SMC00565, SMC01313, SMC01304, SMC00567, SMC01303, SMC01306, SMC01305	155	36	3484	13.736200716845877	3.0731987836847013E-18	1.5365993918423507E-18	1.5365993918423507E-18
GOTERM_MF_DIRECT	GO:0005198~structural molecule activity	8	2.8268551236749118	2.225172315267951E-9	SMC03032, SMC03040, SMC03039, SMC03029, SMC03037, SMC03048, SMC03038, SMC03049	155	8	3484	22.47741935483871	2.4254374808574397E-7	8.084792745473555E-8	8.084792745473555E-8
GOTERM_MF_DIRECT	GO:0003774~motor activity	5	1.76678445229682	1.7749998218976817E-5	SMC03020, SMC03014, SMC03034, SMC03029, SMC03019	155	5	3484	22.47741935483871	0.0019328965218441407	4.8368745146711825E-4	4.8368745146711825E-4
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	8	2.8268551236749118	3.805772330003657E-4	SMC00912, SMC00913, SMC02376, SM_B22023, SM_B21566, SMA0744, SMA0745, SMC02857	155	32	3484	5.619354838709677	0.04064185215741378	0.008296583679407972	0.008296583679407972
GOTERM_MF_DIRECT	GO:0000049~tRNA binding	6	2.1201413427561837	0.001809832542573043	SMC03242, SMC01297, SMC00908, SMC01310, SMC01302, SMC01313	155	21	3484	6.422119815668203	0.17917921106339674	0.03287862452341028	0.03287862452341028
GOTERM_MF_DIRECT	GO:0051082~unfolded protein binding	5	1.76678445229682	0.0025965692893016126	SMC00913, SMC02136, SM_B21566, SMA0744, SMC02857	155	14	3484	8.027649769585253	0.24677714457064703	0.04043229321912511	0.04043229321912511
GOTERM_MF_DIRECT	GO:0015416~ATPase-coupled organic phosphonate transmembrane transporter activity	3	1.0600706713780919	0.005655556823920193	SM_B21175, SM_B21174, SM_B21177	155	3	3484	22.477419354838712	0.46108935143779795	0.07705696172591263	0.07705696172591263
GOTERM_MF_DIRECT	GO:0003723~RNA binding	5	1.76678445229682	0.07830103819255492	SMC00321, SMC02796, SMC00324, SMC00335, SMC01778	155	37	3484	3.037489102005231	0.9998618942644489	0.9424405996334061	0.9424405996334061
GOTERM_MF_DIRECT	GO:0070180~large ribosomal subunit rRNA binding	2	0.7067137809187279	0.08646244033334001	SMC01319, SMC01321	155	2	3484	22.47741935483871	0.9999476184364435	0.9424405996334061	0.9424405996334061
