Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
PFAM	PF00460:Flagella basal body rod protein	5	1.76678445229682	1.8179121732897366E-5	SMC03030, SMC03024, SMC03047, SMC03028, SMC03027	208	5	4666	22.432692307692307	0.003973349123651215	9.953069148761309E-4	9.862173540096822E-4
PFAM	PF00669:Bacterial flagellin N-terminal helical region	5	1.76678445229682	1.8179121732897366E-5	SMC03040, SMC03039, SMC03037, SMC03038, SMC03049	208	5	4666	22.432692307692307	0.003973349123651215	9.953069148761309E-4	9.862173540096822E-4
PFAM	PF06429:Flagellar basal body rod FlgEFG protein C-terminal	5	1.76678445229682	1.8179121732897366E-5	SMC03030, SMC03024, SMC03047, SMC03028, SMC03048	208	5	4666	22.432692307692307	0.003973349123651215	9.953069148761309E-4	9.862173540096822E-4
PFAM	PF00700:Bacterial flagellin C-terminal helical region	5	1.76678445229682	1.8179121732897366E-5	SMC03040, SMC03039, SMC03037, SMC03038, SMC03049	208	5	4666	22.432692307692307	0.003973349123651215	9.953069148761309E-4	9.862173540096822E-4
PFAM	PF00015:Methyl-accepting chemotaxis protein (MCP) signalling domain	4	1.4134275618374559	0.005927209827512867	SMC03004, SMC01104, SMC00765, SMC01469	208	9	4666	9.97008547008547	0.7279912801879918	0.25961179044506355	0.25724090651405845
PFAM	PF00011:Hsp20/alpha crystallin family	3	1.0600706713780919	0.01107663086293949	SM_B21294, SMC01106, SMC04040	208	4	4666	16.824519230769234	0.9127795925541944	0.30322276987296853	0.30045361215723365
PFAM	PF00166:Chaperonin 10 Kd subunit	3	1.0600706713780919	0.01107663086293949	SMC00912, SM_B22023, SMA0745	208	4	4666	16.824519230769234	0.9127795925541944	0.30322276987296853	0.30045361215723365
PFAM	PF00006:ATP synthase alpha/beta family, nucleotide-binding domain	3	1.0600706713780919	0.01107663086293949	SMC03025, SMC02501, SMC02796	208	4	4666	16.824519230769234	0.9127795925541944	0.30322276987296853	0.30045361215723365
PFAM	PF00118:TCP-1/cpn60 chaperonin family	3	1.0600706713780919	0.017924021723044272	SMC00913, SM_B21566, SMA0744	208	5	4666	13.459615384615384	0.9809552914798965	0.4361511952607439	0.4321680793222897
PFAM	PF01584:CheW-like domain	3	1.0600706713780919	0.026106808054266684	SMC03007, SMC03090, SMC03008	208	6	4666	11.216346153846153	0.9969522366326421	0.5717390963884403	0.566517734777587
PFAM	PF06748:Protein of unknown function (DUF1217)	2	0.7067137809187279	0.08676793055750713	SMC03023, SMC00986	208	2	4666	22.43269230769231	0.9999999976704463	1.0	0.9954128440366973
PFAM	PF04183:IucA / IucC family	2	0.7067137809187279	0.08676793055750713	SMA2404, SMA2410	208	2	4666	22.43269230769231	0.9999999976704463	1.0	0.9954128440366973
PFAM	PF01052:Surface presentation of antigens (SPOA)	2	0.7067137809187279	0.08676793055750713	SMC03020, SMC03021	208	2	4666	22.43269230769231	0.9999999976704463	1.0	0.9954128440366973
PFAM	PF00012:Hsp70 protein	2	0.7067137809187279	0.08676793055750713	SMC02376, SMC02857	208	2	4666	22.43269230769231	0.9999999976704463	1.0	0.9954128440366973
PFAM	PF12806:Acetyl-CoA dehydrogenase C-terminal like	2	0.7067137809187279	0.08676793055750713	SMC00977, SMC02229	208	2	4666	22.43269230769231	0.9999999976704463	1.0	0.9954128440366973
