CHART																		
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR						
UP_KW_CELLULAR_COMPONENT	KW-0282~Flagellum	15	12.0967741935484	4.39788896799524E-14	SMC03050, SMC03020, SMC03042, SMC03054, SMC03021, SMC03032, SMC03024, SMC03025, SMC03014, SMC03033, SMC03028, SMC03029, SMC03037, SMC03049, SMC03038	48	37	1767	14.9239864864865	4.39648317751562E-13	1.46596298933175E-13	1.02617409253222E-13						
UP_KW_CELLULAR_COMPONENT	KW-0966~Cell projection	15	12.0967741935484	4.39788896799524E-14	SMC03050, SMC03020, SMC03042, SMC03054, SMC03021, SMC03032, SMC03024, SMC03025, SMC03014, SMC03033, SMC03028, SMC03029, SMC03037, SMC03049, SMC03038	48	37	1767	14.9239864864865	4.39648317751562E-13	1.46596298933175E-13	1.02617409253222E-13						
UP_KW_CELLULAR_COMPONENT	KW-0969~Cilium	15	12.0967741935484	4.39788896799524E-14	SMC03050, SMC03020, SMC03042, SMC03054, SMC03021, SMC03032, SMC03024, SMC03025, SMC03014, SMC03033, SMC03028, SMC03029, SMC03037, SMC03049, SMC03038	48	37	1767	14.9239864864865	4.39648317751562E-13	1.46596298933175E-13	1.02617409253222E-13						
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	15	12.0967741935484	3.93906242292173E-13	SMC01308, SMC01319, SMC01307, SMC01292, SMC01295, SMC02692, SMC03242, SMC01300, SMC01299, SMC01313, SMC01304, SMC00567, SMC01303, SMC00324, SMC01778	47	56	2380	13.563829787234	9.05986397015113E-12	3.01994785757332E-12	2.62604161528115E-12						
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	15	12.0967741935484	3.93906242292173E-13	SMC01308, SMC01319, SMC01307, SMC03859, SMC01292, SMC01291, SMC01295, SMC02692, SMC03881, SMC01300, SMC01299, SMC01313, SMC01304, SMC00567, SMC01303	47	56	2380	13.563829787234	9.05986397015113E-12	3.01994785757332E-12	2.62604161528115E-12						
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	15	12.0967741935484	3.93906242292173E-13	SMC01308, SMC01319, SMC01307, SMC03859, SMC01292, SMC01291, SMC01295, SMC02692, SMC03881, SMC01300, SMC01299, SMC01313, SMC01304, SMC00567, SMC01303	47	56	2380	13.563829787234	9.05986397015113E-12	3.01994785757332E-12	2.62604161528115E-12						
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	15	12.0967741935484	1.09533741275601E-12	SMC01308, SMC01319, SMC01307, SMC03859, SMC01292, SMC01291, SMC01295, SMC02692, SMC03881, SMC01300, SMC01299, SMC01313, SMC01304, SMC00567, SMC01303	74	53	3484	13.3248342682305	7.44835304544722E-11	7.44829440674089E-11	7.44829440674089E-11						
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	13	10.4838709677419	1.10882711597518E-12	SMC01308, SMC01319, SMC01307, SMC01292, SMC01295, SMC02692, SMC03242, SMC01300, SMC01299, SMC01313, SMC01304, SMC00567, SMC01303	47	38	2380	17.3236282194849	2.55019338979423E-11	6.37575591685731E-12	5.54413557987592E-12						
UP_KW_CELLULAR_COMPONENT	KW-0975~Bacterial flagellum	10	8.06451612903226	1.22408094890081E-10	SMC03020, SMC03021, SMC03032, SMC03024, SMC03014, SMC03028, SMC03029, SMC03037, SMC03038, SMC03049	48	18	1767	20.4513888888889	1.22408083669256E-09	3.06020237225202E-10	2.14214166057641E-10						
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	11	8.87096774193548	1.42914292742926E-09	SMC01308, SMC01292, SMC01307, SMC01295, SMC03242, SMC01300, SMC01299, SMC01313, SMC01304, SMC00567, SMC01303	74	36	3484	14.3858858858859	9.71817135653197E-08	4.85908595325948E-08	4.85908595325948E-08						
GOTERM_BP_DIRECT	GO:0006412~translation	15	12.0967741935484	1.66689845205582E-09	SMC01308, SMC01319, SMC01307, SMC03859, SMC01292, SMC01291, SMC01295, SMC02692, SMC03881, SMC01300, SMC01299, SMC01313, SMC01304, SMC00567, SMC01303	65	61	2024	7.65699873896595	7.33435268074345E-08	7.16766334384002E-08	7.16766334384002E-08						
GOTERM_BP_DIRECT	GO:0071973~bacterial-type flagellum-dependent cell motility	9	7.25806451612903	1.24707833881347E-08	SMC03020, SMC03032, SMC03024, SMC03014, SMC03028, SMC03029, SMC03037, SMC03038, SMC03049	65	17	2024	16.4850678733032	5.48714322756716E-07	2.68121842844896E-07	2.68121842844896E-07						
GOTERM_MF_DIRECT	GO:0005198~structural molecule activity	5	4.03225806451613	1.16623891354561E-05	SMC03032, SMC03029, SMC03037, SMC03038, SMC03049	74	8	3484	29.4256756756757	0.0007927327069	0.00026434748707	0.00026434748707						
GOTERM_BP_DIRECT	GO:0006935~chemotaxis	7	5.64516129032258	1.5521992130999E-05	SMC03020, SMC03021, SMC03012, SMC03090, SMC03004, SMC01104, SMC03008	65	19	2024	11.4720647773279	0.000682739781384	0.000222481887211	0.000222481887211						
GOTERM_CC_DIRECT	GO:0015934~large ribosomal subunit	5	4.03225806451613	3.1105075308671E-05	SMC01319, SMC01291, SMC03881, SMC01299, SMC01304	64	7	1968	21.9642857142857	0.000590831013127	0.000590996430865	0.000590996430865						
UP_KW_BIOLOGICAL_PROCESS	KW-0145~Chemotaxis	5	4.03225806451613	0.000212453899511	SMC03020, SMC03021, SMC03012, SMC03004, SMC03008	35	13	1337	14.6923076923077	0.005297828519959	0.005311347487777	0.005311347487777						
GOTERM_CC_DIRECT	GO:0005840~ribosome	8	6.45161290322581	0.000427533401519	SMC01308, SMC01307, SMC03859, SMC01295, SMC02692, SMC01300, SMC00567, SMC01303	64	45	1968	5.46666666666667	0.008091954021177	0.00369966969584	0.00369966969584						
GOTERM_CC_DIRECT	GO:0009288~bacterial-type flagellum	4	3.2258064516129	0.000584158373027	SMC03025, SMC03037, SMC03038, SMC03049	64	6	1968	20.5	0.011040849584438	0.00369966969584	0.00369966969584						
UP_SEQ_FEATURE	REGION:Disordered	21	16.9354838709677	0.001589625391729	SMC01308, SMC03859, SM_B21640, SMC02172, SMC03042, SMC02061, SMA1550, SMC03057, SMC03773, SMC03014, SMC02692, SMC03881, SMC00640, SMA0875, SMC01104, SMC03004, SMA2339, SMC01303, SMC02436, SMC01721, SMC00887	71	627	4331	2.04306220095694	0.130640318362605	0.109805440042102	0.109805440042102						
UP_SEQ_FEATURE	DOMAIN:Flagellin_D0/D1	3	2.41935483870968	0.002495578182775	SMC03037, SMC03038, SMC03049	71	5	4331	36.6	0.197389199945943	0.109805440042102	0.109805440042102						
