camp_lodi,camp_verb,lodi_verb
SinmeB_5948,SinmeB_5948,SMc01419
SM_b20759,SMc01419,SinmeB_1263
SMc01420,SM_b20759,SMc00999
SMc01432,SinmeB_1263,SMc01432
SMc01370,SMc01420,SMc01370
SMc00150,SMc00999,SMc01187
SMc01068,SMc01187,SMc00141
SMc01790,SMc00141,SMc04109
SMc01288,SMc04109,SMc02123
SMc02376,SMc02123,SMc01068
SMc04204,SMc00150,SMc01288
SMc00565,SMc01790,SMc00038
SMc04282,SMc00038,SMc00565
SMc04280,SMc02376,SMc01302
SMc01629,SMc04204,SMc04282
SMc01319,SMc01302,SMc04280
SMc01300,SMc04170,SMc01629
SMc01299,SMc04277,SMc01319
SMc00041,SMc01300,SMc04170
SM_b20941,SMc00041,SMc04277
SMc01371,SMc01657,SMc01299
SM_b21296,SMc01030,SMc01657
SMc01295,SM_b20941,SMc01030
SMc01290,SMc01371,SM_b21296
SM_b20595,SMc01295,SM_b20595
SinmeB_5947,SMc01290,SinmeB_5947
SMc00059,SMc01011,SMc00059
SMc04225,SMc01292,SMc01011
SMc01190,SMc01374,SMc04225
SM_b21514,SMc01280,SMc01292
SMc02094,SMc00995,SMc01190
SMc02078,SMc03794,SM_b21514
SMc01308,SM_b21157,SMc01374
SMc01275,SMc01305,SMc01280
SMc00995,SM_b22017,SMc02094
SM_b21157,SMc01306,SMc02078
SMc01305,SMc03859,SMc01308
SMc01903,SMc00184,SMc01275
SMc03859,SMc01321,SMc03794
SMc00175,SMc00604,SMc01903
SMc00493,SMc04865,SM_b22017
SMc00184,SMc01563,SMc01306
SinmeB_1260,SMc02082,SMc00175
SMc01321,SMc04290,SMc00493
SM_b21196,SMc02092,SinmeB_1260
SMc00191,SMc02601,SM_b21196
SMc02597,SMc01180,SMc00191
SMc04865,SMc01465,SMc00604
SMc02082,SMc00235,SMc02597
SMc01180,SMc01215,SMc01563
SMc00158,SMc02062,SMc04290
SMc00776,SMc00165,SMc02092
SMc00195,SMc01235,SMc02601
SMc02882,SMc00776,SMc01465
SMc02060,SMc00195,SMc00235
SMc00942,SMc02882,SMc00158
SMc02599,SMc02060,SMc01215
SMc02098,SMc00942,SMc02062
SM_b21640,SMc02599,SMc00165
SMc00134,SMc02098,SMc01235
SMc00517,SM_b21640,SM_b21205
SM_b21091,SMc00134,SMc04297
SMc02553,SMc00517,SM_b21207
SMc02445,SM_b21091,SMc00976
SMc04293,SMc02553,SM_b20838
SMc04297,SMc02445,SM_b21294
SM_b21207,SM_b21205,SMc01294
SM_b21208,SMc04293,SMc00185
SMc01294,SMc00976,SM_b21344
SMc00148,SM_b20838,SMc00148
SMc01547,SM_b21208,SMc03143
SMc03143,SM_b21294,SMc01008
SMc01012,SMc00185,SMc01256
SMc01008,SM_b21344,SMc00936
SMc00276,SMc01547,SMc02053
SMc02053,SMc01012,SM_b20758
SM_b20758,SMc01256,SMc01013
SMc01013,SMc00276,SMc00154
SMc01225,SMc00936,SMc04040
SM_b21204,SMc01225,SMc00469
SMc03143,SMc00154,SM_b21294
SMc00277,SMc04040,SMc03143
SMc04278,SMc00469,SMc00277
SMa0744,SM_b21204,SMa0744
SMc01206,SM_b21294,SMc01296
SMc01169,SMc04278,SMc02558
SM_b21639,SMc01206,SMc01326
SMc04406,SMc02558,SMc01296
SMc01005,SMc01296,SMc00302
SMc04406,SMc01326,SM_b22023
SMc01192,SMc01296,SMc01169
SMc01169,SMc00302,SM_b21639
SMc01032,SM_b22023,SMc04406
SMc01013,SMc01005,SMc04406
SMc01032,SMc00302,SMc00302
SMc00916,SM_b21344,SM_b21344
SMa0744,SM_b22022,SMc02558
SMc01547,SM_b22022,SMc01169
SMc01225,SM_b22022,SMc01013
SMc00916,SM_b22022,SMc04040
SM_b21566,SM_b22022,SMa0744
SMc00913,SM_b22022,
SM_b22022,SM_b22022,
