Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	15	10.135135135135135	3.238639562731884E-12	SMC01308, SMC01319, SMC03859, SMC01290, SMC01292, SMC01294, SMC01296, SMC01295, SMC01300, SMC01299, SMC01321, SMC01302, SMC00565, SMC01306, SMC01305	79	53	3453	12.370432290422738	2.6880642156612566E-10	2.688070837067464E-10	2.688070837067464E-10
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	14	9.45945945945946	9.447252239696015E-12	SMC01308, SMC01319, SMC01290, SMC01292, SMC01294, SMC01296, SMC01295, SMC01300, SMC01299, SMC01321, SMC01302, SMC00565, SMC01306, SMC01305	71	38	2425	12.583395107487027	2.6452218193639965E-10	2.6452306271148845E-10	2.456285582320964E-10
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	12	8.108108108108109	1.451277312690024E-10	SMC01308, SMC01292, SMC01294, SMC01296, SMC01295, SMC01300, SMC01299, SMC01302, SMC00565, SMC01306, SMC01290, SMC01305	79	36	3453	14.569620253164556	1.204559796352811E-8	6.0228008476636E-9	6.0228008476636E-9
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	15	10.135135135135135	1.6539827080945712E-10	SMC01308, SMC01319, SMC03859, SMC01290, SMC01292, SMC01294, SMC01296, SMC01295, SMC01300, SMC01299, SMC01321, SMC01302, SMC00565, SMC01306, SMC01305	71	56	2425	9.148641851106639	4.631151018230639E-9	1.5437171942215998E-9	1.4334516803486282E-9
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	15	10.135135135135135	1.6539827080945712E-10	SMC01308, SMC01319, SMC03859, SMC01290, SMC01292, SMC01294, SMC01296, SMC01295, SMC01300, SMC01299, SMC01321, SMC01302, SMC00565, SMC01306, SMC01305	71	56	2425	9.148641851106639	4.631151018230639E-9	1.5437171942215998E-9	1.4334516803486282E-9
GOTERM_BP_DIRECT	GO:0006412~translation	15	10.135135135135135	8.830149715433731E-10	SMC01308, SMC01319, SMC03859, SMC01290, SMC01292, SMC01294, SMC01296, SMC01295, SMC01300, SMC01299, SMC01321, SMC01302, SMC00565, SMC01306, SMC01305	62	61	2016	7.9957694341618195	4.59167787125736E-8	4.5033763548712025E-8	4.5033763548712025E-8
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	14	9.45945945945946	4.411779752851126E-9	SMC01308, SMC01319, SMC01290, SMC01292, SMC01294, SMC01296, SMC01295, SMC01300, SMC01299, SMC01321, SMC01302, SMC00565, SMC01306, SMC01305	71	59	2425	8.104559560754355	1.2352982481367292E-7	3.088245826995788E-8	2.8676568393532322E-8
GOTERM_CC_DIRECT	GO:0005840~ribosome	9	6.081081081081082	2.6687837019817674E-5	SMC01308, SMC03859, SMC01294, SMC01296, SMC01295, SMC01300, SMC01321, SMC01302, SMC00565	59	44	1971	6.833204930662559	3.468863319239235E-4	3.469418812576298E-4	3.202540442378121E-4
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	19	12.837837837837837	3.467212230054441E-5	SMC01903, SMC00913, SM_B22023, SM_B21566, SMC02092, SMC01192, SMC02053, SMC00493, SMC04278, SMC00184, SMC02098, SMC02599, SMC01563, SMC01288, SMA0744, SMC01235, SMC01326, SMC02601	40	317	1778	2.6641955835962143	2.0801470229603325E-4	2.0803273380326644E-4	2.0803273380326644E-4
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	8	5.405405405405405	9.791039038124452E-5	SM_B21294, SMC01280, SMC00913, SMC02376, SM_B22023, SM_B21566, SMA0744, SMC04040	40	41	1366	6.663414634146342	0.0032259863571717506	0.003231042882581069	0.003231042882581069
UP_KW_LIGAND	KW-0547~Nucleotide-binding	17	11.486486486486488	4.4219111662429945E-4	SMC00913, SM_B21566, SMC04282, SMC01192, SMC00493, SMC02376, SMC00154, SMC02599, SMC01288, SMA0744, SMC01005, SMC00059, SMC01235, SMC01169, SMC01326, SMC01215	27	283	981	2.182567726737338	0.008368278710263133	0.00840163121586169	0.00840163121586169
GOTERM_CC_DIRECT	GO:0015934~large ribosomal subunit	4	2.7027027027027026	7.787873508487787E-4	SMC01319, SMC01299, SMC01306, SMC01290	59	7	1971	19.08958837772397	0.010077062628679356	0.005062117780517061	0.004672724105092672
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	19	12.837837837837837	0.004367418705482219	SMC01903, SMC00913, SM_B22023, SM_B21566, SMC02092, SMC01192, SMC02053, SMC00493, SMC04278, SMC00184, SMC02098, SMC02599, SMC01563, SMC01288, SMA0744, SMC01235, SMC01326, SMC02601	59	328	1971	1.9351488218272013	0.05531221148356058	0.018925481057089615	0.017469674821928877
INTERPRO	IPR027410:TCP-1-like chaperonin intermediate domain	3	2.027027027027027	0.005057404792185418	SMC00913, SM_B21566, SMA0744	114	5	4890	25.736842105263154	0.7494695056042401	0.2301119180444365	0.2301119180444365
INTERPRO	IPR018370:Chaperonin Cpn60, conserved site	3	2.027027027027027	0.005057404792185418	SMC00913, SM_B21566, SMA0744	114	5	4890	25.736842105263154	0.7494695056042401	0.2301119180444365	0.2301119180444365
INTERPRO	IPR027409:GroEL-like apical domain	3	2.027027027027027	0.005057404792185418	SMC00913, SM_B21566, SMA0744	114	5	4890	25.736842105263154	0.7494695056042401	0.2301119180444365	0.2301119180444365
INTERPRO	IPR027413:GroEL-like equatorial domain	3	2.027027027027027	0.005057404792185418	SMC00913, SM_B21566, SMA0744	114	5	4890	25.736842105263154	0.7494695056042401	0.2301119180444365	0.2301119180444365
INTERPRO	IPR002423:Chaperonin Cpn60/TCP-1	3	2.027027027027027	0.005057404792185418	SMC00913, SM_B21566, SMA0744	114	5	4890	25.736842105263154	0.7494695056042401	0.2301119180444365	0.2301119180444365
INTERPRO	IPR001844:Chaperonin Cpn60	3	2.027027027027027	0.005057404792185418	SMC00913, SM_B21566, SMA0744	114	5	4890	25.736842105263154	0.7494695056042401	0.2301119180444365	0.2301119180444365
UP_SEQ_FEATURE	REGION:Disordered	24	16.216216216216218	0.005630642694427404	SMC01308, SINMEB_1263, SMC03859, SMC01419, SM_B21640, SMC02060, SMC01290, SMC01030, SMC01032, SMC01790, SMC02098, SMC01275, SMC01374, SMC01432, SMC01563, SMC02553, SMC00059, SMC00565, SMC04225, SMC02445, SMC00776, SMC01215, SMC01306, SMC01547	94	629	4348	1.7649088387511416	0.5948300714679562	0.9009028311083846	0.9009028311083846
GOTERM_BP_DIRECT	GO:0042026~protein refolding	3	2.027027027027027	0.01249265207191928	SMC00913, SM_B21566, SMA0744	62	6	2016	16.258064516129032	0.47988729334517755	0.3185626278339416	0.3185626278339416
UP_SEQ_FEATURE	BINDING:ATP	5	3.3783783783783785	0.01612985882420033	SMC01192, SMC00913, SM_B21566, SMC01288, SMA0744	94	46	4348	5.027752081406105	0.9258613105542144	1.0	1.0
UP_SEQ_FEATURE	BINDING:ATP; via amide nitrogen	3	2.027027027027027	0.021956607845303434	SMC00913, SM_B21566, SMA0744	94	11	4348	12.615087040618956	0.9713384469141924	1.0	1.0
GOTERM_MF_DIRECT	GO:0051082~unfolded protein binding	3	2.027027027027027	0.038458412084151516	SMC00913, SM_B21566, SMA0744	79	14	3453	9.36618444846293	0.9614210822217404	0.7415923278961001	0.7415923278961001
UP_SEQ_FEATURE	NP_BIND:FAD	3	2.027027027027027	0.03966357286470514	SMC02053, SMC00154, SMC02599	94	15	4348	9.251063829787233	0.9984592065325805	1.0	1.0
GOTERM_MF_DIRECT	GO:0070180~large ribosomal subunit rRNA binding	2	1.3513513513513513	0.04467423662024699	SMC01319, SMC01321	79	2	3453	43.708860759493675	0.9774797258914264	0.7415923278961001	0.7415923278961001
GOTERM_MF_DIRECT	GO:0097266~phenylacetyl-CoA 1,2-epoxidase activity	2	1.3513513513513513	0.04467423662024699	SM_B21639, SM_B21640	79	2	3453	43.708860759493675	0.9774797258914264	0.7415923278961001	0.7415923278961001
INTERPRO	IPR004160:Translation elongation factor EFTu/EF1A, C-terminal	2	1.3513513513513513	0.04568738886722974	SMC01326	114	2	4890	42.89473684210526	0.9999971453622563	1.0	1.0
INTERPRO	IPR004541:Translation elongation factor EFTu/EF1A, bacterial/organelle	2	1.3513513513513513	0.04568738886722974	SMC01326	114	2	4890	42.89473684210526	0.9999971453622563	1.0	1.0
INTERPRO	IPR013114:Beta-hydroxyacyl-(acyl-carrier-protein) dehydratase, FabA/FabZ	2	1.3513513513513513	0.0677490347467889	SMC04277, SMC02092	114	3	4890	28.59649122807017	0.9999999951864467	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0143~Chaperone	4	2.7027027027027026	0.06780233327092504	SMC00913, SM_B22023, SM_B21566, SMA0744	71	33	2425	4.139991463935126	0.8599689569014386	0.3796930663171802	0.35257213300881024
