Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	8	3.902439024390244	0.003736529321898817	SINMEB_0759, SINMEB_0992, SINMEB_1002, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1878	135	53	3484	3.8954577218728166	0.3642607842669682	0.4521200479497569	0.4521200479497569
GOTERM_BP_DIRECT	GO:0006412~translation	8	3.902439024390244	0.004655386647041954	SINMEB_0759, SINMEB_0992, SINMEB_1002, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1878	72	61	2024	3.686703096539162	0.2684862044880436	0.30725551870476897	0.30725551870476897
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	8	3.902439024390244	0.0053683518668771755	SINMEB_0759, SINMEB_0992, SINMEB_1002, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1878	94	56	2380	3.617021276595745	0.14912019270511945	0.056776554365764134	0.056776554365764134
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	8	3.902439024390244	0.0053683518668771755	SINMEB_0759, SINMEB_0992, SINMEB_1002, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1878	94	56	2380	3.617021276595745	0.14912019270511945	0.056776554365764134	0.056776554365764134
UP_KW_MOLECULAR_FUNCTION	KW-0720~Serine protease	4	1.951219512195122	0.005677655436576413	SINMEB_1012, SINMEB_3617, SINMEB_0884, SINMEB_2208	94	10	2380	10.127659574468085	0.157022521920262	0.056776554365764134	0.056776554365764134
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	6	2.9268292682926833	0.012516417445969317	SINMEB_3164, SINMEB_3031, SINMEB_5276, SINMEB_1012, SINMEB_0654, SINMEB_0884	48	41	1337	4.076219512195122	0.3725115919987978	0.46310744550086475	0.46310744550086475
GOTERM_CC_DIRECT	GO:0005840~ribosome	6	2.9268292682926833	0.013899958686719031	SINMEB_0759, SINMEB_0992, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_1878	65	45	1968	4.0369230769230775	0.2227198338950187	0.25019925636094253	0.25019925636094253
GOTERM_BP_DIRECT	GO:0046654~tetrahydrofolate biosynthetic process	3	1.4634146341463417	0.016611903547475344	SINMEB_1560, SINMEB_1050, SINMEB_1559	72	6	2024	14.055555555555555	0.6744846673352104	0.5481928170666863	0.5481928170666863
GOTERM_MF_DIRECT	GO:0050660~flavin adenine dinucleotide binding	6	2.9268292682926833	0.01923576673339291	SINMEB_1087, SINMEB_0041, SINMEB_1175, SINMEB_0487, SINMEB_1411, SINMEB_0404	135	41	3484	3.7766937669376692	0.9046503812068051	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0645~Protease	8	3.902439024390244	0.028609442537963516	SINMEB_3164, SINMEB_1981, SINMEB_1012, SINMEB_3617, SINMEB_0884, SINMEB_0733, SINMEB_1636, SINMEB_2208	94	77	2380	2.6305609284332685	0.5813835155962634	0.21457081903472638	0.21457081903472638
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	5	2.4390243902439024	0.03264669834811089	SINMEB_3164, SINMEB_5276, SINMEB_2221, SINMEB_0654, SINMEB_6197	135	32	3484	4.032407407407407	0.9819781524566514	1.0	1.0
