Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0016226~iron-sulfur cluster assembly	5	2.6178010471204187	3.785548369045286E-5	SINMEB_1153, SINMEB_1482, SINMEB_1051, SINMEB_0442, SINMEB_1484	69	7	2024	20.952380952380953	0.0027219352147537235	0.002687739342022153	0.002687739342022153
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	7	3.664921465968586	0.00169760112721186	SINMEB_3164, SINMEB_2652, SINMEB_3286, SINMEB_1385, SINMEB_1654, SINMEB_0884, SINMEB_3162	45	41	1337	5.072628726287263	0.052917808309596026	0.05432323607077952	0.05432323607077952
GOTERM_CC_DIRECT	GO:0005840~ribosome	6	3.1413612565445024	0.005342496407608005	SINMEB_0759, SINMEB_0992, SINMEB_0990, SINMEB_1000, SINMEB_0974, SINMEB_1006	52	45	1968	5.046153846153847	0.07225230175372988	0.07479494970651207	0.07479494970651207
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	7	3.664921465968586	0.010503361863740885	SINMEB_0759, SINMEB_0992, SINMEB_1002, SINMEB_0990, SINMEB_1000, SINMEB_0974, SINMEB_1006	125	53	3484	3.6812075471698114	0.6967376472966578	1.0	1.0
GOTERM_BP_DIRECT	GO:0006412~translation	7	3.664921465968586	0.014897701607183587	SINMEB_0759, SINMEB_0992, SINMEB_1002, SINMEB_0990, SINMEB_1000, SINMEB_0974, SINMEB_1006	69	61	2024	3.366120218579235	0.6606436899813786	0.5288684070550174	0.5288684070550174
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	7	3.664921465968586	0.016654476479443507	SINMEB_0759, SINMEB_0992, SINMEB_1002, SINMEB_0990, SINMEB_1000, SINMEB_0974, SINMEB_1006	90	56	2380	3.305555555555556	0.40585766634297393	0.25814438543137436	0.25814438543137436
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	7	3.664921465968586	0.016654476479443507	SINMEB_0759, SINMEB_0992, SINMEB_1002, SINMEB_0990, SINMEB_1000, SINMEB_0974, SINMEB_1006	90	56	2380	3.305555555555556	0.40585766634297393	0.25814438543137436	0.25814438543137436
GOTERM_MF_DIRECT	GO:0051536~iron-sulfur cluster binding	4	2.094240837696335	0.03664907705300905	SINMEB_1153, SINMEB_0804, SINMEB_1051, SINMEB_0442	125	21	3484	5.308952380952381	0.9852887183203031	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	13	6.806282722513089	0.0408342049569583	SINMEB_1164, SINMEB_3164, SINMEB_1275, SINMEB_3292, SINMEB_3162, SINMEB_1082, SINMEB_0717, SINMEB_1908, SINMEB_1403, SINMEB_1049, SINMEB_0884, SINMEB_3831, SINMEB_1528	41	316	1767	1.7730009262117938	0.3409219785910147	0.40834204956958303	0.40834204956958303
GOTERM_CC_DIRECT	GO:0009376~HslUV protease complex	2	1.0471204188481675	0.051170533311738715	SINMEB_3164, SINMEB_3162	52	2	1968	37.84615384615385	0.5206703539608428	0.358193733182171	0.358193733182171
GOTERM_MF_DIRECT	GO:0016491~oxidoreductase activity	14	7.329842931937172	0.05939878505016441	SINMEB_2033, SINMEB_6269, SINMEB_2477, SINMEB_0496, SINMEB_0584, SINMEB_1960, SINMEB_1750, SINMEB_0352, SINMEB_6271, SINMEB_0804, SINMEB_1775, SINMEB_2859, SINMEB_0438, SINMEB_1901	125	228	3484	1.711438596491228	0.9990118440326885	1.0	1.0
INTERPRO	IPR000825:SUF system FeS cluster assembly, SufBD	2	1.0471204188481675	0.06438129987765509	SINMEB_1482, SINMEB_1484	160	2	4859	30.368750000000002	0.99999999989995	1.0	1.0
UP_KW_DOMAIN	KW-0175~Coiled coil	15	7.853403141361256	0.0924852917157537	SINMEB_1164, SINMEB_1482, SINMEB_3164, SINMEB_1784, SINMEB_1146, SINMEB_0992, SINMEB_3286, SINMEB_3162, SINMEB_2260, SINMEB_2447, SINMEB_1512, SINMEB_1654, SINMEB_0884, SINMEB_1752, SINMEB_4306	52	339	1770	1.5061266167460856	0.582474454396345	0.8323676254417833	0.8323676254417833
INTERPRO	IPR014719:Ribosomal protein L7/L12, C-terminal/adaptor protein ClpS-like	2	1.0471204188481675	0.09500995405181037	SINMEB_1117, SINMEB_0974	160	3	4859	20.245833333333334	0.999999999999999	1.0	1.0
