Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	10	5.05050505050505	2.1964729355930442E-4	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0974, SINMEB_1006, SINMEB_1977, SINMEB_0987	93	56	2380	4.56989247311828	0.005913573909452574	0.00296523846305061	0.00296523846305061
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	10	5.05050505050505	2.1964729355930442E-4	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0974, SINMEB_1006, SINMEB_1977, SINMEB_0987	93	56	2380	4.56989247311828	0.005913573909452574	0.00296523846305061	0.00296523846305061
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	9	4.545454545454546	7.972457917316285E-4	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0974, SINMEB_1006, SINMEB_0987	135	53	3484	4.382389937106918	0.08691131635567217	0.09088602025740565	0.09088602025740565
GOTERM_BP_DIRECT	GO:0006412~translation	9	4.545454545454546	9.267824229461978E-4	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0974, SINMEB_1006, SINMEB_0987	71	61	2024	4.205957053798199	0.06197402497979443	0.06302120476034145	0.06302120476034145
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	20	10.1010101010101	0.0031819065788270037	SINMEB_3164, SINMEB_0882, SINMEB_1474, SINMEB_1275, SINMEB_1572, SINMEB_1165, SINMEB_3292, SINMEB_1082, SINMEB_0717, SINMEB_1908, SINMEB_1876, SINMEB_1403, SINMEB_0545, SINMEB_1049, SINMEB_1005, SINMEB_0884, SINMEB_1528, SINMEB_0406, SINMEB_1977, SINMEB_1932	58	316	1767	1.9281972937581844	0.022061854887656995	0.022273346051789024	0.022273346051789024
GOTERM_CC_DIRECT	GO:0005840~ribosome	7	3.535353535353535	0.0044328491635853735	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_3014, SINMEB_0974, SINMEB_1006, SINMEB_1977	71	45	1968	4.311737089201878	0.06446858286365087	0.0664927374537806	0.0664927374537806
UP_SEQ_FEATURE	DISULFID:Redox-active	3	1.5151515151515151	0.016100891987205254	SINMEB_3139, SINMEB_1604, SINMEB_1080	150	6	4331	14.436666666666667	0.9610853284503117	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0012~Acyltransferase	7	3.535353535353535	0.030470214004302942	SINMEB_1751, SINMEB_1474, SINMEB_1077, SINMEB_3809, SINMEB_1403, SINMEB_1752, SINMEB_0026	93	62	2380	2.8893513701005897	0.5663381545414659	0.2742319260387265	0.2742319260387265
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	19	9.595959595959595	0.03608982316371533	SINMEB_0882, SINMEB_1474, SINMEB_1275, SINMEB_1572, SINMEB_1165, SINMEB_3292, SINMEB_1082, SINMEB_0717, SINMEB_1908, SINMEB_1876, SINMEB_1403, SINMEB_0545, SINMEB_1049, SINMEB_1005, SINMEB_0884, SINMEB_1528, SINMEB_0406, SINMEB_1977, SINMEB_1932	71	331	1968	1.5910812305859325	0.42383286418401545	0.270673673727865	0.270673673727865
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	5	2.525252525252525	0.047571474262859834	SINMEB_0759, SINMEB_0991, SINMEB_1001, SINMEB_1006, SINMEB_0987	135	36	3484	3.5843621399176953	0.9961372824966682	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	5	2.525252525252525	0.0489524574061578	SINMEB_3164, SINMEB_1876, SINMEB_0047, SINMEB_0884, SINMEB_0406	47	41	1337	3.4691229891022313	0.851514292032604	1.0	1.0
INTERPRO	IPR003959:ATPase, AAA-type, core	3	1.5151515151515151	0.0532494013694717	SINMEB_3164, SINMEB_0884, SINMEB_1118	169	11	4859	7.8413125336202265	0.9999999968930043	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	5	2.525252525252525	0.05662323605303044	SINMEB_0759, SINMEB_0991, SINMEB_1001, SINMEB_1006, SINMEB_0987	93	38	2380	3.367289190718733	0.792747524583777	0.334326956540951	0.334326956540951
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	6	3.0303030303030303	0.06264443875403303	SINMEB_1087, SINMEB_0759, SINMEB_0991, SINMEB_1001, SINMEB_1006, SINMEB_0987	93	56	2380	2.7419354838709675	0.8256516949268894	0.334326956540951	0.334326956540951
INTERPRO	IPR016454:Cysteine desulfurase, NifS	2	1.0101010101010102	0.06796147023255336	SINMEB_1481, SINMEB_1485	169	2	4859	28.75147928994083	0.999999999988589	1.0	1.0
GOTERM_BP_DIRECT	GO:0043335~protein unfolding	2	1.0101010101010102	0.06799034424282269	SINMEB_3164, SINMEB_1118	71	2	2024	28.507042253521128	0.9922373785227779	1.0	1.0
INTERPRO	IPR012349:FMN-binding split barrel	3	1.5151515151515151	0.07220552493610062	SINMEB_1058, SINMEB_1610, SINMEB_6170	169	13	4859	6.634956759217115	0.9999999999977729	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0645~Protease	7	3.535353535353535	0.07429487923132244	SINMEB_3164, SINMEB_0882, SINMEB_1981, SINMEB_0884, SINMEB_1279, SINMEB_0733, SINMEB_1118	93	77	2380	2.3264907135874875	0.8756167254781382	0.334326956540951	0.334326956540951
GOTERM_MF_DIRECT	GO:0031071~cysteine desulfurase activity	2	1.0101010101010102	0.07545440491189055	SINMEB_1481, SINMEB_1485	135	2	3484	25.807407407407407	0.9998694340144604	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:HlyD_D23	3	1.5151515151515151	0.08164321480240166	SINMEB_2728, SINMEB_4306, SINMEB_4328	150	14	4331	6.187142857142858	0.9999999599790109	1.0	1.0
UP_SEQ_FEATURE	REGION:Disordered	29	14.646464646464647	0.08326208431938734	SINMEB_0041, SINMEB_0380, SINMEB_1052, SINMEB_1370, SINMEB_2146, SINMEB_3014, SINMEB_1077, SINMEB_2728, SINMEB_3759, SINMEB_0545, SINMEB_0884, SINMEB_0329, SINMEB_4328, SINMEB_1118, SINMEB_0987, SINMEB_1877, SINMEB_1635, SINMEB_6358, SINMEB_2251, SINMEB_2250, SINMEB_1069, SINMEB_6196, SINMEB_0759, SINMEB_2217, SINMEB_2117, SINMEB_1006, SINMEB_0934, SINMEB_0733, SINMEB_1624	150	627	4331	1.3354492291334397	0.9999999718784812	1.0	1.0
PIR_SUPERFAMILY	PIRSF005572:cysteine desulfurase, NifS type	2	1.0101010101010102	0.09019941806833566	SINMEB_1481, SINMEB_1485	32	2	672	21.0	0.9355177626090723	1.0	1.0
UP_SEQ_FEATURE	NP_BIND:FAD	3	1.5151515151515151	0.09214294394569414	SINMEB_0717, SINMEB_1604, SINMEB_1080	150	15	4331	5.774666666666667	0.9999999959867643	1.0	1.0
UP_KW_PTM	KW-1015~Disulfide bond	3	1.5151515151515151	0.09445019839252299	SINMEB_2477, SINMEB_1604, SINMEB_1080	8	15	193	4.825	0.17997955680865907	0.28335059517756894	0.28335059517756894
UP_SEQ_FEATURE	DOMAIN:HlyD	2	1.0101010101010102	0.09972163837946459	SINMEB_2728, SINMEB_4306	150	3	4331	19.24888888888889	0.9999999992494798	1.0	1.0
