Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0016226~iron-sulfur cluster assembly	5	2.4752475247524752	4.25168756338378E-5	SINMEB_1153, SINMEB_1051, SINMEB_0442, SINMEB_1484, SINMEB_1479	71	7	2024	20.36217303822938	0.0027598402869020155	0.0027210800405656193	0.0027210800405656193
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	9	4.455445544554455	4.279475915355056E-5	SINMEB_3031, SINMEB_2652, SINMEB_5276, SINMEB_1012, SINMEB_3286, SINMEB_1385, SINMEB_0654, SINMEB_1654, SINMEB_3162	47	41	1337	6.244421380384017	0.001240304756839894	0.0012410480154529662	0.0012410480154529662
GOTERM_MF_DIRECT	GO:0051536~iron-sulfur cluster binding	6	2.9702970297029703	6.777290937526764E-4	SINMEB_1153, SINMEB_1051, SINMEB_0442, SINMEB_1479, SINMEB_1803, SINMEB_6270	125	21	3484	7.9634285714285715	0.07186257896983028	0.0745502003127944	0.0745502003127944
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	6	2.9702970297029703	0.004901171898694546	SINMEB_0442, SINMEB_5276, SINMEB_3286, SINMEB_2221, SINMEB_0654, SINMEB_6197	125	32	3484	5.226	0.4175165019134318	0.26956445442820004	0.26956445442820004
GOTERM_MF_DIRECT	GO:0016787~hydrolase activity	15	7.425742574257425	0.046377156544879214	SINMEB_1582, SINMEB_2044, SINMEB_1571, SINMEB_1570, SINMEB_2257, SINMEB_0442, SINMEB_0376, SINMEB_2860, SINMEB_1495, SINMEB_0915, SINMEB_1611, SINMEB_0725, SINMEB_2758, SINMEB_0744, SINMEB_4967	125	242	3484	1.7276033057851239	0.9946119572122947	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0720~Serine protease	3	1.4851485148514851	0.05223637272616879	SINMEB_1012, SINMEB_3617, SINMEB_2208	91	10	2380	7.846153846153847	0.7889909463090997	0.7108012623923596	0.7108012623923596
UP_KW_MOLECULAR_FUNCTION	KW-0378~Hydrolase	29	14.356435643564355	0.05651145676712367	SINMEB_2044, SINMEB_1571, SINMEB_1570, SINMEB_1470, SINMEB_0442, SINMEB_0541, SINMEB_1078, SINMEB_1012, SINMEB_2860, SINMEB_1495, SINMEB_0880, SINMEB_1050, SINMEB_1117, SINMEB_1611, SINMEB_3617, SINMEB_3831, SINMEB_3875, SINMEB_2208, SINMEB_1636, SINMEB_0744, SINMEB_4967, SINMEB_1582, SINMEB_3621, SINMEB_2257, SINMEB_0376, SINMEB_3162, SINMEB_0915, SINMEB_2017, SINMEB_2758	91	559	2380	1.3568184945644695	0.814918804474256	0.7108012623923596	0.7108012623923596
UP_KW_CELLULAR_COMPONENT	KW-0997~Cell inner membrane	9	4.455445544554455	0.057863407193438535	SINMEB_3794, SINMEB_0915, SINMEB_1162, SINMEB_6354, SINMEB_2257, SINMEB_2860, SINMEB_1004, SINMEB_1637, SINMEB_2758	48	161	1767	2.0578416149068324	0.44901633666208174	0.5786340719343853	0.5786340719343853
INTERPRO	IPR013126:Heat shock protein 70 family	2	0.9900990099009901	0.06358477445970596	SINMEB_3286, SINMEB_0654	158	2	4859	30.753164556962027	0.9999999996845	1.0	1.0
INTERPRO	IPR000361:FeS cluster biogenesis	2	0.9900990099009901	0.06358477445970596	SINMEB_1153, SINMEB_1479	158	2	4859	30.753164556962027	0.9999999996845	1.0	1.0
INTERPRO	IPR016092:FeS cluster insertion protein	2	0.9900990099009901	0.06358477445970596	SINMEB_1153, SINMEB_1479	158	2	4859	30.753164556962027	0.9999999996845	1.0	1.0
INTERPRO	IPR018181:Heat shock protein 70, conserved site	2	0.9900990099009901	0.06358477445970596	SINMEB_3286, SINMEB_0654	158	2	4859	30.753164556962027	0.9999999996845	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Fe-S_biosyn	2	0.9900990099009901	0.06629204675602697	SINMEB_1153, SINMEB_1479	147	2	4331	29.462585034013603	0.9999929771555015	1.0	1.0
INTERPRO	IPR015797:NUDIX hydrolase domain-like	3	1.4851485148514851	0.07321729832836942	SINMEB_0541, SINMEB_1495, SINMEB_0725	158	14	4859	6.58996383363472	0.9999999999899156	1.0	1.0
INTERPRO	IPR011527:ABC transporter, transmembrane domain, type 1	3	1.4851485148514851	0.07321729832836942	SINMEB_1571, SINMEB_1570, SINMEB_0744	158	14	4859	6.58996383363472	0.9999999999899156	1.0	1.0
INTERPRO	IPR000887:KDPG/KHG aldolase	2	0.9900990099009901	0.09385390981275854	SINMEB_2385, SINMEB_0436	158	3	4859	20.50210970464135	0.9999999999999944	1.0	1.0
INTERPRO	IPR017871:ABC transporter, conserved site	10	4.9504950495049505	0.09508382686649237	SINMEB_0915, SINMEB_1571, SINMEB_1483, SINMEB_1582, SINMEB_2044, SINMEB_1570, SINMEB_2257, SINMEB_0744, SINMEB_2758, SINMEB_4967	158	169	4859	1.8197138791101792	0.9999999999999964	1.0	1.0
UP_KW_LIGAND	KW-0830~Ubiquinone	4	1.9801980198019802	0.09842169217191964	SINMEB_1419, SINMEB_6354, SINMEB_6355, SINMEB_1901	31	37	986	3.4385353095030515	0.8450961645973409	1.0	1.0
