Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	8	4.123711340206185	2.882340688524012E-4	SINMEB_2652, SINMEB_3286, SINMEB_1385, SINMEB_1876, SINMEB_1654, SINMEB_0047, SINMEB_3162, SINMEB_0406	46	41	1337	5.671261930010604	0.00889673187711193	0.008935256134424438	0.008935256134424438
GOTERM_BP_DIRECT	GO:0016226~iron-sulfur cluster assembly	4	2.0618556701030926	0.001203703514202309	SINMEB_1153, SINMEB_1051, SINMEB_0442, SINMEB_1484	70	7	2024	16.522448979591836	0.07530179129598868	0.07703702490894777	0.07703702490894777
UP_SEQ_FEATURE	DISULFID:Redox-active	3	1.5463917525773196	0.015485910455773126	SINMEB_3139, SINMEB_1604, SINMEB_1080	147	6	4331	14.731292517006802	0.9273417036007683	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	7	3.608247422680412	0.015814877548207512	SINMEB_0991, SINMEB_3014, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_1977, SINMEB_0987	89	56	2380	3.342696629213483	0.37016458798446294	0.22931572444900894	0.22931572444900894
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	7	3.608247422680412	0.015814877548207512	SINMEB_0991, SINMEB_3014, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_1977, SINMEB_0987	89	56	2380	3.342696629213483	0.37016458798446294	0.22931572444900894	0.22931572444900894
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	5	2.5773195876288657	0.024765501606308245	SINMEB_0442, SINMEB_3286, SINMEB_0545, SINMEB_0406, SINMEB_1118	124	32	3484	4.390120967741935	0.9350039320835799	1.0	1.0
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	5	2.5773195876288657	0.03643501603533139	SINMEB_0991, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_0987	124	36	3484	3.9023297491039424	0.9825003237080217	1.0	1.0
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	6	3.0927835051546393	0.03753722180548799	SINMEB_0991, SINMEB_3014, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_0987	124	53	3484	3.1807668898356667	0.984552800087976	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	5	2.5773195876288657	0.04944017274855348	SINMEB_0991, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_0987	89	38	2380	3.518628030751035	0.7701713176924803	0.47792166990268364	0.47792166990268364
GOTERM_CC_DIRECT	GO:0005840~ribosome	5	2.5773195876288657	0.05073164894017198	SINMEB_0991, SINMEB_3014, SINMEB_0990, SINMEB_1000, SINMEB_1977	63	45	1968	3.4708994708994707	0.5175569857969745	0.5248511240691025	0.5248511240691025
GOTERM_BP_DIRECT	GO:0006412~translation	6	3.0927835051546393	0.05404367169568851	SINMEB_0991, SINMEB_3014, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_0987	70	61	2024	2.8440281030444967	0.9729840247666305	1.0	1.0
INTERPRO	IPR016454:Cysteine desulfurase, NifS	2	1.0309278350515463	0.06517748638294193	SINMEB_1481, SINMEB_1485	162	2	4859	29.993827160493826	0.99999999988055	1.0	1.0
GOTERM_MF_DIRECT	GO:0031071~cysteine desulfurase activity	2	1.0309278350515463	0.06937188436697724	SINMEB_1481, SINMEB_1485	124	2	3484	28.096774193548384	0.9996049951499549	1.0	1.0
GOTERM_CC_DIRECT	GO:0043190~ATP-binding cassette (ABC) transporter complex	7	3.608247422680412	0.07497873200987179	SINMEB_3794, SINMEB_2044, SINMEB_1583, SINMEB_2327, SINMEB_3804, SINMEB_1763, SINMEB_1637	63	95	1968	2.3017543859649123	0.6641664707221049	0.5248511240691025	0.5248511240691025
INTERPRO	IPR011527:ABC transporter, transmembrane domain, type 1	3	1.5463917525773196	0.07650697799846307	SINMEB_1571, SINMEB_3605, SINMEB_0744	162	14	4859	6.427248677248677	0.9999999999980858	1.0	1.0
PIR_SUPERFAMILY	PIRSF005572:cysteine desulfurase, NifS type	2	1.0309278350515463	0.09019941806833566	SINMEB_1481, SINMEB_1485	32	2	672	21.0	0.9291248668427747	1.0	1.0
INTERPRO	IPR012340:Nucleic acid-binding, OB-fold	4	2.0618556701030926	0.09452139757008116	SINMEB_1399, SINMEB_1876, SINMEB_1932, SINMEB_0987	162	33	4859	3.635615413393191	0.9999999999999976	1.0	1.0
