Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	14	3.49127182044888	1.36274126383756E-06	SINMEB_3164, SINMEB_3031, SINMEB_5276, SINMEB_2652, SINMEB_1012, SINMEB_3286, SINMEB_1385, SINMEB_3162, SINMEB_1876, SINMEB_0654, SINMEB_1654, SINMEB_0047, SINMEB_0884, SINMEB_0406	94	41	1337	4.85677218474312	6.94974367518863E-05	6.94998044557154E-05	6.94998044557154E-05
GOTERM_BP_DIRECT	GO:0016226~iron-sulfur cluster assembly	6	1.49625935162095	2.87163973943104E-05	SINMEB_1153, SINMEB_1482, SINMEB_1051, SINMEB_0442, SINMEB_1484, SINMEB_1479	142	7	2024	12.2173038229376	0.003211115991915	0.003187520110768	0.003187520110768
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	15	3.74064837905237	5.03369042992965E-05	SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_0759, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1977, SINMEB_1878, SINMEB_0987	184	56	2380	3.46467391304348	0.001810533168583	0.000906064277387	0.000830558920938
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	15	3.74064837905237	5.03369042992965E-05	SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_0759, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1977, SINMEB_1878, SINMEB_0987	184	56	2380	3.46467391304348	0.001810533168583	0.000906064277387	0.000830558920938
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	14	3.49127182044888	8.88039855884348E-05	SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_0759, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1878, SINMEB_0987	260	53	3484	3.53962264150943	0.016819264326084	0.016961561247391	0.016961561247391
GOTERM_BP_DIRECT	GO:0006412~translation	14	3.49127182044888	0.000187384547235	SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_0759, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1878, SINMEB_0987	142	61	2024	3.27129993073193	0.020770299080099	0.010399842371568	0.010399842371568
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	10	2.49376558603491	0.000369418917618	SINMEB_3164, SINMEB_0442, SINMEB_5276, SINMEB_3286, SINMEB_2221, SINMEB_0654, SINMEB_0545, SINMEB_6197, SINMEB_0406, SINMEB_1118	260	32	3484	4.1875	0.06813940288309	0.035279506632477	0.035279506632477
GOTERM_CC_DIRECT	GO:0005840~ribosome	11	2.7431421446384	0.000403378678631	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_3014, SINMEB_0990, SINMEB_1000, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_1977, SINMEB_1878	128	45	1968	3.75833333333333	0.009236658882235	0.009277709608515	0.009277709608515
GOTERM_MF_DIRECT	GO:0051536~iron-sulfur cluster binding	7	1.74563591022444	0.003331827651352	SINMEB_1153, SINMEB_0804, SINMEB_1051, SINMEB_0442, SINMEB_1479, SINMEB_1803, SINMEB_6270	260	21	3484	4.46666666666667	0.471356821151097	0.193582692466363	0.193582692466363
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	9	2.24438902743142	0.004054087800343	SINMEB_0759, SINMEB_0991, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_0987	260	36	3484	3.35	0.539712795846876	0.193582692466363	0.193582692466363
UP_KW_MOLECULAR_FUNCTION	KW-0720~Serine protease	5	1.24688279301746	0.004914682195526	SINMEB_0882, SINMEB_1012, SINMEB_3617, SINMEB_0884, SINMEB_2208	184	10	2380	6.46739130434783	0.162525750521292	0.05897618634631	0.054061504150784
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	9	2.24438902743142	0.006894682786044	SINMEB_0759, SINMEB_0991, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_0987	184	38	2380	3.06350114416476	0.22047318706035	0.062052145074392	0.056881132984859
UP_KW_MOLECULAR_FUNCTION	KW-0645~Protease	13	3.24189526184539	0.012883109321136	SINMEB_3164, SINMEB_1981, SINMEB_0882, SINMEB_1012, SINMEB_3162, SINMEB_1117, SINMEB_3617, SINMEB_0884, SINMEB_1279, SINMEB_0733, SINMEB_2208, SINMEB_1636, SINMEB_1118	184	77	2380	2.18379446640316	0.372997898316914	0.092758387112176	0.085028521519495
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	28	6.98254364089776	0.024737583073536	SINMEB_1175, SINMEB_1095, SINMEB_5276, SINMEB_0882, SINMEB_1474, SINMEB_1275, SINMEB_1572, SINMEB_3292, SINMEB_1876, SINMEB_0545, SINMEB_0884, SINMEB_3831, SINMEB_0406, SINMEB_1977, SINMEB_2208, SINMEB_1932, SINMEB_1164, SINMEB_3164, SINMEB_1165, SINMEB_6173, SINMEB_3162, SINMEB_1082, SINMEB_0717, SINMEB_1908, SINMEB_1403, SINMEB_1049, SINMEB_1005, SINMEB_1528	106	316	1767	1.4770718891808	0.25961457485228	0.296850996882437	0.296850996882437
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	10	2.49376558603491	0.024744706413167	SINMEB_1087, SINMEB_0759, SINMEB_0991, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_0987	184	56	2380	2.30978260869565	0.594249198223558	0.148468238479001	0.136095885272418
GOTERM_MF_DIRECT	GO:0050660~flavin adenine dinucleotide binding	8	1.99501246882793	0.02926055488053	SINMEB_1087, SINMEB_0041, SINMEB_1175, SINMEB_0487, SINMEB_1411, SINMEB_1604, SINMEB_0404, SINMEB_1080	260	41	3484	2.61463414634146	0.99655958101985	1	1
