Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	14	3.4912718204488775	1.3627412638375576E-6	SINMEB_3164, SINMEB_3031, SINMEB_5276, SINMEB_2652, SINMEB_1012, SINMEB_3286, SINMEB_1385, SINMEB_3162, SINMEB_1876, SINMEB_0654, SINMEB_1654, SINMEB_0047, SINMEB_0884, SINMEB_0406	94	41	1337	4.856772184743123	6.949743675188635E-5	6.949980445571544E-5	6.949980445571544E-5
GOTERM_BP_DIRECT	GO:0016226~iron-sulfur cluster assembly	6	1.4962593516209477	2.8716397394310446E-5	SINMEB_1153, SINMEB_1482, SINMEB_1051, SINMEB_0442, SINMEB_1484, SINMEB_1479	142	7	2024	12.217303822937625	0.0032111159919151477	0.0031875201107684596	0.0031875201107684596
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	15	3.7406483790523692	5.033690429929649E-5	SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_0759, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1977, SINMEB_1878, SINMEB_0987	184	56	2380	3.4646739130434785	0.0018105331685825954	9.060642773873368E-4	8.305589209383921E-4
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	15	3.7406483790523692	5.033690429929649E-5	SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_0759, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1977, SINMEB_1878, SINMEB_0987	184	56	2380	3.4646739130434785	0.0018105331685825954	9.060642773873368E-4	8.305589209383921E-4
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	14	3.4912718204488775	8.880398558843481E-5	SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_0759, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1878, SINMEB_0987	260	53	3484	3.5396226415094345	0.016819264326083827	0.01696156124739105	0.01696156124739105
GOTERM_BP_DIRECT	GO:0006412~translation	14	3.4912718204488775	1.8738454723545492E-4	SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_0759, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1878, SINMEB_0987	142	61	2024	3.2712999307319324	0.020770299080098753	0.010399842371567748	0.010399842371567748
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	10	2.493765586034913	3.6941891761755783E-4	SINMEB_3164, SINMEB_0442, SINMEB_5276, SINMEB_3286, SINMEB_2221, SINMEB_0654, SINMEB_0545, SINMEB_6197, SINMEB_0406, SINMEB_1118	260	32	3484	4.1875	0.0681394028830895	0.035279506632476774	0.035279506632476774
GOTERM_CC_DIRECT	GO:0005840~ribosome	11	2.7431421446384037	4.033786786310767E-4	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_3014, SINMEB_0990, SINMEB_1000, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_1977, SINMEB_1878	128	45	1968	3.7583333333333333	0.009236658882235349	0.009277709608514765	0.009277709608514765
GOTERM_MF_DIRECT	GO:0051536~iron-sulfur cluster binding	7	1.7456359102244388	0.0033318276513524575	SINMEB_1153, SINMEB_0804, SINMEB_1051, SINMEB_0442, SINMEB_1479, SINMEB_1803, SINMEB_6270	260	21	3484	4.466666666666667	0.471356821151097	0.19358269246636328	0.19358269246636328
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	9	2.2443890274314215	0.004054087800342687	SINMEB_0759, SINMEB_0991, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_0987	260	36	3484	3.35	0.5397127958468765	0.19358269246636328	0.19358269246636328
UP_KW_MOLECULAR_FUNCTION	KW-0720~Serine protease	5	1.2468827930174564	0.004914682195525805	SINMEB_0882, SINMEB_1012, SINMEB_3617, SINMEB_0884, SINMEB_2208	184	10	2380	6.467391304347826	0.1625257505212917	0.05897618634630966	0.054061504150783854
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	9	2.2443890274314215	0.006894682786043501	SINMEB_0759, SINMEB_0991, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_0987	184	38	2380	3.06350114416476	0.22047318706034968	0.06205214507439151	0.05688113298485888
UP_KW_MOLECULAR_FUNCTION	KW-0645~Protease	13	3.2418952618453867	0.012883109321135547	SINMEB_3164, SINMEB_1981, SINMEB_0882, SINMEB_1012, SINMEB_3162, SINMEB_1117, SINMEB_3617, SINMEB_0884, SINMEB_1279, SINMEB_0733, SINMEB_2208, SINMEB_1636, SINMEB_1118	184	77	2380	2.1837944664031617	0.372997898316914	0.09275838711217595	0.08502852151949461
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	28	6.982543640897755	0.024737583073536386	SINMEB_1175, SINMEB_1095, SINMEB_5276, SINMEB_0882, SINMEB_1474, SINMEB_1275, SINMEB_1572, SINMEB_3292, SINMEB_1876, SINMEB_0545, SINMEB_0884, SINMEB_3831, SINMEB_0406, SINMEB_1977, SINMEB_2208, SINMEB_1932, SINMEB_1164, SINMEB_3164, SINMEB_1165, SINMEB_6173, SINMEB_3162, SINMEB_1082, SINMEB_0717, SINMEB_1908, SINMEB_1403, SINMEB_1049, SINMEB_1005, SINMEB_1528	106	316	1767	1.4770718891807977	0.2596145748522799	0.29685099688243666	0.29685099688243666
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	10	2.493765586034913	0.024744706413166822	SINMEB_1087, SINMEB_0759, SINMEB_0991, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_0987	184	56	2380	2.3097826086956523	0.5942491982235576	0.14846823847900092	0.13609588527241753
GOTERM_MF_DIRECT	GO:0050660~flavin adenine dinucleotide binding	8	1.99501246882793	0.02926055488053033	SINMEB_1087, SINMEB_0041, SINMEB_1175, SINMEB_0487, SINMEB_1411, SINMEB_1604, SINMEB_0404, SINMEB_1080	260	41	3484	2.6146341463414635	0.9965595810198503	1.0	1.0
GOTERM_MF_DIRECT	GO:0016787~hydrolase activity	27	6.733167082294264	0.03283932780870007	SINMEB_2044, SINMEB_1571, SINMEB_1570, SINMEB_1399, SINMEB_0442, SINMEB_2860, SINMEB_1495, SINMEB_0727, SINMEB_2327, SINMEB_1611, SINMEB_1511, SINMEB_1775, SINMEB_1638, SINMEB_0725, SINMEB_1416, SINMEB_0744, SINMEB_0448, SINMEB_4967, SINMEB_1582, SINMEB_2257, SINMEB_0376, SINMEB_1160, SINMEB_0915, SINMEB_3605, SINMEB_2039, SINMEB_3622, SINMEB_2758	260	242	3484	1.4950413223140497	0.9983008253141962	1.0	1.0
UP_KW_LIGAND	KW-0547~Nucleotide-binding	29	7.231920199501247	0.033182453753270724	SINMEB_1399, SINMEB_5276, SINMEB_2882, SINMEB_0044, SINMEB_1275, SINMEB_2221, SINMEB_3292, SINMEB_1050, SINMEB_0545, SINMEB_0884, SINMEB_1559, SINMEB_1757, SINMEB_1164, SINMEB_3164, SINMEB_2257, SINMEB_3286, SINMEB_1165, SINMEB_3584, SINMEB_1080, SINMEB_2092, SINMEB_0915, SINMEB_0654, SINMEB_1369, SINMEB_1005, SINMEB_1367, SINMEB_1528, SINMEB_1604, SINMEB_2758, SINMEB_0437	74	278	986	1.389947501458293	0.5550936893046654	0.7963788900784974	0.7963788900784974
INTERPRO	IPR003959:ATPase, AAA-type, core	4	0.997506234413965	0.033235175411056965	SINMEB_3164, SINMEB_2221, SINMEB_0884, SINMEB_1118	328	11	4859	5.386917960088692	0.9999999995386245	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Pyr_redox_2	5	1.2468827930174564	0.036598665152461414	SINMEB_6269, SINMEB_1901, SINMEB_1604, SINMEB_0404, SINMEB_1080	297	19	4331	3.837497784866206	0.9999966360589475	1.0	1.0
INTERPRO	IPR023753:Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain	5	1.2468827930174564	0.04135922814666087	SINMEB_6269, SINMEB_1901, SINMEB_1604, SINMEB_0404, SINMEB_1080	328	20	4859	3.7035060975609757	0.9999999999978465	1.0	1.0
GOTERM_MF_DIRECT	GO:0008233~peptidase activity	5	1.2468827930174564	0.04759264671779805	SINMEB_3164, SINMEB_1117, SINMEB_2017, SINMEB_0733, SINMEB_1118	260	19	3484	3.5263157894736845	0.9999098131319931	1.0	1.0
INTERPRO	IPR012349:FMN-binding split barrel	4	0.997506234413965	0.05214995764774475	SINMEB_1058, SINMEB_1502, SINMEB_1610, SINMEB_6170	328	13	4859	4.558161350844278	0.9999999999999984	1.0	1.0
UP_SEQ_FEATURE	DISULFID:Redox-active	3	0.7481296758104738	0.05812411065386179	SINMEB_3139, SINMEB_1604, SINMEB_1080	297	6	4331	7.291245791245792	0.9999999983786987	1.0	1.0
GOTERM_BP_DIRECT	GO:0046654~tetrahydrofolate biosynthetic process	3	0.7481296758104738	0.060040972709485906	SINMEB_1560, SINMEB_1050, SINMEB_1559	142	6	2024	7.126760563380282	0.9990268060635197	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0378~Hydrolase	53	13.216957605985039	0.06309838282540545	SINMEB_1571, SINMEB_1570, SINMEB_1454, SINMEB_0882, SINMEB_0442, SINMEB_1012, SINMEB_2860, SINMEB_1495, SINMEB_0880, SINMEB_1050, SINMEB_0727, SINMEB_1611, SINMEB_1775, SINMEB_0884, SINMEB_3831, SINMEB_3875, SINMEB_1416, SINMEB_4967, SINMEB_0448, SINMEB_3621, SINMEB_2257, SINMEB_1165, SINMEB_1160, SINMEB_0915, SINMEB_1369, SINMEB_2017, SINMEB_1049, SINMEB_3622, SINMEB_2044, SINMEB_1470, SINMEB_1399, SINMEB_0541, SINMEB_1078, SINMEB_1154, SINMEB_1117, SINMEB_2327, SINMEB_1511, SINMEB_3617, SINMEB_1279, SINMEB_1638, SINMEB_2208, SINMEB_1636, SINMEB_0744, SINMEB_1118, SINMEB_1582, SINMEB_3164, SINMEB_1981, SINMEB_0376, SINMEB_3162, SINMEB_3605, SINMEB_2039, SINMEB_2758, SINMEB_0733	184	559	2380	1.2263747374970833	0.9042842098393731	0.3245059688163709	0.29746380474834
INTERPRO	IPR011527:ABC transporter, transmembrane domain, type 1	4	0.997506234413965	0.06316895481616175	SINMEB_1571, SINMEB_1570, SINMEB_3605, SINMEB_0744	328	14	4859	4.232578397212544	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0005524~ATP binding	43	10.723192019950124	0.06744342832379284	SINMEB_2044, SINMEB_1571, SINMEB_1570, SINMEB_1399, SINMEB_5276, SINMEB_0442, SINMEB_2882, SINMEB_2860, SINMEB_0044, SINMEB_1275, SINMEB_2221, SINMEB_3292, SINMEB_0825, SINMEB_2327, SINMEB_0545, SINMEB_0884, SINMEB_1638, SINMEB_0406, SINMEB_1416, SINMEB_0744, SINMEB_1559, SINMEB_1757, SINMEB_1118, SINMEB_4967, SINMEB_1582, SINMEB_1164, SINMEB_1483, SINMEB_2472, SINMEB_1382, SINMEB_3164, SINMEB_2257, SINMEB_3286, SINMEB_3584, SINMEB_6197, SINMEB_1160, SINMEB_0915, SINMEB_0654, SINMEB_3605, SINMEB_1005, SINMEB_3622, SINMEB_1528, SINMEB_2758, SINMEB_0437	260	452	3484	1.2747787610619468	0.9999983857875412	1.0	1.0
GOTERM_MF_DIRECT	GO:0004176~ATP-dependent peptidase activity	3	0.7481296758104738	0.06763567101981455	SINMEB_0882, SINMEB_0884, SINMEB_2208	260	6	3484	6.700000000000001	0.9999984481166251	1.0	1.0
GOTERM_CC_DIRECT	GO:0015934~large ribosomal subunit	3	0.7481296758104738	0.07006739323716224	SINMEB_1002, SINMEB_0989, SINMEB_0987	128	7	1968	6.589285714285714	0.8119021005736475	0.8057750222273657	0.8057750222273657
UP_KW_LIGAND	KW-0067~ATP-binding	24	5.985037406483791	0.07233984854203013	SINMEB_1164, SINMEB_2472, SINMEB_3164, SINMEB_1399, SINMEB_2257, SINMEB_5276, SINMEB_2882, SINMEB_3286, SINMEB_2221, SINMEB_0044, SINMEB_1275, SINMEB_3584, SINMEB_3292, SINMEB_0915, SINMEB_0654, SINMEB_0545, SINMEB_1005, SINMEB_0884, SINMEB_1528, SINMEB_2758, SINMEB_1559, SINMEB_1757, SINMEB_1118, SINMEB_0437	74	234	986	1.3665973665973665	0.8350570965886019	0.8680781825043615	0.8680781825043615
UP_SEQ_FEATURE	NP_BIND:FAD	4	0.997506234413965	0.07795712981015304	SINMEB_0717, SINMEB_1175, SINMEB_1604, SINMEB_1080	297	15	4331	3.8886644219977553	0.9999999999987813	1.0	1.0
UP_KW_DOMAIN	KW-0175~Coiled coil	29	7.231920199501247	0.0843083613374425	SINMEB_1032, SINMEB_1470, SINMEB_1095, SINMEB_5276, SINMEB_2146, SINMEB_2221, SINMEB_2260, SINMEB_0728, SINMEB_2728, SINMEB_2447, SINMEB_1512, SINMEB_1654, SINMEB_0146, SINMEB_0884, SINMEB_1752, SINMEB_0026, SINMEB_0329, SINMEB_4306, SINMEB_1164, SINMEB_2472, SINMEB_1482, SINMEB_3164, SINMEB_1784, SINMEB_1146, SINMEB_0992, SINMEB_3286, SINMEB_6173, SINMEB_3162, SINMEB_1803	115	339	1770	1.3166602539438244	0.5473701021584338	0.7587752520369825	0.7587752520369825
