camp_lodi,camp_verb,lodi_verb
SinmeB_6048,SinmeB_6048,SinmeB_5993
SinmeB_5993,SinmeB_1355,SinmeB_5986
SinmeB_5986,SinmeB_1559,SinmeB_1150
SinmeB_1150,SinmeB_1214,SinmeB_5244
SinmeB_5244,SinmeB_4305,SinmeB_6341
SinmeB_1355,SinmeB_3732,SinmeB_4305
SinmeB_6341,SinmeB_0670,SinmeB_0915
SinmeB_1559,SinmeB_1234,SinmeB_1279
SinmeB_1214,SinmeB_1279,SinmeB_3875
SinmeB_3732,SinmeB_1876,SinmeB_2094
SinmeB_0670,SinmeB_1260,SinmeB_1876
SinmeB_0915,SinmeB_3605,SinmeB_1576
SinmeB_1234,SinmeB_1852,SinmeB_4941
SinmeB_3875,SinmeB_1638,SinmeB_3605
SinmeB_2094,SinmeB_1399,SinmeB_1523
SinmeB_1260,SinmeB_1635,SinmeB_2125
SinmeB_1576,SinmeB_1583,SinmeB_1382
SinmeB_4941,SinmeB_1646,SinmeB_6354
SinmeB_1523,SinmeB_2010,SinmeB_2066
SinmeB_2125,SinmeB_1085,SinmeB_1852
SinmeB_1382,SinmeB_1763,SinmeB_1638
SinmeB_6354,SinmeB_1416,SinmeB_1399
SinmeB_2066,SinmeB_1485,SinmeB_1257
SinmeB_1635,SinmeB_1177,SinmeB_1583
SinmeB_1257,SinmeB_1080,SinmeB_1470
SinmeB_1470,SinmeB_1237,SinmeB_2010
SinmeB_1646,SinmeB_1259,SinmeB_1085
SinmeB_1277,SinmeB_1764,SinmeB_1763
SinmeB_1416,SinmeB_1751,SinmeB_1277
SinmeB_1078,SinmeB_1802,SinmeB_1485
SinmeB_1406,SinmeB_1205,SinmeB_1177
SinmeB_1764,SinmeB_1752,SinmeB_1080
SinmeB_3311,SinmeB_3759,SinmeB_1078
SinmeB_1802,SinmeB_1181,SinmeB_1237
SinmeB_1411,SinmeB_1415,SinmeB_1259
SinmeB_0044,SinmeB_2327,SinmeB_1406
SinmeB_1095,SinmeB_1970,SinmeB_1751
SinmeB_1059,SinmeB_2763,SinmeB_3311
SinmeB_1752,SinmeB_2117,SinmeB_1411
SinmeB_4413,SinmeB_1757,SinmeB_1205
SinmeB_2882,SinmeB_1154,SinmeB_0044
SinmeB_1181,SinmeB_3882,SinmeB_1095
SinmeB_4842,SinmeB_6419,SinmeB_1059
SinmeB_1970,SinmeB_1031,SinmeB_4413
SinmeB_2117,SinmeB_1077,SinmeB_3759
SinmeB_2186,SinmeB_3802,SinmeB_2882
SinmeB_6419,SinmeB_1146,SinmeB_1415
SinmeB_0285,SinmeB_1758,SinmeB_2327
SinmeB_1031,SinmeB_2091,SinmeB_4842
SinmeB_1077,SinmeB_2146,SinmeB_2763
SinmeB_3802,SinmeB_1525,SinmeB_1757
SinmeB_1146,SinmeB_4341,SinmeB_2186
SinmeB_0863,SinmeB_1584,SinmeB_1154
SinmeB_1753,SinmeB_0837,SinmeB_0285
SinmeB_1758,SinmeB_1389,SinmeB_3882
SinmeB_0376,SinmeB_1226,SinmeB_0863
SinmeB_1261,SinmeB_2260,SinmeB_1753
SinmeB_4341,SinmeB_2881,SinmeB_0376
SinmeB_1584,SinmeB_1118,SinmeB_2091
SinmeB_1389,SinmeB_0910,SinmeB_2146
SinmeB_2260,SinmeB_1172,SinmeB_1525
SinmeB_2221,SinmeB_1087,SinmeB_1261
SinmeB_0166,SinmeB_6185,SinmeB_0837
SinmeB_2881,SinmeB_1877,SinmeB_1226
SinmeB_0654,SinmeB_1499,SinmeB_2221
SinmeB_1162,SinmeB_1512,SinmeB_0166
SinmeB_0910,SinmeB_4897,SinmeB_1118
SinmeB_1172,SinmeB_0047,SinmeB_0654
SinmeB_1087,SinmeB_0730,SinmeB_1162
SinmeB_1877,SinmeB_3584,SinmeB_6185
SinmeB_2712,SinmeB_5988,SinmeB_2712
SinmeB_1499,SinmeB_0991,SinmeB_4897
SinmeB_1512,SinmeB_2330,SinmeB_1650
SinmeB_1650,SinmeB_1566,SinmeB_0047
SinmeB_1215,SinmeB_1388,SinmeB_0730
SinmeB_2450,SinmeB_1131,SinmeB_6270
SinmeB_0964,SinmeB_2240,SinmeB_3584
SinmeB_1367,SinmeB_1238,SinmeB_1215
SinmeB_2330,SinmeB_1475,SinmeB_2450
SinmeB_1566,SinmeB_0568,SinmeB_5988
SinmeB_1239,SinmeB_1408,SinmeB_0964
SinmeB_6270,SinmeB_1932,SinmeB_0991
SinmeB_3078,SinmeB_1369,SinmeB_1367
SinmeB_1131,SinmeB_2092,SinmeB_1239
SinmeB_2240,SinmeB_0448,SinmeB_1388
SinmeB_1238,SinmeB_3809,SinmeB_3078
SinmeB_2153,SinmeB_1511,SinmeB_2153
SinmeB_1475,SinmeB_0752,SinmeB_0344
SinmeB_0344,SinmeB_1572,SinmeB_0568
SinmeB_1083,SinmeB_1592,SinmeB_1408
SinmeB_2291,SinmeB_1961,SinmeB_1083
SinmeB_2092,SinmeB_1775,SinmeB_2291
SinmeB_0448,SinmeB_1907,SinmeB_1932
SinmeB_0781,SinmeB_1562,SinmeB_1369
SinmeB_1803,SinmeB_1049,SinmeB_3809
SinmeB_1032,SinmeB_1889,SinmeB_1511
SinmeB_1775,SinmeB_2082,SinmeB_0752
SinmeB_1749,SinmeB_2472,SinmeB_0781
SinmeB_2385,SinmeB_0146,SinmeB_1803
SinmeB_1114,SinmeB_6659,SinmeB_1572
SinmeB_4366,SinmeB_1006,SinmeB_1032
SinmeB_0989,SinmeB_0987,SinmeB_1592
SinmeB_1959,SinmeB_1370,SinmeB_1961
SinmeB_3934,SinmeB_1797,SinmeB_1749
SinmeB_1553,SinmeB_0652,SinmeB_2385
SinmeB_1049,SinmeB_1461,SinmeB_1114
SinmeB_1889,SinmeB_0105,SinmeB_1907
SinmeB_1502,SinmeB_0794,SinmeB_4366
SinmeB_0852,SinmeB_1498,SinmeB_0989
SinmeB_1006,SinmeB_1528,SinmeB_1959
SinmeB_1370,SinmeB_1464,SinmeB_3934
SinmeB_0652,SinmeB_0715,SinmeB_1553
SinmeB_1528,SinmeB_6359,SinmeB_1562
SinmeB_1050,SinmeB_1403,SinmeB_2082
SinmeB_1464,SinmeB_3070,SinmeB_1502
SinmeB_3366,SinmeB_6625,SinmeB_0852
SinmeB_1900,SinmeB_2038,SinmeB_2472
SinmeB_6359,SinmeB_3622,SinmeB_0146
SinmeB_2441,SinmeB_1747,SinmeB_6659
SinmeB_1403,SinmeB_6396,SinmeB_0987
SinmeB_3070,SinmeB_1256,SinmeB_1797
SinmeB_6118,SinmeB_1165,SinmeB_1461
SinmeB_1570,SinmeB_0545,SinmeB_0105
SinmeB_6625,SinmeB_0026,SinmeB_0794
SinmeB_2208,SinmeB_5486,SinmeB_1498
SinmeB_1867,SinmeB_6171,SinmeB_1050
SinmeB_4908,SinmeB_1474,SinmeB_3366
SinmeB_1256,SinmeB_2696,SinmeB_1900
SinmeB_1175,SinmeB_1275,SinmeB_0715
SinmeB_1495,SinmeB_0958,SinmeB_2441
SinmeB_1191,SinmeB_0041,SinmeB_6118
SinmeB_1878,SinmeB_3864,SinmeB_1570
SinmeB_5486,SinmeB_1934,SinmeB_2208
SinmeB_6173,SinmeB_1069,SinmeB_2038
SinmeB_0404,SinmeB_0988,SinmeB_3622
SinmeB_6171,SinmeB_1981,SinmeB_1747
SinmeB_3888,SinmeB_1038,SinmeB_1867
SinmeB_1275,SinmeB_1490,SinmeB_4908
SinmeB_0685,SinmeB_1977,SinmeB_6396
SinmeB_0958,SinmeB_2880,SinmeB_1175
SinmeB_0041,SinmeB_2033,SinmeB_1495
SinmeB_1934,SinmeB_2859,SinmeB_1191
SinmeB_0988,SinmeB_1550,SinmeB_1165
SinmeB_1981,SinmeB_2477,SinmeB_0545
SinmeB_1490,SinmeB_1826,SinmeB_0026
SinmeB_3817,SinmeB_5228,SinmeB_1878
SinmeB_1910,SinmeB_4329,SinmeB_6173
SinmeB_2927,SinmeB_1409,SinmeB_0404
SinmeB_2033,SinmeB_6564,SinmeB_3888
SinmeB_2860,SinmeB_0352,SinmeB_1474
SinmeB_1434,SinmeB_1908,SinmeB_2696
SinmeB_1759,SinmeB_3883,SinmeB_0685
SinmeB_2859,SinmeB_0635,SinmeB_3864
SinmeB_3031,SinmeB_0538,SinmeB_1069
SinmeB_1550,SinmeB_1748,SinmeB_3817
