Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	8	3.864734299516908	0.0036082250397596514	SINMEB_0759, SINMEB_0992, SINMEB_1002, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1878	133	53	3453	3.918853738118882	0.3495919187781966	0.4293787797313985	0.4293787797313985
GOTERM_BP_DIRECT	GO:0006412~translation	8	3.864734299516908	0.004391460636087878	SINMEB_0759, SINMEB_0992, SINMEB_1002, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1878	71	61	2016	3.723851304548603	0.2553759399112231	0.2898364019818	0.2898364019818
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	8	3.864734299516908	0.0055301518196552045	SINMEB_0759, SINMEB_0992, SINMEB_1002, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1878	96	56	2419	3.5997023809523805	0.15326287414448125	0.05761087649927796	0.05761087649927796
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	8	3.864734299516908	0.0055301518196552045	SINMEB_0759, SINMEB_0992, SINMEB_1002, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1878	96	56	2419	3.5997023809523805	0.15326287414448125	0.05761087649927796	0.05761087649927796
UP_KW_MOLECULAR_FUNCTION	KW-0720~Serine protease	4	1.932367149758454	0.005761087649927795	SINMEB_1012, SINMEB_3617, SINMEB_0884, SINMEB_2208	96	10	2419	10.079166666666667	0.1591419344110604	0.05761087649927796	0.05761087649927796
GOTERM_CC_DIRECT	GO:0005840~ribosome	6	2.898550724637681	0.012590527029252417	SINMEB_0759, SINMEB_0992, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_1878	65	44	1971	4.1349650349650355	0.20393008836058102	0.22662948652654352	0.22662948652654352
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	6	2.898550724637681	0.014781453948665656	SINMEB_3164, SINMEB_3031, SINMEB_5276, SINMEB_1012, SINMEB_0654, SINMEB_0884	50	41	1339	3.9190243902439024	0.440538039548627	0.5764767039979606	0.5764767039979606
GOTERM_BP_DIRECT	GO:0046654~tetrahydrofolate biosynthetic process	3	1.4492753623188406	0.01628827214658666	SINMEB_1560, SINMEB_1050, SINMEB_1559	71	6	2016	14.19718309859155	0.667228679927081	0.5375129808373598	0.5375129808373598
GOTERM_MF_DIRECT	GO:0050660~flavin adenine dinucleotide binding	6	2.898550724637681	0.016991970797963187	SINMEB_1087, SINMEB_0041, SINMEB_1175, SINMEB_0487, SINMEB_1411, SINMEB_0404	133	40	3453	3.894360902255639	0.8698959685082364	1.0	1.0
UP_KW_LIGAND	KW-0547~Nucleotide-binding	19	9.178743961352657	0.0216510000762316	SINMEB_3164, SINMEB_2257, SINMEB_5276, SINMEB_2882, SINMEB_2221, SINMEB_0044, SINMEB_1275, SINMEB_3292, SINMEB_1050, SINMEB_2092, SINMEB_0717, SINMEB_0915, SINMEB_0727, SINMEB_0654, SINMEB_0884, SINMEB_1367, SINMEB_1528, SINMEB_2758, SINMEB_1559	41	287	985	1.5904648593524262	0.34024558872985866	0.41136900144840044	0.41136900144840044
UP_KW_MOLECULAR_FUNCTION	KW-0645~Protease	8	3.864734299516908	0.02935139992687837	SINMEB_3164, SINMEB_1981, SINMEB_1012, SINMEB_3617, SINMEB_0884, SINMEB_0733, SINMEB_1636, SINMEB_2208	96	77	2419	2.617965367965368	0.5908703301824394	0.22013549945158778	0.22013549945158778
GOTERM_MF_DIRECT	GO:0008233~peptidase activity	4	1.932367149758454	0.033798411088176994	SINMEB_3164, SINMEB_1012, SINMEB_2017, SINMEB_0733	133	19	3453	5.465769687376335	0.9832867105692066	1.0	1.0
GOTERM_MF_DIRECT	GO:0051536~iron-sulfur cluster binding	4	1.932367149758454	0.04945262070583976	SINMEB_0804, SINMEB_1479, SINMEB_1803, SINMEB_6270	133	22	3453	4.720437457279562	0.9976073537768285	1.0	1.0
INTERPRO	IPR003959:ATPase, AAA-type, core	3	1.4492753623188406	0.05096298946722766	SINMEB_3164, SINMEB_2221, SINMEB_0884	166	11	4890	8.033953997809418	0.9999999948908398	1.0	1.0
