Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	10	5.025125628140704	2.492120959178796E-4	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0974, SINMEB_1006, SINMEB_1977, SINMEB_0987	96	56	2419	4.499627976190476	0.006706972353803242	0.0033643632948913748	0.0033643632948913748
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	10	5.025125628140704	2.492120959178796E-4	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0974, SINMEB_1006, SINMEB_1977, SINMEB_0987	96	56	2419	4.499627976190476	0.006706972353803242	0.0033643632948913748	0.0033643632948913748
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	9	4.522613065326634	8.040351653519311E-4	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0974, SINMEB_1006, SINMEB_0987	134	53	3453	4.375809631089834	0.08688415174666264	0.09085597368476821	0.09085597368476821
GOTERM_BP_DIRECT	GO:0006412~translation	9	4.522613065326634	8.62670669465095E-4	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0974, SINMEB_1006, SINMEB_0987	70	61	2016	4.249180327868852	0.056998044743700294	0.05779893485416136	0.05779893485416136
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	20	10.050251256281408	0.002763309426822751	SINMEB_3164, SINMEB_0882, SINMEB_1474, SINMEB_1275, SINMEB_1572, SINMEB_1165, SINMEB_3292, SINMEB_1082, SINMEB_0717, SINMEB_1908, SINMEB_1876, SINMEB_1403, SINMEB_0545, SINMEB_1049, SINMEB_1005, SINMEB_0884, SINMEB_1528, SINMEB_0406, SINMEB_1977, SINMEB_1932	58	313	1771	1.9510851602952517	0.019183549002025235	0.01934316598775926	0.01934316598775926
GOTERM_CC_DIRECT	GO:0005840~ribosome	7	3.5175879396984926	0.00392175290783692	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_3014, SINMEB_0974, SINMEB_1006, SINMEB_1977	71	44	1971	4.416453265044814	0.05723850247464812	0.0588262936175538	0.0588262936175538
UP_SEQ_FEATURE	DISULFID:Redox-active	3	1.507537688442211	0.016408302582020383	SINMEB_3139, SINMEB_1604, SINMEB_1080	152	6	4346	14.296052631578947	0.9674407185281736	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0012~Acyltransferase	7	3.5175879396984926	0.030428130995361163	SINMEB_1751, SINMEB_1474, SINMEB_1077, SINMEB_3809, SINMEB_1403, SINMEB_1752, SINMEB_0026	96	61	2419	2.8915642076502737	0.5658296372957037	0.27385317895825045	0.27385317895825045
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	19	9.547738693467336	0.032791902962418656	SINMEB_0882, SINMEB_1474, SINMEB_1275, SINMEB_1572, SINMEB_1165, SINMEB_3292, SINMEB_1082, SINMEB_0717, SINMEB_1908, SINMEB_1876, SINMEB_1403, SINMEB_0545, SINMEB_1049, SINMEB_1005, SINMEB_0884, SINMEB_1528, SINMEB_0406, SINMEB_1977, SINMEB_1932	71	328	1971	1.6080814153211953	0.3935446190165446	0.24593927221813994	0.24593927221813994
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	5	2.512562814070352	0.047775114369547365	SINMEB_0759, SINMEB_0991, SINMEB_1001, SINMEB_1006, SINMEB_0987	134	36	3453	3.578980099502487	0.9960411725200293	1.0	1.0
INTERPRO	IPR003959:ATPase, AAA-type, core	3	1.507537688442211	0.05320990825003085	SINMEB_3164, SINMEB_0884, SINMEB_1118	170	11	4890	7.844919786096256	0.9999999974657995	1.0	1.0
UP_SEQ_FEATURE	BINDING:FAD	3	1.507537688442211	0.053697768772467916	SINMEB_0717, SINMEB_1604, SINMEB_1080	152	11	4346	7.797846889952154	0.999989081025134	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	5	2.512562814070352	0.05560654021013559	SINMEB_3164, SINMEB_1876, SINMEB_0047, SINMEB_0884, SINMEB_0406	49	41	1339	3.3325037332005976	0.8926095008286673	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	5	2.512562814070352	0.059420809682231145	SINMEB_0759, SINMEB_0991, SINMEB_1001, SINMEB_1006, SINMEB_0987	96	38	2419	3.315515350877193	0.8087176568304942	0.3567048700524906	0.3567048700524906
UP_SEQ_FEATURE	REGION:Disordered	30	15.07537688442211	0.06265816208681847	SINMEB_0041, SINMEB_0380, SINMEB_1052, SINMEB_1370, SINMEB_2146, SINMEB_3014, SINMEB_1077, SINMEB_2728, SINMEB_3759, SINMEB_0545, SINMEB_0884, SINMEB_0329, SINMEB_4328, SINMEB_1118, SINMEB_0987, SINMEB_1877, SINMEB_1635, SINMEB_6358, SINMEB_2251, SINMEB_2250, SINMEB_1069, SINMEB_6196, SINMEB_0759, SINMEB_2217, SINMEB_2117, SINMEB_1006, SINMEB_0934, SINMEB_0733, SINMEB_1646, SINMEB_1624	152	629	4346	1.3636934147770061	0.9999984763457711	1.0	1.0
GOTERM_BP_DIRECT	GO:0043335~protein unfolding	2	1.0050251256281406	0.06729735318449277	SINMEB_3164, SINMEB_1118	70	2	2016	28.8	0.9912393117596309	1.0	1.0
INTERPRO	IPR016454:Cysteine desulfurase, NifS	2	1.0050251256281406	0.06793306287024672	SINMEB_1481, SINMEB_1485	170	2	4890	28.764705882352942	0.9999999999912933	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:CusB_dom_1	2	1.0050251256281406	0.06828971735443323	SINMEB_2728, SINMEB_4306	152	2	4346	28.59210526315789	0.9999995623328766	1.0	1.0
INTERPRO	IPR012349:FMN-binding split barrel	3	1.507537688442211	0.07215313204744506	SINMEB_1058, SINMEB_1610, SINMEB_6170	170	13	4890	6.638009049773755	0.9999999999983157	1.0	1.0
GOTERM_MF_DIRECT	GO:0031071~cysteine desulfurase activity	2	1.0050251256281406	0.07556161384526935	SINMEB_1481, SINMEB_1485	134	2	3453	25.76865671641791	0.999860616716428	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0645~Protease	7	3.5175879396984926	0.07900208802199465	SINMEB_3164, SINMEB_0882, SINMEB_1981, SINMEB_0884, SINMEB_1279, SINMEB_0733, SINMEB_1118	96	77	2419	2.2907196969696972	0.8916114438438727	0.3567048700524906	0.3567048700524906
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	6	3.015075376884422	0.07926774890055346	SINMEB_1087, SINMEB_0759, SINMEB_0991, SINMEB_1001, SINMEB_1006, SINMEB_0987	96	59	2419	2.5625	0.8924524292946161	0.3567048700524906	0.3567048700524906
UP_SEQ_FEATURE	DOMAIN:HlyD_D23	3	1.507537688442211	0.08305333063293137	SINMEB_2728, SINMEB_4306, SINMEB_4328	152	14	4346	6.12687969924812	0.9999999839592743	1.0	1.0
UP_KW_LIGAND	KW-0547~Nucleotide-binding	18	9.045226130653267	0.08881965501774666	SINMEB_3164, SINMEB_1399, SINMEB_1275, SINMEB_3584, SINMEB_1165, SINMEB_3292, SINMEB_1080, SINMEB_2092, SINMEB_0717, SINMEB_0727, SINMEB_0545, SINMEB_1005, SINMEB_0884, SINMEB_1528, SINMEB_1604, SINMEB_1559, SINMEB_1757, SINMEB_0437	44	287	985	1.404022806461831	0.8443723137949135	1.0	1.0
PIR_SUPERFAMILY	PIRSF005572:cysteine desulfurase, NifS type	2	1.0050251256281406	0.08980767117260781	SINMEB_1481, SINMEB_1485	32	2	675	21.09375	0.9347077016247476	1.0	1.0
