CHART																		
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR						
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	8	3.90243902439024	0.003736529321899	SINMEB_0759, SINMEB_0992, SINMEB_1002, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1878	135	53	3484	3.89545772187282	0.364260784266968	0.452120047949757	0.452120047949757						
GOTERM_BP_DIRECT	GO:0006412~translation	8	3.90243902439024	0.004655386647042	SINMEB_0759, SINMEB_0992, SINMEB_1002, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1878	72	61	2024	3.68670309653916	0.268486204488044	0.307255518704769	0.307255518704769						
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	8	3.90243902439024	0.005368351866877	SINMEB_0759, SINMEB_0992, SINMEB_1002, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1878	94	56	2380	3.61702127659574	0.149120192705119	0.056776554365764	0.056776554365764						
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	8	3.90243902439024	0.005368351866877	SINMEB_0759, SINMEB_0992, SINMEB_1002, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1878	94	56	2380	3.61702127659574	0.149120192705119	0.056776554365764	0.056776554365764						
UP_KW_MOLECULAR_FUNCTION	KW-0720~Serine protease	4	1.95121951219512	0.005677655436576	SINMEB_1012, SINMEB_3617, SINMEB_0884, SINMEB_2208	94	10	2380	10.1276595744681	0.157022521920262	0.056776554365764	0.056776554365764						
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	6	2.92682926829268	0.012516417445969	SINMEB_3164, SINMEB_3031, SINMEB_5276, SINMEB_1012, SINMEB_0654, SINMEB_0884	48	41	1337	4.07621951219512	0.372511591998798	0.463107445500865	0.463107445500865						
GOTERM_CC_DIRECT	GO:0005840~ribosome	6	2.92682926829268	0.013899958686719	SINMEB_0759, SINMEB_0992, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_1878	65	45	1968	4.03692307692308	0.222719833895019	0.250199256360943	0.250199256360943						
GOTERM_BP_DIRECT	GO:0046654~tetrahydrofolate biosynthetic process	3	1.46341463414634	0.016611903547475	SINMEB_1560, SINMEB_1050, SINMEB_1559	72	6	2024	14.0555555555556	0.67448466733521	0.548192817066686	0.548192817066686						
GOTERM_MF_DIRECT	GO:0050660~flavin adenine dinucleotide binding	6	2.92682926829268	0.019235766733393	SINMEB_1087, SINMEB_0041, SINMEB_1175, SINMEB_0487, SINMEB_1411, SINMEB_0404	135	41	3484	3.77669376693767	0.904650381206805	1	1						
UP_KW_MOLECULAR_FUNCTION	KW-0645~Protease	8	3.90243902439024	0.028609442537964	SINMEB_3164, SINMEB_1981, SINMEB_1012, SINMEB_3617, SINMEB_0884, SINMEB_0733, SINMEB_1636, SINMEB_2208	94	77	2380	2.63056092843327	0.581383515596263	0.214570819034726	0.214570819034726						
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	5	2.4390243902439	0.032646698348111	SINMEB_3164, SINMEB_5276, SINMEB_2221, SINMEB_0654, SINMEB_6197	135	32	3484	4.03240740740741	0.981978152456651	1	1						
GOTERM_MF_DIRECT	GO:0051536~iron-sulfur cluster binding	4	1.95121951219512	0.044581355227309	SINMEB_0804, SINMEB_1479, SINMEB_1803, SINMEB_6270	135	21	3484	4.91569664902998	0.995987277062312	1	1						
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	15	7.31707317073171	0.049400840567719	SINMEB_1175, SINMEB_3164, SINMEB_1095, SINMEB_5276, SINMEB_1275, SINMEB_6173, SINMEB_3292, SINMEB_1082, SINMEB_0717, SINMEB_1908, SINMEB_1403, SINMEB_1049, SINMEB_0884, SINMEB_1528, SINMEB_2208	51	316	1767	1.64463886820551	0.298573803686624	0.345805883974032	0.345805883974032						
