CHART																	
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR					
GOTERM_BP_DIRECT	GO:0016226~iron-sulfur cluster assembly	5	2.61780104712042	3.78554836904529E-05	SINMEB_1153, SINMEB_1482, SINMEB_1051, SINMEB_0442, SINMEB_1484	69	7	2024	20.952380952381	0.002721935214754	0.002687739342022	0.002687739342022					
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	7	3.66492146596859	0.001697601127212	SINMEB_3164, SINMEB_2652, SINMEB_3286, SINMEB_1385, SINMEB_1654, SINMEB_0884, SINMEB_3162	45	41	1337	5.07262872628726	0.052917808309596	0.05432323607078	0.05432323607078					
GOTERM_CC_DIRECT	GO:0005840~ribosome	6	3.1413612565445	0.005342496407608	SINMEB_0759, SINMEB_0992, SINMEB_0990, SINMEB_1000, SINMEB_0974, SINMEB_1006	52	45	1968	5.04615384615385	0.07225230175373	0.074794949706512	0.074794949706512					
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	7	3.66492146596859	0.010503361863741	SINMEB_0759, SINMEB_0992, SINMEB_1002, SINMEB_0990, SINMEB_1000, SINMEB_0974, SINMEB_1006	125	53	3484	3.68120754716981	0.696737647296658	1	1					
GOTERM_BP_DIRECT	GO:0006412~translation	7	3.66492146596859	0.014897701607184	SINMEB_0759, SINMEB_0992, SINMEB_1002, SINMEB_0990, SINMEB_1000, SINMEB_0974, SINMEB_1006	69	61	2024	3.36612021857924	0.660643689981379	0.528868407055017	0.528868407055017					
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	7	3.66492146596859	0.016654476479444	SINMEB_0759, SINMEB_0992, SINMEB_1002, SINMEB_0990, SINMEB_1000, SINMEB_0974, SINMEB_1006	90	56	2380	3.30555555555556	0.405857666342974	0.258144385431374	0.258144385431374					
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	7	3.66492146596859	0.016654476479444	SINMEB_0759, SINMEB_0992, SINMEB_1002, SINMEB_0990, SINMEB_1000, SINMEB_0974, SINMEB_1006	90	56	2380	3.30555555555556	0.405857666342974	0.258144385431374	0.258144385431374					
GOTERM_MF_DIRECT	GO:0051536~iron-sulfur cluster binding	4	2.09424083769633	0.036649077053009	SINMEB_1153, SINMEB_0804, SINMEB_1051, SINMEB_0442	125	21	3484	5.30895238095238	0.985288718320303	1	1					
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	13	6.80628272251309	0.040834204956958	SINMEB_1164, SINMEB_3164, SINMEB_1275, SINMEB_3292, SINMEB_3162, SINMEB_1082, SINMEB_0717, SINMEB_1908, SINMEB_1403, SINMEB_1049, SINMEB_0884, SINMEB_3831, SINMEB_1528	41	316	1767	1.77300092621179	0.340921978591015	0.408342049569583	0.408342049569583					
