CHART																	
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR					
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	10	5.05050505050505	0.000219647293559	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0974, SINMEB_1006, SINMEB_1977, SINMEB_0987	93	56	2380	4.56989247311828	0.005913573909453	0.002965238463051	0.002965238463051					
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	10	5.05050505050505	0.000219647293559	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0974, SINMEB_1006, SINMEB_1977, SINMEB_0987	93	56	2380	4.56989247311828	0.005913573909453	0.002965238463051	0.002965238463051					
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	9	4.54545454545455	0.000797245791732	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0974, SINMEB_1006, SINMEB_0987	135	53	3484	4.38238993710692	0.086911316355672	0.090886020257406	0.090886020257406					
GOTERM_BP_DIRECT	GO:0006412~translation	9	4.54545454545455	0.000926782422946	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0974, SINMEB_1006, SINMEB_0987	71	61	2024	4.2059570537982	0.061974024979795	0.063021204760342	0.063021204760342					
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	20	10.1010101010101	0.003181906578827	SINMEB_3164, SINMEB_0882, SINMEB_1474, SINMEB_1275, SINMEB_1572, SINMEB_1165, SINMEB_3292, SINMEB_1082, SINMEB_0717, SINMEB_1908, SINMEB_1876, SINMEB_1403, SINMEB_0545, SINMEB_1049, SINMEB_1005, SINMEB_0884, SINMEB_1528, SINMEB_0406, SINMEB_1977, SINMEB_1932	58	316	1767	1.92819729375818	0.022061854887657	0.022273346051789	0.022273346051789					
GOTERM_CC_DIRECT	GO:0005840~ribosome	7	3.53535353535353	0.004432849163585	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_3014, SINMEB_0974, SINMEB_1006, SINMEB_1977	71	45	1968	4.31173708920188	0.064468582863651	0.066492737453781	0.066492737453781					
UP_SEQ_FEATURE	DISULFID:Redox-active	3	1.51515151515152	0.016100891987205	SINMEB_3139, SINMEB_1604, SINMEB_1080	150	6	4331	14.4366666666667	0.961085328450312	1	1					
UP_KW_MOLECULAR_FUNCTION	KW-0012~Acyltransferase	7	3.53535353535353	0.030470214004303	SINMEB_1751, SINMEB_1474, SINMEB_1077, SINMEB_3809, SINMEB_1403, SINMEB_1752, SINMEB_0026	93	62	2380	2.88935137010059	0.566338154541466	0.274231926038726	0.274231926038726					
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	19	9.5959595959596	0.036089823163715	SINMEB_0882, SINMEB_1474, SINMEB_1275, SINMEB_1572, SINMEB_1165, SINMEB_3292, SINMEB_1082, SINMEB_0717, SINMEB_1908, SINMEB_1876, SINMEB_1403, SINMEB_0545, SINMEB_1049, SINMEB_1005, SINMEB_0884, SINMEB_1528, SINMEB_0406, SINMEB_1977, SINMEB_1932	71	331	1968	1.59108123058593	0.423832864184015	0.270673673727865	0.270673673727865					
