CHART																		
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR						
GOTERM_BP_DIRECT	GO:0016226~iron-sulfur cluster assembly	5	2.47524752475248	4.25168756338378E-05	SINMEB_1153, SINMEB_1051, SINMEB_0442, SINMEB_1484, SINMEB_1479	71	7	2024	20.3621730382294	0.002759840286902	0.002721080040566	0.002721080040566						
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	9	4.45544554455446	4.27947591535506E-05	SINMEB_3031, SINMEB_2652, SINMEB_5276, SINMEB_1012, SINMEB_3286, SINMEB_1385, SINMEB_0654, SINMEB_1654, SINMEB_3162	47	41	1337	6.24442138038402	0.00124030475684	0.001241048015453	0.001241048015453						
GOTERM_MF_DIRECT	GO:0051536~iron-sulfur cluster binding	6	2.97029702970297	0.000677729093753	SINMEB_1153, SINMEB_1051, SINMEB_0442, SINMEB_1479, SINMEB_1803, SINMEB_6270	125	21	3484	7.96342857142857	0.07186257896983	0.074550200312794	0.074550200312794						
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	6	2.97029702970297	0.004901171898695	SINMEB_0442, SINMEB_5276, SINMEB_3286, SINMEB_2221, SINMEB_0654, SINMEB_6197	125	32	3484	5.226	0.417516501913432	0.2695644544282	0.2695644544282						
GOTERM_MF_DIRECT	GO:0016787~hydrolase activity	15	7.42574257425743	0.046377156544879	SINMEB_1582, SINMEB_2044, SINMEB_1571, SINMEB_1570, SINMEB_2257, SINMEB_0442, SINMEB_0376, SINMEB_2860, SINMEB_1495, SINMEB_0915, SINMEB_1611, SINMEB_0725, SINMEB_2758, SINMEB_0744, SINMEB_4967	125	242	3484	1.72760330578512	0.994611957212295	1	1						
UP_KW_MOLECULAR_FUNCTION	KW-0720~Serine protease	3	1.48514851485149	0.052236372726169	SINMEB_1012, SINMEB_3617, SINMEB_2208	91	10	2380	7.84615384615385	0.7889909463091	0.71080126239236	0.71080126239236						
UP_KW_MOLECULAR_FUNCTION	KW-0378~Hydrolase	29	14.3564356435644	0.056511456767124	SINMEB_2044, SINMEB_1571, SINMEB_1570, SINMEB_1470, SINMEB_0442, SINMEB_0541, SINMEB_1078, SINMEB_1012, SINMEB_2860, SINMEB_1495, SINMEB_0880, SINMEB_1050, SINMEB_1117, SINMEB_1611, SINMEB_3617, SINMEB_3831, SINMEB_3875, SINMEB_2208, SINMEB_1636, SINMEB_0744, SINMEB_4967, SINMEB_1582, SINMEB_3621, SINMEB_2257, SINMEB_0376, SINMEB_3162, SINMEB_0915, SINMEB_2017, SINMEB_2758	91	559	2380	1.35681849456447	0.814918804474256	0.71080126239236	0.71080126239236						
UP_KW_CELLULAR_COMPONENT	KW-0997~Cell inner membrane	9	4.45544554455446	0.057863407193439	SINMEB_3794, SINMEB_0915, SINMEB_1162, SINMEB_6354, SINMEB_2257, SINMEB_2860, SINMEB_1004, SINMEB_1637, SINMEB_2758	48	161	1767	2.05784161490683	0.449016336662082	0.578634071934385	0.578634071934385						
INTERPRO	IPR013126:Heat shock protein 70 family	2	0.99009900990099	0.063584774459706	SINMEB_3286, SINMEB_0654	158	2	4859	30.753164556962	0.9999999996845	1	1						
INTERPRO	IPR000361:FeS cluster biogenesis	2	0.99009900990099	0.063584774459706	SINMEB_1153, SINMEB_1479	158	2	4859	30.753164556962	0.9999999996845	1	1						
INTERPRO	IPR016092:FeS cluster insertion protein	2	0.99009900990099	0.063584774459706	SINMEB_1153, SINMEB_1479	158	2	4859	30.753164556962	0.9999999996845	1	1						
INTERPRO	IPR018181:Heat shock protein 70, conserved site	2	0.99009900990099	0.063584774459706	SINMEB_3286, SINMEB_0654	158	2	4859	30.753164556962	0.9999999996845	1	1						
UP_SEQ_FEATURE	DOMAIN:Fe-S_biosyn	2	0.99009900990099	0.066292046756027	SINMEB_1153, SINMEB_1479	147	2	4331	29.4625850340136	0.999992977155502	1	1						
INTERPRO	IPR015797:NUDIX hydrolase domain-like	3	1.48514851485149	0.07321729832837	SINMEB_0541, SINMEB_1495, SINMEB_0725	158	14	4859	6.58996383363472	0.999999999989916	1	1						
INTERPRO	IPR011527:ABC transporter, transmembrane domain, type 1	3	1.48514851485149	0.07321729832837	SINMEB_1571, SINMEB_1570, SINMEB_0744	158	14	4859	6.58996383363472	0.999999999989916	1	1						
INTERPRO	IPR000887:KDPG/KHG aldolase	2	0.99009900990099	0.093853909812759	SINMEB_2385, SINMEB_0436	158	3	4859	20.5021097046413	0.999999999999994	1	1						
INTERPRO	IPR017871:ABC transporter, conserved site	10	4.95049504950495	0.095083826866492	SINMEB_0915, SINMEB_1571, SINMEB_1483, SINMEB_1582, SINMEB_2044, SINMEB_1570, SINMEB_2257, SINMEB_0744, SINMEB_2758, SINMEB_4967	158	169	4859	1.81971387911018	0.999999999999996	1	1						
UP_KW_LIGAND	KW-0830~Ubiquinone	4	1.98019801980198	0.09842169217192	SINMEB_1419, SINMEB_6354, SINMEB_6355, SINMEB_1901	31	37	986	3.43853530950305	0.845096164597341	1	1						
																		
																		
																		
CLUSTERING																		
Annotation Cluster 1	Enrichment Score: 0.7855317758054354																	
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR						
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	5	2.47524752475248	0.118008274285325	SINMEB_0990, SINMEB_1000, SINMEB_0993, SINMEB_0989, SINMEB_1878	125	53	3484	2.62943396226415	0.999998997472726	1	1						
GOTERM_CC_DIRECT	GO:0005840~ribosome	4	1.98019801980198	0.134019514887362	SINMEB_0990, SINMEB_1000, SINMEB_0993, SINMEB_1878	57	45	1968	3.06900584795322	0.913376088582047	1	1						
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	4	1.98019801980198	0.134673684367689	SINMEB_0990, SINMEB_1000, SINMEB_0993, SINMEB_0989	125	36	3484	3.09688888888889	0.999999877032527	1	1						
GOTERM_BP_DIRECT	GO:0006412~translation	5	2.47524752475248	0.157441268210166	SINMEB_0990, SINMEB_1000, SINMEB_0993, SINMEB_0989, SINMEB_1878	71	61	2024	2.33664280766567	0.999985411456237	1	1						
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	5	2.47524752475248	0.159294800252528	SINMEB_0990, SINMEB_1000, SINMEB_0993, SINMEB_0989, SINMEB_1878	91	56	2380	2.33516483516484	0.993473681383175	0.71080126239236	0.71080126239236						
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	5	2.47524752475248	0.159294800252528	SINMEB_0990, SINMEB_1000, SINMEB_0993, SINMEB_0989, SINMEB_1878	91	56	2380	2.33516483516484	0.993473681383175	0.71080126239236	0.71080126239236						
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	4	1.98019801980198	0.171572718508501	SINMEB_0990, SINMEB_1000, SINMEB_0993, SINMEB_0989	91	38	2380	2.75303643724696	0.995740316001838	0.71080126239236	0.71080126239236						
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	4	1.98019801980198	0.355969295981492	SINMEB_0990, SINMEB_1000, SINMEB_0993, SINMEB_0989	91	56	2380	1.86813186813187	0.999997127297783	1	1						
																		
Annotation Cluster 2	Enrichment Score: 0.7645055435083685																	
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR						
UP_KW_MOLECULAR_FUNCTION	KW-0489~Methyltransferase	6	2.97029702970297	0.101485732401397	SINMEB_1175, SINMEB_2451, SINMEB_0728, SINMEB_2494, SINMEB_2780, SINMEB_1261	91	66	2380	2.37762237762238	0.955102273147946	0.71080126239236	0.71080126239236						
GOTERM_BP_DIRECT	GO:0032259~methylation	5	2.47524752475248	0.177852838311698	SINMEB_2451, SINMEB_0728, SINMEB_2494, SINMEB_2780, SINMEB_1784	71	64	2024	2.22711267605634	0.999997037069138	1	1						
GOTERM_MF_DIRECT	GO:0008168~methyltransferase activity	4	1.98019801980198	0.281849701245734	SINMEB_2451, SINMEB_0728, SINMEB_2494, SINMEB_2780	125	52	3484	2.144	1	1	1						
																		
Annotation Cluster 3	Enrichment Score: 0.7367622092378279																	
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR						
GOTERM_MF_DIRECT	GO:0005524~ATP binding	22	10.8910891089109	0.116977933899359	SINMEB_1483, SINMEB_1582, SINMEB_2044, SINMEB_1571, SINMEB_1164, SINMEB_1570, SINMEB_1382, SINMEB_2257, SINMEB_5276, SINMEB_0442, SINMEB_2882, SINMEB_3286, SINMEB_2860, SINMEB_2221, SINMEB_0044, SINMEB_6197, SINMEB_0915, SINMEB_0825, SINMEB_0654, SINMEB_2758, SINMEB_0744, SINMEB_4967	125	452	3484	1.3566017699115	0.999998860088311	1	1						
