Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	36	5.294117647058823	2.241942403952875E-24	SMC01308, SMC01307, SMC01804, SMC01309, SMC01290, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01302, SMC01301, SMC01304, SMC01303, SMC00335, SMC01306, SMC01305, SMC01319, SMC01318, SMC03859, SMC01292, SMC01291, SMC01294, SMC01293, SMC01296, SMC01295, SMC02101, SMC01298, SMC01297, SMC00485, SMC01299, SMC01310, SMC00565, SMC01313, SMC00567, SMC00568	324	53	3453	7.238993710691823	4.909853864656796E-22	4.909853864656796E-22	4.842595592538209E-22
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	36	5.294117647058823	2.2474410452561345E-22	SMC01308, SMC01307, SMC01804, SMC01309, SMC01290, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01302, SMC01301, SMC01304, SMC01303, SMC00335, SMC01306, SMC01305, SMC01319, SMC01318, SMC03859, SMC01292, SMC01291, SMC01294, SMC01293, SMC01296, SMC01295, SMC02101, SMC01298, SMC01297, SMC00485, SMC01299, SMC01310, SMC00565, SMC01313, SMC00567, SMC00568	244	56	2419	6.373243559718969	8.765020076498925E-21	4.3825100382494625E-21	3.933021829198235E-21
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	36	5.294117647058823	2.2474410452561345E-22	SMC01308, SMC01307, SMC01804, SMC01309, SMC01290, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01302, SMC01301, SMC01304, SMC01303, SMC00335, SMC01306, SMC01305, SMC01319, SMC01318, SMC03859, SMC01292, SMC01291, SMC01294, SMC01293, SMC01296, SMC01295, SMC02101, SMC01298, SMC01297, SMC00485, SMC01299, SMC01310, SMC00565, SMC01313, SMC00567, SMC00568	244	56	2419	6.373243559718969	8.765020076498925E-21	4.3825100382494625E-21	3.933021829198235E-21
UP_KW_CELLULAR_COMPONENT	KW-0282~Flagellum	29	4.264705882352941	1.4924416555408294E-18	SMC03071, SMC03050, SMC03020, SMC03042, SMC03021, SMC03040, SMC03024, SMC03047, SMC03025, SMC03022, SMC03028, SMC03029, SMC03048, SMC03026, SMC03049, SMC03027, SMC03054, SMC03032, SMC03051, SMC03052, SMC03030, SMC03035, SMC03014, SMC03033, SMC03034, SMC03039, SMC03037, SMC03038, SMC03019	222	38	1771	6.088074917022285	1.7909299866489952E-17	5.969766622163318E-18	3.979844414775545E-18
UP_KW_CELLULAR_COMPONENT	KW-0966~Cell projection	29	4.264705882352941	1.4924416555408294E-18	SMC03071, SMC03050, SMC03020, SMC03042, SMC03021, SMC03040, SMC03024, SMC03047, SMC03025, SMC03022, SMC03028, SMC03029, SMC03048, SMC03026, SMC03049, SMC03027, SMC03054, SMC03032, SMC03051, SMC03052, SMC03030, SMC03035, SMC03014, SMC03033, SMC03034, SMC03039, SMC03037, SMC03038, SMC03019	222	38	1771	6.088074917022285	1.7909299866489952E-17	5.969766622163318E-18	3.979844414775545E-18
UP_KW_CELLULAR_COMPONENT	KW-0969~Cilium	29	4.264705882352941	1.4924416555408294E-18	SMC03071, SMC03050, SMC03020, SMC03042, SMC03021, SMC03040, SMC03024, SMC03047, SMC03025, SMC03022, SMC03028, SMC03029, SMC03048, SMC03026, SMC03049, SMC03027, SMC03054, SMC03032, SMC03051, SMC03052, SMC03030, SMC03035, SMC03014, SMC03033, SMC03034, SMC03039, SMC03037, SMC03038, SMC03019	222	38	1771	6.088074917022285	1.7909299866489952E-17	5.969766622163318E-18	3.979844414775545E-18
GOTERM_BP_DIRECT	GO:0006412~translation	36	5.294117647058823	2.324056151251888E-18	SMC01308, SMC01307, SMC01804, SMC01309, SMC01290, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01302, SMC01301, SMC01304, SMC01303, SMC00335, SMC01306, SMC01305, SMC01319, SMC01318, SMC03859, SMC01292, SMC01291, SMC01294, SMC01293, SMC01296, SMC01295, SMC02101, SMC01298, SMC01297, SMC00485, SMC01299, SMC01310, SMC00565, SMC01313, SMC00567, SMC00568	239	61	2016	4.978119212566019	3.369881419315238E-16	3.3466408578027184E-16	3.230438050240124E-16
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	27	3.9705882352941173	2.776155004035572E-18	SMC01308, SMC01307, SMC01309, SMC01290, SMC02692, SMC03242, SMC01300, SMC01321, SMC01302, SMC01304, SMC01303, SMC01306, SMC01305, SMC01319, SMC01292, SMC01294, SMC01293, SMC01296, SMC01295, SMC01298, SMC01297, SMC00485, SMC01299, SMC00565, SMC01313, SMC00567, SMC00568	244	38	2419	7.0441113028472815	1.082700451573873E-16	3.609001505246244E-17	3.238847504708167E-17
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	24	3.5294117647058822	7.290043387975329E-16	SMC01308, SMC01307, SMC01309, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC01295, SMC03242, SMC01298, SMC01297, SMC01300, SMC01299, SMC00485, SMC01302, SMC00565, SMC01313, SMC01304, SMC00567, SMC01303, SMC01306, SMC01305, SMC00568	324	36	3453	7.104938271604937	1.701971896750365E-13	7.982597509832986E-14	7.873246859013356E-14
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	31	4.5588235294117645	9.331637900259445E-16	SMC01308, SMC01307, SMC01309, SMC01290, SMC02692, SMC03242, SMC01300, SMC01321, SMC01302, SMC01304, SMC01303, SMC00335, SMC01306, SMC01305, SMC01319, SMC01292, SMC03051, SMC01294, SMC01293, SMC01296, SMC01295, SMC01298, SMC01297, SMC00485, SMC01299, SMC00565, SMC01313, SMC00567, SMC00324, SMC00568, SMC01778	244	59	2419	5.209016393442623	3.4638958368304884E-14	9.098346952752959E-15	8.165183162727014E-15
