Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	36	5.29411764705882	2.24E-24	SMC01308, SMC01307, SMC01804, SMC01309, SMC01290, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01302, SMC01301, SMC01304, SMC01303, SMC00335, SMC01306, SMC01305, SMC01319, SMC01318, SMC03859, SMC01292, SMC01291, SMC01294, SMC01293, SMC01296, SMC01295, SMC02101, SMC01298, SMC01297, SMC00485, SMC01299, SMC01310, SMC00565, SMC01313, SMC00567, SMC00568	324	53	3453	7.23899371069182	4.91E-22	4.91E-22	4.84E-22	
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	36	5.29411764705882	2.25E-22	SMC01308, SMC01307, SMC01804, SMC01309, SMC01290, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01302, SMC01301, SMC01304, SMC01303, SMC00335, SMC01306, SMC01305, SMC01319, SMC01318, SMC03859, SMC01292, SMC01291, SMC01294, SMC01293, SMC01296, SMC01295, SMC02101, SMC01298, SMC01297, SMC00485, SMC01299, SMC01310, SMC00565, SMC01313, SMC00567, SMC00568	244	56	2419	6.37324355971897	8.77E-21	4.38E-21	3.93E-21	
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	36	5.29411764705882	2.25E-22	SMC01308, SMC01307, SMC01804, SMC01309, SMC01290, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01302, SMC01301, SMC01304, SMC01303, SMC00335, SMC01306, SMC01305, SMC01319, SMC01318, SMC03859, SMC01292, SMC01291, SMC01294, SMC01293, SMC01296, SMC01295, SMC02101, SMC01298, SMC01297, SMC00485, SMC01299, SMC01310, SMC00565, SMC01313, SMC00567, SMC00568	244	56	2419	6.37324355971897	8.77E-21	4.38E-21	3.93E-21	
UP_KW_CELLULAR_COMPONENT	KW-0282~Flagellum	29	4.26470588235294	1.49E-18	SMC03071, SMC03050, SMC03020, SMC03042, SMC03021, SMC03040, SMC03024, SMC03047, SMC03025, SMC03022, SMC03028, SMC03029, SMC03048, SMC03026, SMC03049, SMC03027, SMC03054, SMC03032, SMC03051, SMC03052, SMC03030, SMC03035, SMC03014, SMC03033, SMC03034, SMC03039, SMC03037, SMC03038, SMC03019	222	38	1771	6.08807491702229	1.79E-17	5.97E-18	3.98E-18	
UP_KW_CELLULAR_COMPONENT	KW-0966~Cell projection	29	4.26470588235294	1.49E-18	SMC03071, SMC03050, SMC03020, SMC03042, SMC03021, SMC03040, SMC03024, SMC03047, SMC03025, SMC03022, SMC03028, SMC03029, SMC03048, SMC03026, SMC03049, SMC03027, SMC03054, SMC03032, SMC03051, SMC03052, SMC03030, SMC03035, SMC03014, SMC03033, SMC03034, SMC03039, SMC03037, SMC03038, SMC03019	222	38	1771	6.08807491702229	1.79E-17	5.97E-18	3.98E-18	
UP_KW_CELLULAR_COMPONENT	KW-0969~Cilium	29	4.26470588235294	1.49E-18	SMC03071, SMC03050, SMC03020, SMC03042, SMC03021, SMC03040, SMC03024, SMC03047, SMC03025, SMC03022, SMC03028, SMC03029, SMC03048, SMC03026, SMC03049, SMC03027, SMC03054, SMC03032, SMC03051, SMC03052, SMC03030, SMC03035, SMC03014, SMC03033, SMC03034, SMC03039, SMC03037, SMC03038, SMC03019	222	38	1771	6.08807491702229	1.79E-17	5.97E-18	3.98E-18	
GOTERM_BP_DIRECT	GO:0006412~translation	36	5.29411764705882	2.32E-18	SMC01308, SMC01307, SMC01804, SMC01309, SMC01290, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01302, SMC01301, SMC01304, SMC01303, SMC00335, SMC01306, SMC01305, SMC01319, SMC01318, SMC03859, SMC01292, SMC01291, SMC01294, SMC01293, SMC01296, SMC01295, SMC02101, SMC01298, SMC01297, SMC00485, SMC01299, SMC01310, SMC00565, SMC01313, SMC00567, SMC00568	239	61	2016	4.97811921256602	3.37E-16	3.35E-16	3.23E-16	
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	27	3.97058823529412	2.78E-18	SMC01308, SMC01307, SMC01309, SMC01290, SMC02692, SMC03242, SMC01300, SMC01321, SMC01302, SMC01304, SMC01303, SMC01306, SMC01305, SMC01319, SMC01292, SMC01294, SMC01293, SMC01296, SMC01295, SMC01298, SMC01297, SMC00485, SMC01299, SMC00565, SMC01313, SMC00567, SMC00568	244	38	2419	7.04411130284728	1.08E-16	3.61E-17	3.24E-17	
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	24	3.52941176470588	7.29E-16	SMC01308, SMC01307, SMC01309, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC01295, SMC03242, SMC01298, SMC01297, SMC01300, SMC01299, SMC00485, SMC01302, SMC00565, SMC01313, SMC01304, SMC00567, SMC01303, SMC01306, SMC01305, SMC00568	324	36	3453	7.10493827160494	1.70E-13	7.98E-14	7.87E-14	
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	31	4.55882352941176	9.33E-16	SMC01308, SMC01307, SMC01309, SMC01290, SMC02692, SMC03242, SMC01300, SMC01321, SMC01302, SMC01304, SMC01303, SMC00335, SMC01306, SMC01305, SMC01319, SMC01292, SMC03051, SMC01294, SMC01293, SMC01296, SMC01295, SMC01298, SMC01297, SMC00485, SMC01299, SMC00565, SMC01313, SMC00567, SMC00324, SMC00568, SMC01778	244	59	2419	5.20901639344262	3.46E-14	9.10E-15	8.17E-15	
