Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-0145~Chemotaxis	11	1.61764705882353	6.10E-08	SMC03020, SMC03021, SMC03043, SMC03010, SMC03035, SMC03022, SMC03012, SMC03007, SMC03004, SMC03008, SMC03019	154	13	1339	7.35714285714286	3.30E-06	3.30E-06	2.93E-06
UP_KW_BIOLOGICAL_PROCESS	KW-0536~Nodulation	16	2.35294117647059	1.03E-06	SMA0849, SM_B21284, SMA0868, SMA0878, SMA0869, SMA0853, SMA0875, SMA0863, SMA0852, SMC00353, SMA0866, SMA0855, SMA0876, SMA0772, SMA0851, SMA0773	154	34	1339	4.0916730328495	5.56E-05	2.78E-05	2.47E-05
UP_KW_BIOLOGICAL_PROCESS	KW-0270~Exopolysaccharide synthesis	12	1.76470588235294	5.15E-05	SM_B20958, SM_B20957, SM_B20946, SM_B20959, SM_B20948, SM_B20961, SM_B20960, SM_B20954, SM_B20956, SM_B20955, SMA1587, SM_B20944	154	26	1339	4.01298701298701	0.002776341268416	9.27E-04	8.24E-04
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	15	2.20588235294118	8.13E-05	SM_B21294, SMC00912, SMC00913, SMC00949, SM_B22023, SM_B21566, SMC04040, SMA0175, SMC01142, SMC02376, SMA0744, SMA0745, SMA1118, SMC01106, SMC02857	154	41	1339	3.18102629078239	0.004383082243135	0.001080382232604	9.60E-04
UP_KW_BIOLOGICAL_PROCESS	KW-0283~Flagellar rotation	6	0.882352941176471	1.00E-04	SMC03020, SMC03021, SMC03043, SMC03035, SMC03022, SMC03019	154	6	1339	8.6948051948052	0.005387615830768	0.001080382232604	9.60E-04
UP_KW_BIOLOGICAL_PROCESS	KW-0113~Calvin cycle	5	0.735294117647059	0.002048470168277	SM_B20198, SM_B20197, SM_B20200, SM_B20199, SM_B20201	154	6	1339	7.245670995671	0.104820338960718	0.01843623151449	0.016387761346214
UP_KW_BIOLOGICAL_PROCESS	KW-0249~Electron transport	11	1.61764705882353	0.003255568658104	SMA1273, SMA1232, SMA1220, SM_B21487, SM_B21489, SMC01982, SMA0765, SM_B21488, SMA1211, SMA1236, SMA1213	154	34	1339	2.81302521008403	0.161455388989888	0.025114386791089	0.022323899369857
UP_KW_BIOLOGICAL_PROCESS	KW-0679~Respiratory chain	6	0.882352941176471	0.007415899880329	SMA1273, SMA1220, SM_B21487, SMA0765, SM_B21488, SMA1213	154	12	1339	4.3474025974026	0.330986377232507	0.050057324192223	0.044495399281976
UP_KW_BIOLOGICAL_PROCESS	KW-1005~Bacterial flagellum biogenesis	4	0.588235294117647	0.036203666151921	SMC03054, SMC03051, SMC03052, SMC03025	154	7	1339	4.96846011131725	0.863477391257841	0.217221996911527	0.193086219476913
UP_KW_BIOLOGICAL_PROCESS	KW-0535~Nitrogen fixation	8	1.17647058823529	0.094909686894573	SMA1210, SMA1209, SMA1208, SMA0814, SMA0815, SMA1223, SMA1211, SMA1225	154	35	1339	1.9873840445269	0.995414744849361	0.505056626395379	0.448939223462559
												
												
												
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-0966~Cell projection	29	4.26470588235294	1.49E-18	SMC03071, SMC03050, SMC03020, SMC03042, SMC03021, SMC03040, SMC03024, SMC03047, SMC03025, SMC03022, SMC03028, SMC03029, SMC03048, SMC03026, SMC03049, SMC03027, SMC03054, SMC03032, SMC03051, SMC03052, SMC03030, SMC03035, SMC03014, SMC03033, SMC03034, SMC03039, SMC03037, SMC03038, SMC03019	222	38	1771	6.08807491702229	1.79E-17	5.97E-18	3.98E-18
UP_KW_CELLULAR_COMPONENT	KW-0969~Cilium	29	4.26470588235294	1.49E-18	SMC03071, SMC03050, SMC03020, SMC03042, SMC03021, SMC03040, SMC03024, SMC03047, SMC03025, SMC03022, SMC03028, SMC03029, SMC03048, SMC03026, SMC03049, SMC03027, SMC03054, SMC03032, SMC03051, SMC03052, SMC03030, SMC03035, SMC03014, SMC03033, SMC03034, SMC03039, SMC03037, SMC03038, SMC03019	222	38	1771	6.08807491702229	1.79E-17	5.97E-18	3.98E-18
UP_KW_CELLULAR_COMPONENT	KW-0282~Flagellum	29	4.26470588235294	1.49E-18	SMC03071, SMC03050, SMC03020, SMC03042, SMC03021, SMC03040, SMC03024, SMC03047, SMC03025, SMC03022, SMC03028, SMC03029, SMC03048, SMC03026, SMC03049, SMC03027, SMC03054, SMC03032, SMC03051, SMC03052, SMC03030, SMC03035, SMC03014, SMC03033, SMC03034, SMC03039, SMC03037, SMC03038, SMC03019	222	38	1771	6.08807491702229	1.79E-17	5.97E-18	3.98E-18
UP_KW_CELLULAR_COMPONENT	KW-0975~Bacterial flagellum	17	2.5	2.57E-13	SMC03020, SMC03021, SMC03032, SMC03040, SMC03030, SMC03024, SMC03047, SMC03014, SMC03034, SMC03028, SMC03039, SMC03029, SMC03048, SMC03037, SMC03049, SMC03038, SMC03019	222	18	1771	7.53428428428428	3.09E-12	7.72E-13	5.14E-13
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	8	1.17647058823529	3.80E-04	SMC03040, SMC03039, SMC03037, SMC03048, SMC03038, SMC03049, SM_B20955, SMA1587	222	13	1771	4.90921690921691	0.004551862148984	9.12E-04	6.08E-04
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	49	7.20588235294118	0.058143454049718	SMC03969, SMC00092, SMC01142, SMC03242, SMC00494, SMC04458, SMC03007, SMC01268, SMC02911, SMC02436, SMC03008, SMA0878, SMC00908, SMC03010, SMA1240, SMC02042, SMC03173, SMC03857, SMC02601, SMC01756, SMC00912, SMC00913, SMA0868, SMA0869, SM_B21566, SM_B20956, SMC02050, SM_B20948, SMC03981, SMC02099, SMC03025, SMA1195, SMC02136, SMC03788, SMA0744, SMA0745, SMA1239, SM_B22023, SM_B20202, SM_B20959, SMA0693, SMC02100, SMC00365, SMC00320, SMC00324, SMA0892, SMA1266, SMA0695, SMA0697	222	313	1771	1.24887027602683	0.51267675670827	0.116286908099435	0.077524605399624
												
												
												
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
