camp_lodi,camp_verb,lodi_verb
SMa0866,SMa0851,SMa0851
SMa0853,SMa0869,SMa0869
SMa0864,SMa0864,SMa0866
SMa0852,SMa0852,SMa0853
SMc02040,SMa0863,SMa0863
SM_b21281,SMc02513,SMc02040
SMc02229,SMc03824,SM_b21281
SMa2404,SMa2400,SMc02513
SM_b21285,SMa2408,SMc03824
SMa0876,SMc03008,SMc02229
SMa2000,SM_b21285,SMa2400
SMc04293,SMc00887,SMa2404
SMc04452,SMa2402,SMa2408
SMa2347,SM_b21292,SMc03008
SMa2402,SMa2410,SMc00887
SMc00978,SMa1550,SMa0876
SMc04288,SM_b21505,SMa2000
SMa0473,SMc00277,SMa2347
SMa2410,SMc02582,SMc04293
SM_b21377,SM_b21640,SMc04452
SMc01169,SMc02172,SM_b21292
SMa0101,SM_b21176,SMc00978
SMc00992,SMc03201,SMc04288
SMc01283,SMa2339,SMa0473
SMc02376,SMc01180,SM_b21377
SMc00467,SMc02243,SMa1550
SMa2339,SM_b21274,SM_b21505
SMc02501,SM_b21177,SMc00277
SM_b21177,SMc00977,SMc01169
SMc00977,SMc01848,SMc02582
SMc04301,SMc02044,SMa0101
SM_b20368,SMc03090,SMc00992
SMa0848,SMc03159,SMc01283
SMc03167,SMc02436,SM_b21640
SMc01778,SMc04301,SMc02172
SMc01292,SM_b20368,SMc02376
SMa0875,SMa0848,SM_b21176
SMc03143,SMc01778,SMc03045
SMc02099,SMc01292,SMc03201
SM_b20857,SMa0875,SMc00467
SMc00640,SMc03143,SMc01180
SMc02438,SMc03045,SMc02243
SMc02178,SMc02099,SM_b21274
SMc02882,SM_b20857,SMc02501
SMc01721,SMc03167,SMc01848
SMc00991,SMc00640,SMc02044
SMc00293,SMc02438,SMc03090
SMc03829,SMc02178,SMc03159
SMc02136,SMc02882,SMc02436
SMc00821,SMc01721,SMc03024
SMc03022,SMc00991,SMc00821
SMc03006,SMc00293,SMc00986
SMc03030,SMc03829,SMc03028
