Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	27	5.31496062992126	4.893073443427598E-17	SMC01308, SMC01307, SMC01804, SMC01309, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01301, SMC01304, SMC01303, SMC00335, SMC01305, SMC01319, SMC03859, SMC01292, SMC01291, SMC01293, SMC01296, SMC01295, SMC01297, SMC01299, SMC00565, SMC01313, SMC00567, SMC00568	244	53	3453	7.209325703680792	9.101116604775333E-15	9.101116604775333E-15	9.101116604775333E-15
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	27	5.31496062992126	8.149410901509466E-16	SMC01308, SMC01307, SMC01804, SMC01309, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01301, SMC01304, SMC01303, SMC00335, SMC01305, SMC01319, SMC03859, SMC01292, SMC01291, SMC01293, SMC01296, SMC01295, SMC01297, SMC01299, SMC00565, SMC01313, SMC00567, SMC00568	181	56	2419	6.443666140489345	3.0309088572266774E-14	1.589135125794346E-14	1.5076410167792513E-14
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	27	5.31496062992126	8.149410901509466E-16	SMC01308, SMC01307, SMC01804, SMC01309, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01301, SMC01304, SMC01303, SMC00335, SMC01305, SMC01319, SMC03859, SMC01292, SMC01291, SMC01293, SMC01296, SMC01295, SMC01297, SMC01299, SMC00565, SMC01313, SMC00567, SMC00568	181	56	2419	6.443666140489345	3.0309088572266774E-14	1.589135125794346E-14	1.5076410167792513E-14
UP_KW_CELLULAR_COMPONENT	KW-0966~Cell projection	23	4.52755905511811	4.356795866188878E-14	SMC03071, SMC03050, SMC03020, SMC03042, SMC03054, SMC03021, SMC03032, SMC03051, SMC03030, SMC03024, SMC03025, SMC03047, SMC03014, SMC03022, SMC03033, SMC03034, SMC03028, SMC03039, SMC03029, SMC03026, SMC03037, SMC03049, SMC03038	168	38	1771	6.380482456140352	5.222489107836736E-13	1.7427183464755513E-13	1.3070387598566633E-13
UP_KW_CELLULAR_COMPONENT	KW-0282~Flagellum	23	4.52755905511811	4.356795866188878E-14	SMC03071, SMC03050, SMC03020, SMC03042, SMC03054, SMC03021, SMC03032, SMC03051, SMC03030, SMC03024, SMC03025, SMC03047, SMC03014, SMC03022, SMC03033, SMC03034, SMC03028, SMC03039, SMC03029, SMC03026, SMC03037, SMC03049, SMC03038	168	38	1771	6.380482456140352	5.222489107836736E-13	1.7427183464755513E-13	1.3070387598566633E-13
UP_KW_CELLULAR_COMPONENT	KW-0969~Cilium	23	4.52755905511811	4.356795866188878E-14	SMC03071, SMC03050, SMC03020, SMC03042, SMC03054, SMC03021, SMC03032, SMC03051, SMC03030, SMC03024, SMC03025, SMC03047, SMC03014, SMC03022, SMC03033, SMC03034, SMC03028, SMC03039, SMC03029, SMC03026, SMC03037, SMC03049, SMC03038	168	38	1771	6.380482456140352	5.222489107836736E-13	1.7427183464755513E-13	1.3070387598566633E-13
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	21	4.133858267716536	1.007312552280128E-13	SMC01308, SMC01319, SMC01307, SMC01309, SMC01292, SMC01293, SMC01296, SMC01295, SMC02692, SMC03242, SMC01297, SMC01300, SMC01299, SMC01321, SMC00565, SMC01313, SMC01304, SMC00567, SMC01303, SMC01305, SMC00568	181	38	2419	7.385722593777261	3.927191905006566E-12	1.3095063179641663E-12	1.2423521478121578E-12
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	25	4.921259842519685	4.175509810364295E-13	SMC01308, SMC01307, SMC01309, SMC02692, SMC03242, SMC01300, SMC01321, SMC01304, SMC01303, SMC00335, SMC01305, SMC01319, SMC01292, SMC03051, SMC01293, SMC01296, SMC01295, SMC01297, SMC01299, SMC00565, SMC01313, SMC00567, SMC00324, SMC00568, SMC01778	181	59	2419	5.662983425414365	1.6284640302899334E-11	4.071122065105188E-12	3.862346574586973E-12
GOTERM_BP_DIRECT	GO:0006412~translation	27	5.31496062992126	4.862771050112278E-13	SMC01308, SMC01307, SMC01804, SMC01309, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01301, SMC01304, SMC01303, SMC00335, SMC01305, SMC01319, SMC03859, SMC01292, SMC01291, SMC01293, SMC01296, SMC01295, SMC01297, SMC01299, SMC00565, SMC01313, SMC00567, SMC00568	178	61	2016	5.013077914901455	5.835332217429823E-11	5.786697549633611E-11	5.543558997127997E-11
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	18	3.543307086614173	3.794971013835464E-11	SMC01308, SMC01307, SMC01309, SMC01292, SMC01293, SMC01296, SMC01295, SMC03242, SMC01297, SMC01300, SMC01299, SMC00565, SMC01313, SMC01304, SMC00567, SMC01303, SMC01305, SMC00568	244	36	3453	7.075819672131147	7.058654327707359E-9	3.5293230428669814E-9	3.5293230428669814E-9
