Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006412~translation	27	5.31496062992126	4.862771050112278E-13	SMC01308, SMC01307, SMC01804, SMC01309, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01301, SMC01304, SMC01303, SMC00335, SMC01305, SMC01319, SMC03859, SMC01292, SMC01291, SMC01293, SMC01296, SMC01295, SMC01297, SMC01299, SMC00565, SMC01313, SMC00567, SMC00568	178	61	2016	5.013077914901455	5.786704448951241E-11	5.786697549633611E-11	5.543558997127997E-11
GOTERM_BP_DIRECT	GO:0071973~bacterial-type flagellum-dependent cell motility	13	2.559055118110236	6.171496575998492E-10	SMC03020, SMC03032, SMC03030, SMC03024, SMC03047, SMC03014, SMC03034, SMC03028, SMC03039, SMC03029, SMC03037, SMC03049, SMC03038	178	17	2016	8.660938532716457	7.344080743543202E-8	3.672040462719103E-8	3.517753048319141E-8
GOTERM_BP_DIRECT	GO:0006935~chemotaxis	10	1.968503937007874	1.0848839843987434E-5	SMC03020, SMC03021, SMC03043, SMC03010, SMC03022, SMC03012, SMC03090, SMC03004, SMC01104, SMC03008	178	19	2016	5.960969840331165	0.001290185938038535	4.303373138115015E-4	4.122559140715225E-4
GOTERM_BP_DIRECT	GO:0000271~polysaccharide biosynthetic process	9	1.7716535433070866	0.00407900905630562	SM_B20958, SM_B20946, SM_B20959, SM_B20960, SM_B20954, SM_B20956, SM_B20955, SMA1587, SM_B20944	178	31	2016	3.2881478796665458	0.3851609531021235	0.12135051942509219	0.11625175810471015
GOTERM_BP_DIRECT	GO:0019289~rhizobactin 1021 biosynthetic process	4	0.7874015748031495	0.005829197674722777	SMA2404, SMA2400, SMA2410, SMA2402	178	5	2016	9.060674157303371	0.5012768753665838	0.1387349046584021	0.13290570698367932
GOTERM_BP_DIRECT	GO:0019253~reductive pentose-phosphate cycle	4	0.7874015748031495	0.010909054934710009	SM_B20198, SM_B20197, SM_B20199, SM_B20201	178	6	2016	7.550561797752809	0.728911625183794	0.18545393389007014	0.1776617517938487
GOTERM_BP_DIRECT	GO:0019646~aerobic electron transport chain	4	0.7874015748031495	0.010909054934710009	SMC02255, SM_B21489, SMC01984, SMC01985	178	6	2016	7.550561797752809	0.728911625183794	0.18545393389007014	0.1776617517938487
GOTERM_BP_DIRECT	GO:0007165~signal transduction	6	1.1811023622047243	0.012740977064174737	SMC00992, SMC03090, SMC03004, SMC01104, SMC03008, SMC00975	178	17	2016	3.9973562458691343	0.7825786031978512	0.18952203382959923	0.18155892316449002
GOTERM_BP_DIRECT	GO:0019333~denitrification pathway	3	0.5905511811023622	0.021673336860578166	SMA1232, SMA1182, SMA1250	178	3	2016	11.325842696629215	0.9262804128085271	0.2579127086408802	0.2470760402105911
GOTERM_BP_DIRECT	GO:0097588~archaeal or bacterial-type flagellum-dependent cell motility	3	0.5905511811023622	0.021673336860578166	SMC03021, SMC03043, SMC03022	178	3	2016	11.325842696629215	0.9262804128085271	0.2579127086408802	0.2470760402105911
GOTERM_BP_DIRECT	GO:0006457~protein folding	5	0.984251968503937	0.06625902049577378	SMC02050, SM_B22023, SMC02136, SMA0745, SMC02857	178	18	2016	3.146067415730337	0.9997136192008582	0.7168021308179164	0.6866843942289282
GOTERM_BP_DIRECT	GO:0044781~bacterial-type flagellum organization	3	0.5905511811023622	0.09085149432842082	SMC03051, SMC03025, SMC03050	178	6	2016	5.662921348314607	0.9999880451349242	0.9009439854235064	0.8630891961199978
