Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR010930:Flagellar basal-body/hook protein, C-terminal domain	4	0.7874015748031495	0.0031808288477761207	SMC03030, SMC03024, SMC03047, SMC03028	348	5	4890	11.241379310344826	0.899122349199879	0.7633989234662689	0.7633989234662689
INTERPRO	IPR001444:Flagellar basal body rod protein, N-terminal	4	0.7874015748031495	0.0031808288477761207	SMC03030, SMC03024, SMC03047, SMC03028	348	5	4890	11.241379310344826	0.899122349199879	0.7633989234662689	0.7633989234662689
INTERPRO	IPR001029:Flagellin, D0/D1 domain	4	0.7874015748031495	0.0031808288477761207	SMC03039, SMC03037, SMC03038, SMC03049	348	5	4890	11.241379310344826	0.899122349199879	0.7633989234662689	0.7633989234662689
INTERPRO	IPR006015:Universal stress protein A	4	0.7874015748031495	0.006028209789795447	SMA1231, SMA1149, SMA1158, SMA1147	348	6	4890	9.367816091954023	0.9871375879418874	1.0	1.0
INTERPRO	IPR019776:Flagellar basal body rod protein, conserved site	3	0.5905511811023622	0.014357083257201793	SMC03030, SMC03047, SMC03028	348	3	4890	14.051724137931034	0.9999699312229526	1.0	1.0
INTERPRO	IPR020013:Fagellar hook-basal body protein, FlgE/F/G	3	0.5905511811023622	0.014357083257201793	SMC03030, SMC03024, SMC03047	348	3	4890	14.051724137931034	0.9999699312229526	1.0	1.0
INTERPRO	IPR006016:UspA	4	0.7874015748031495	0.015165215065793512	SMA1231, SMA1149, SMA1158, SMA1147	348	8	4890	7.025862068965517	0.9999833415955148	1.0	1.0
INTERPRO	IPR008972:Cupredoxin	5	0.984251968503937	0.018176881472003782	SMA1243, SMA1182, SMA1250, SM_B21487, SMC01982	348	15	4890	4.683908045977011	0.999998163703151	1.0	1.0
INTERPRO	IPR008978:HSP20-like chaperone	3	0.5905511811023622	0.0273711869380062	SM_B21294, SMA1118, SMC01106	348	4	4890	10.538793103448276	0.9999999979013778	1.0	1.0
INTERPRO	IPR001492:Flagellin	3	0.5905511811023622	0.0273711869380062	SMC03039, SMC03037, SMC03038	348	4	4890	10.538793103448276	0.9999999979013778	1.0	1.0
INTERPRO	IPR000194:ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain	3	0.5905511811023622	0.0273711869380062	SMC03025, SMC02501, SMC02796	348	4	4890	10.538793103448276	0.9999999979013778	1.0	1.0
INTERPRO	IPR002068:Alpha crystallin/Hsp20 domain	3	0.5905511811023622	0.0273711869380062	SM_B21294, SMA1118, SMC01106	348	4	4890	10.538793103448276	0.9999999979013778	1.0	1.0
INTERPRO	IPR000674:Aldehyde oxidase/xanthine dehydrogenase, a/b hammerhead	4	0.7874015748031495	0.03811359412773582	SM_B21287, SM_B21556, SMA2037, SM_B20846	348	11	4890	5.109717868338557	0.9999999999992935	1.0	1.0
INTERPRO	IPR008274:Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding	4	0.7874015748031495	0.03811359412773582	SM_B21287, SM_B21556, SMA2037, SM_B20846	348	11	4890	5.109717868338557	0.9999999999992935	1.0	1.0
INTERPRO	IPR012910:TonB-dependent receptor, plug	3	0.5905511811023622	0.04349809233177903	SMC02726, SMC02890, SMA2414	348	5	4890	8.43103448275862	0.9999999999999876	1.0	1.0
INTERPRO	IPR002429:Cytochrome c oxidase subunit II C-terminal	3	0.5905511811023622	0.04349809233177903	SMA1182, SM_B21487, SMC01982	348	5	4890	8.43103448275862	0.9999999999999876	1.0	1.0
INTERPRO	IPR024791:Cytochrome c/ubiquinol oxidase subunit III	3	0.5905511811023622	0.04349809233177903	SM_B21489, SMC01984, SMC01985	348	5	4890	8.43103448275862	0.9999999999999876	1.0	1.0
INTERPRO	IPR001048:Aspartate/glutamate/uridylate kinase	3	0.5905511811023622	0.04349809233177903	SMC02099, SMA0697, SMC02438	348	5	4890	8.43103448275862	0.9999999999999876	1.0	1.0
INTERPRO	IPR000531:TonB-dependent receptor, beta-barrel	3	0.5905511811023622	0.04349809233177903	SMC02726, SMC02890, SMA2414	348	5	4890	8.43103448275862	0.9999999999999876	1.0	1.0
INTERPRO	IPR011251:Luciferase-like domain	3	0.5905511811023622	0.04349809233177903	SM_B21691, SM_B20100, SMC03968	348	5	4890	8.43103448275862	0.9999999999999876	1.0	1.0
INTERPRO	IPR000298:Cytochrome c oxidase, subunit III	3	0.5905511811023622	0.04349809233177903	SM_B21489, SMC01984, SMC01985	348	5	4890	8.43103448275862	0.9999999999999876	1.0	1.0
INTERPRO	IPR013833:Cytochrome c oxidase, subunit III, 4-helical bundle	3	0.5905511811023622	0.06223303360220863	SM_B21489, SMC01984, SMC01985	348	6	4890	7.025862068965517	1.0	1.0	1.0
INTERPRO	IPR009056:Cytochrome c domain	5	0.984251968503937	0.06596397332738226	SMA1276, SMA1216, SMA0766, SM_B21292, SMA1213	348	22	4890	3.1935736677115987	1.0	1.0	1.0
INTERPRO	IPR011032:GroES-like	6	1.1811023622047243	0.08925275957614542	SMA1296, SM_B22023, SMA0745, SMC00105, SM_B20080, SM_B20170	348	34	4890	2.4797160243407705	1.0	1.0	1.0
INTERPRO	IPR017896:4Fe-4S ferredoxin-type, iron-sulpur binding domain	4	0.7874015748031495	0.09967134941201108	SMA1240, SMC04444, SMA1179, SMA1211	348	16	4890	3.5129310344827585	1.0	1.0	1.0
