Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
PFAM	PF00669:Bacterial flagellin N-terminal helical region	4	0.7874015748031495	0.003319527065876269	SMC03039, SMC03037, SMC03038, SMC03049	339	5	4693	11.074926253687314	0.6897625228826907	0.2921183817971117	0.2921183817971117
PFAM	PF00460:Flagella basal body rod protein	4	0.7874015748031495	0.003319527065876269	SMC03030, SMC03024, SMC03047, SMC03028	339	5	4693	11.074926253687314	0.6897625228826907	0.2921183817971117	0.2921183817971117
PFAM	PF06429:Flagellar basal body rod FlgEFG protein C-terminal	4	0.7874015748031495	0.003319527065876269	SMC03030, SMC03024, SMC03047, SMC03028	339	5	4693	11.074926253687314	0.6897625228826907	0.2921183817971117	0.2921183817971117
PFAM	PF00700:Bacterial flagellin C-terminal helical region	4	0.7874015748031495	0.003319527065876269	SMC03039, SMC03037, SMC03038, SMC03049	339	5	4693	11.074926253687314	0.6897625228826907	0.2921183817971117	0.2921183817971117
PFAM	PF00582:Universal stress protein family	4	0.7874015748031495	0.015788374528366123	SMA1231, SMA1149, SMA1158, SMA1147	339	8	4693	6.921828908554573	0.9963089605175565	1.0	1.0
PFAM	PF01315:Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain	4	0.7874015748031495	0.02243735237499815	SM_B21287, SM_B21556, SMA2037, SM_B20846	339	9	4693	6.152736807604064	0.9996604538333884	1.0	1.0
PFAM	PF00006:ATP synthase alpha/beta family, nucleotide-binding domain	3	0.5905511811023622	0.02815291864642743	SMC03025, SMC02501, SMC02796	339	4	4693	10.382743362831858	0.9999569004212316	1.0	1.0
PFAM	PF00011:Hsp20/alpha crystallin family	3	0.5905511811023622	0.02815291864642743	SM_B21294, SMA1118, SMC01106	339	4	4693	10.382743362831858	0.9999569004212316	1.0	1.0
PFAM	PF02738:Molybdopterin-binding domain of aldehyde dehydrogenase	4	0.7874015748031495	0.03958649427515796	SM_B21287, SM_B21556, SMA2037, SM_B20846	339	11	4693	5.034057388039688	0.9999993311833966	1.0	1.0
PFAM	PF00593:TonB dependent receptor	3	0.5905511811023622	0.04470851303351658	SMC02726, SMC02890, SMA2414	339	5	4693	8.306194690265485	0.9999998981785062	1.0	1.0
PFAM	PF00696:Amino acid kinase family	3	0.5905511811023622	0.04470851303351658	SMC02099, SMA0697, SMC02438	339	5	4693	8.306194690265485	0.9999998981785062	1.0	1.0
PFAM	PF00296:Luciferase-like monooxygenase	3	0.5905511811023622	0.04470851303351658	SM_B21691, SM_B20100, SMC03968	339	5	4693	8.306194690265485	0.9999998981785062	1.0	1.0
PFAM	PF00510:Cytochrome c oxidase subunit III	3	0.5905511811023622	0.04470851303351658	SM_B21489, SMC01984, SMC01985	339	5	4693	8.306194690265485	0.9999998981785062	1.0	1.0
PFAM	PF07715:TonB-dependent Receptor Plug Domain	3	0.5905511811023622	0.04470851303351658	SMC02726, SMC02890, SMA2414	339	5	4693	8.306194690265485	0.9999998981785062	1.0	1.0
