Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	27	5.31496062992126	4.89E-17	SMC01308, SMC01307, SMC01804, SMC01309, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01301, SMC01304, SMC01303, SMC00335, SMC01305, SMC01319, SMC03859, SMC01292, SMC01291, SMC01293, SMC01296, SMC01295, SMC01297, SMC01299, SMC00565, SMC01313, SMC00567, SMC00568	244	53	3453	7.20932570368079	9.10E-15	9.10E-15	9.10E-15
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	27	5.31496062992126	8.15E-16	SMC01308, SMC01307, SMC01804, SMC01309, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01301, SMC01304, SMC01303, SMC00335, SMC01305, SMC01319, SMC03859, SMC01292, SMC01291, SMC01293, SMC01296, SMC01295, SMC01297, SMC01299, SMC00565, SMC01313, SMC00567, SMC00568	181	56	2419	6.44366614048935	3.03E-14	1.59E-14	1.51E-14
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	27	5.31496062992126	8.15E-16	SMC01308, SMC01307, SMC01804, SMC01309, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01301, SMC01304, SMC01303, SMC00335, SMC01305, SMC01319, SMC03859, SMC01292, SMC01291, SMC01293, SMC01296, SMC01295, SMC01297, SMC01299, SMC00565, SMC01313, SMC00567, SMC00568	181	56	2419	6.44366614048935	3.03E-14	1.59E-14	1.51E-14
UP_KW_CELLULAR_COMPONENT	KW-0966~Cell projection	23	4.52755905511811	4.36E-14	SMC03071, SMC03050, SMC03020, SMC03042, SMC03054, SMC03021, SMC03032, SMC03051, SMC03030, SMC03024, SMC03025, SMC03047, SMC03014, SMC03022, SMC03033, SMC03034, SMC03028, SMC03039, SMC03029, SMC03026, SMC03037, SMC03049, SMC03038	168	38	1771	6.38048245614035	5.22E-13	1.74E-13	1.31E-13
UP_KW_CELLULAR_COMPONENT	KW-0282~Flagellum	23	4.52755905511811	4.36E-14	SMC03071, SMC03050, SMC03020, SMC03042, SMC03054, SMC03021, SMC03032, SMC03051, SMC03030, SMC03024, SMC03025, SMC03047, SMC03014, SMC03022, SMC03033, SMC03034, SMC03028, SMC03039, SMC03029, SMC03026, SMC03037, SMC03049, SMC03038	168	38	1771	6.38048245614035	5.22E-13	1.74E-13	1.31E-13
UP_KW_CELLULAR_COMPONENT	KW-0969~Cilium	23	4.52755905511811	4.36E-14	SMC03071, SMC03050, SMC03020, SMC03042, SMC03054, SMC03021, SMC03032, SMC03051, SMC03030, SMC03024, SMC03025, SMC03047, SMC03014, SMC03022, SMC03033, SMC03034, SMC03028, SMC03039, SMC03029, SMC03026, SMC03037, SMC03049, SMC03038	168	38	1771	6.38048245614035	5.22E-13	1.74E-13	1.31E-13
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	21	4.13385826771654	1.01E-13	SMC01308, SMC01319, SMC01307, SMC01309, SMC01292, SMC01293, SMC01296, SMC01295, SMC02692, SMC03242, SMC01297, SMC01300, SMC01299, SMC01321, SMC00565, SMC01313, SMC01304, SMC00567, SMC01303, SMC01305, SMC00568	181	38	2419	7.38572259377726	3.93E-12	1.31E-12	1.24E-12
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	25	4.92125984251969	4.18E-13	SMC01308, SMC01307, SMC01309, SMC02692, SMC03242, SMC01300, SMC01321, SMC01304, SMC01303, SMC00335, SMC01305, SMC01319, SMC01292, SMC03051, SMC01293, SMC01296, SMC01295, SMC01297, SMC01299, SMC00565, SMC01313, SMC00567, SMC00324, SMC00568, SMC01778	181	59	2419	5.66298342541437	1.63E-11	4.07E-12	3.86E-12
GOTERM_BP_DIRECT	GO:0006412~translation	27	5.31496062992126	4.86E-13	SMC01308, SMC01307, SMC01804, SMC01309, SMC01283, SMC02692, SMC03881, SMC01300, SMC01321, SMC01301, SMC01304, SMC01303, SMC00335, SMC01305, SMC01319, SMC03859, SMC01292, SMC01291, SMC01293, SMC01296, SMC01295, SMC01297, SMC01299, SMC00565, SMC01313, SMC00567, SMC00568	178	61	2016	5.01307791490146	5.84E-11	5.79E-11	5.54E-11
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	18	3.54330708661417	3.79E-11	SMC01308, SMC01307, SMC01309, SMC01292, SMC01293, SMC01296, SMC01295, SMC03242, SMC01297, SMC01300, SMC01299, SMC00565, SMC01313, SMC01304, SMC00567, SMC01303, SMC01305, SMC00568	244	36	3453	7.07581967213115	7.06E-09	3.53E-09	3.53E-09
UP_KW_CELLULAR_COMPONENT	KW-0975~Bacterial flagellum	14	2.75590551181102	1.69E-10	SMC03020, SMC03021, SMC03032, SMC03030, SMC03024, SMC03047, SMC03014, SMC03034, SMC03028, SMC03039, SMC03029, SMC03037, SMC03049, SMC03038	168	18	1771	8.19907407407407	2.03E-09	5.07E-10	3.80E-10
GOTERM_BP_DIRECT	GO:0071973~bacterial-type flagellum-dependent cell motility	13	2.55905511811024	6.17E-10	SMC03020, SMC03032, SMC03030, SMC03024, SMC03047, SMC03014, SMC03034, SMC03028, SMC03039, SMC03029, SMC03037, SMC03049, SMC03038	178	17	2016	8.66093853271646	7.41E-08	3.67E-08	3.52E-08
GOTERM_CC_DIRECT	GO:0005840~ribosome	19	3.74015748031496	5.03E-08	SMC01308, SMC01307, SMC03859, SMC01804, SMC01309, SMC01283, SMC01293, SMC01296, SMC01295, SMC02692, SMC01297, SMC01300, SMC01321, SMC00565, SMC01301, SMC00567, SMC01303, SMC00335, SMC00568	199	44	1971	4.27695294655094	1.46E-06	1.46E-06	1.36E-06
GOTERM_BP_DIRECT	GO:0006935~chemotaxis	10	1.96850393700787	1.08E-05	SMC03020, SMC03021, SMC03043, SMC03010, SMC03022, SMC03012, SMC03090, SMC03004, SMC01104, SMC03008	178	19	2016	5.96096984033117	0.001301020780862	4.30E-04	4.12E-04
GOTERM_MF_DIRECT	GO:0004129~cytochrome-c oxidase activity	9	1.77165354330709	1.27E-05	SMA1273, SMA1220, SMA1182, SM_B21487, SM_B21489, SMC01982, SMA0765, SMC01984, SMC01985	244	18	3453	7.07581967213115	0.002351599307782	7.85E-04	7.85E-04
UP_KW_BIOLOGICAL_PROCESS	KW-0145~Chemotaxis	8	1.5748031496063	2.85E-05	SMC03020, SMC03021, SMC03043, SMC03010, SMC03022, SMC03012, SMC03004, SMC03008	114	13	1339	7.2280701754386	0.001454050978493	0.001323633347174	0.001271726157088
