camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut.verb
,,,SMa0851,SMc01419,SMc01419
SM_b20759,SMa0851,SMc01419,SM_b21638,SinmeB_1263,SMa0851
SMc01420,SM_b21638,SM_b20759,SM_b21494,SMc00999,SM_b21638
SMc01432,SM_b20759,,SMc01432,SMc01432,
SMc01370,SM_b21494,SMc01420,SMc01370,SMc01370,SM_b21494
SMc00150,SMc01420,SMc00999,SM_b21584,SMc01187,SMc00999
SMc01068,SM_b21584,SMc01187,SMc01068,SMc00141,SM_b21584
SMc01790,SMc00150,SMc00141,SMc02392,SMc04109,SMc01187
SMc01288,SMc01790,SMc04109,SMc00060,SMc02123,SMc00141
SMc02376,SMc02392,SMc02123,SMc01188,SMc01068,SMc04109
SMc04204,SMc00060,SMc00150,SMc01288,SMc01288,SMc02123
SMc01319,SMc01298,SMc04204,SMc03137,SMc04282,
SMc00041,SMc03137,SMc04170,SMc04227,SMc01629,SMc01293
SM_b20941,SM_b20652,SMc04277,SMc04282,SMc01319,SMc01298
SMc01371,SMc04227,SMc01300,SMc02093,SMc04170,SMc03137
SM_b21296,SMc02093,SMc00041,SMc04280,SMc04277,SM_b20652
SMc01295,SMc01307,SMc01657,SMc01307,SMc01299,SMc01302
SMc01290,SMc01300,SMc01030,SMc01629,SMc01657,SMc04227
SM_b20595,SMc00041,SM_b20941,SMc01319,SMc01030,SMc02093
SMc00059,,SMc01295,SMc00475,SM_b20595,SMc01307
SMc04225,SM_b20941,SMc01290,,,SMc04170
SMc01190,SMc01371,SMc01011,SMc01287,SMc00059,SMc04277
SMc02094,SMc01295,SMc01374,SMc00190,SMc01292,
SMc02078,SMc01290,SMc01280,SM_b20595,SMc01190,SMc01030
SMc01308,SMc00190,SMc00995,SMc04112,SM_b21514,SMc01287
SMc01275,SMc04112,SMc03794,SMc04284,SMc01374,SMc00655
SMc00995,SMc04289,SMc01305,SMc00059,SMc02094,SMc04112
SM_b21157,SMc00156,SM_b22017,SMc04289,SMc02078,SMc04284
SMc01305,SMc01318,SMc01306,SMc00156,SMc01308,SMc04289
SMc01903,SMc01221,SMc03859,SMc01318,SMc01275,SMc01011
SMc00493,SMc04273,SMc00604,SMc01190,SMc01903,SMc01221
SMc00184,SMc04449,SMc04865,SMc02072,SM_b22017,SMc01292
,SMc02694,SMc01563,SMc04273,SMc01306,SMc02072
SMc01321,SMc04454,SMc02082,SM_b21514,SMc00175,SMc04273
