Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	20	4.987531172069826	1.5522575513890684E-13	SMC01308, SMC01319, SMC01307, SMC01309, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC01295, SMC01298, SMC01287, SMC01300, SMC01299, SMC01321, SMC01302, SMC01304, SMC01303, SMC01306, SMC01305	161	38	2425	7.927427263811704	5.897948796018682E-12	5.89857869527846E-12	5.89857869527846E-12
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	19	4.738154613466334	2.575332944470594E-13	SMC01308, SMC01307, SMC01309, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC04454, SMC01295, SMC01298, SMC01287, SMC01300, SMC01299, SMC01302, SMC01304, SMC01303, SMC01306, SMC01305	213	36	3453	8.555946791862285	4.404476783292921E-11	4.403819335044716E-11	4.403819335044716E-11
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	22	5.486284289276807	7.491186695750793E-13	SMC01308, SMC01319, SMC01307, SMC01318, SMC03859, SMC01309, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC01295, SMC01298, SMC01287, SMC01300, SMC01299, SMC01321, SMC01302, SMC01304, SMC01303, SMC01306, SMC01305	213	53	3453	6.729205421206484	1.2809053817619542E-10	6.404964624866929E-11	6.404964624866929E-11
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	22	5.486284289276807	8.156206875339239E-12	SMC01308, SMC01319, SMC01307, SMC01318, SMC03859, SMC01309, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC01295, SMC01298, SMC01287, SMC01300, SMC01299, SMC01321, SMC01302, SMC01304, SMC01303, SMC01306, SMC01305	161	56	2425	5.917258207630879	3.099376311155311E-10	1.0331195375429702E-10	1.0331195375429702E-10
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	22	5.486284289276807	8.156206875339239E-12	SMC01308, SMC01319, SMC01307, SMC01318, SMC03859, SMC01309, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC01295, SMC01298, SMC01287, SMC01300, SMC01299, SMC01321, SMC01302, SMC01304, SMC01303, SMC01306, SMC01305	161	56	2425	5.917258207630879	3.099376311155311E-10	1.0331195375429702E-10	1.0331195375429702E-10
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	22	5.486284289276807	2.6464157606856107E-11	SMC01308, SMC01319, SMC01307, SMC01309, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC04454, SMC01295, SMC01298, SMC01287, SMC01300, SMC00475, SMC01299, SMC01321, SMC01302, SMC01304, SMC01303, SMC01306, SMC01305	161	59	2425	5.616380671649647	1.0056382393486274E-9	2.51409497265133E-10	2.51409497265133E-10
GOTERM_BP_DIRECT	GO:0006412~translation	23	5.7356608478802995	3.357439717305562E-10	SMC01308, SMC01319, SMC01307, SMC01318, SMC03859, SMC01309, SMC01290, SMC01292, SMC01294, SMC01293, SMC01296, SMC04454, SMC01295, SMC01298, SMC01287, SMC01300, SMC01299, SMC01321, SMC01302, SMC01304, SMC01303, SMC01306, SMC01305	164	61	2016	4.634946021591364	3.928204583836248E-8	3.8946300720744523E-8	3.8946300720744523E-8
GOTERM_CC_DIRECT	GO:0005840~ribosome	15	3.7406483790523692	4.135708773273727E-6	SMC01308, SMC01307, SMC01318, SMC03859, SMC01309, SMC01294, SMC01293, SMC01296, SMC01295, SMC01298, SMC01287, SMC01300, SMC01321, SMC01302, SMC01303	161	44	1971	4.173489553924337	8.271092576850325E-5	8.271417546547454E-5	8.271417546547454E-5
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	12	2.9925187032418954	3.653679293469053E-4	SM_B21294, SM_B21183, SMC01280, SMC00913, SMC00949, SMC02376, SM_B22023, SMC02433, SM_B21566, SMA0744, SMA0745, SMC04040	117	41	1366	3.4171357098186363	0.022402209733670686	0.02265281161950813	0.02265281161950813
GOTERM_CC_DIRECT	GO:0015934~large ribosomal subunit	5	1.2468827930174564	0.0012065051227051204	SMC01319, SMC01299, SMC01304, SMC01306, SMC01290	161	7	1971	8.744454303460515	0.023855519981700102	0.012065051227051204	0.012065051227051204
UP_KW_LIGAND	KW-0547~Nucleotide-binding	34	8.478802992518704	0.0071206294215503865	SM_B21183, SMC00913, SM_B21566, SM_B21523, SMC04282, SMC03065, SMC04011, SMC00590, SMC00493, SMC02376, SMC00154, SMC02433, SMC02599, SMC00475, SMC01288, SMA0744, SMC00059, SMC01005, SMC01169, SMC01326, SMC02559, SM_B20363, SM_B20049, SMC00090, SMC04462, SMC01192, SM_B20937, SMA2331, SMC01035, SMC02325, SMC01235, SMC01279, SMC01215	80	283	981	1.473233215547703	0.1636035471467835	0.17801573553875966	0.17801573553875966
GOTERM_BP_DIRECT	GO:0042026~protein refolding	4	0.997506234413965	0.008649133460090329	SMC00913, SMC02433, SM_B21566, SMA0744	164	6	2016	8.195121951219512	0.6380865748331582	0.501649740685239	0.501649740685239
INTERPRO	IPR009000:Translation elongation/initiation factor/Ribosomal, beta-barrel	5	1.2468827930174564	0.008911477234829416	SMC01309, SMC00475, SMC01326, SMC00090	305	14	4890	5.725995316159251	0.9959703506332951	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical	86	21.44638403990025	0.009323210001141474	SMC00813, SMC02517, SM_B20011, SMC01509, SM_B20571, SM_B20611, SM_B20726, SMA1691, SMC00051, SMC00053, SMC02871, SMC01102, SMC02830, SMA1216, SMC01464, SMC01024, SMC00059, SMC02872, SMA0766, SMA1179, SMC01985, SMC02516, SMA1211, SMC00898, SMA1213, SMC00988, SMC03939, SM_B20941, SMC03181, SMC00190, SMC00060, SMC02240, SMA1363, SM_B20937, SMA2331, SMC00185, SMC04147, SMC02882, SMC03971, SMC01111, SMC04227, SMC01036, SMC01597, SMC03018, SMC01634, SM_B21487, SM_B21489, SM_B20477, SM_B21205, SM_B21204, SM_B20478, SM_B20997, SMC04280, SMA1672, SMC02174, SMC03062, SMA1232, SMA1198, SMC03063, SMC00195, SMC02255, SMC02254, SMC00158, SMA1437, SMA2367, SM_B20071, SMC01723, SM_B20282, SMC02506, SMC02507, SM_B20327, SM_B20326, SM_B20725, SMC01180, SMA1780, SMA1220, SMC03794, SMC03036, SMC02464, SMC01498, SMC01497, SMC04204, SMC01851, SMC04406, SMA1301, SMA0136	268	1107	4348	1.2603918078981784	0.9615999385446737	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:ABC transmembrane type-1	21	5.236907730673317	0.009884206234537113	SM_B20282, SMC02517, SM_B20571, SM_B20477, SM_B20941, SM_B20478, SM_B20327, SM_B20326, SMC03062, SMA1363, SM_B20937, SMC03063, SMC00185, SMC02871, SMC02830, SMC01498, SMC01497, SMC02872, SMA1437, SMC01634, SMC02516	268	187	4348	1.8219331151727993	0.9684700059526284	1.0	1.0
UP_SEQ_FEATURE	NP_BIND:FAD	5	1.2468827930174564	0.01106828783310624	SMC02053, SMC00154, SMC02599, SMC01035, SMA1191	268	15	4348	5.407960199004974	0.9792090813267629	1.0	1.0
GOTERM_MF_DIRECT	GO:0020037~heme binding	9	2.2443890274314215	0.011391307505477956	SMA1232, SMA1220, SMC00086, SMC02464, SMA1216, SMC02124, SMA1191, SMA0766, SMA1213	213	51	3453	2.860811930405965	0.8590137916040094	0.5239725843079114	0.5239725843079114
GOTERM_MF_DIRECT	GO:0042626~ATPase activity, coupled to transmembrane movement of substances	17	4.239401496259352	0.012256668638781552	SMC02508, SMC02506, SMC02507, SM_B21344, SM_B20941, SM_B20478, SM_B21206, SMC03065, SMC00590, SM_B20937, SMC00185, SMC04454, SMC02474, SMC00175, SMA1864, SMC01235, SMC01499	213	142	3453	1.9407855584209484	0.8786213863978979	0.5239725843079114	0.5239725843079114
UP_KW_MOLECULAR_FUNCTION	KW-0143~Chaperone	7	1.7456359102244388	0.018746659716416834	SM_B21183, SMC00913, SM_B22023, SMC02433, SM_B21566, SMA0744, SMA0745	161	33	2425	3.194993412384717	0.512826530766213	0.14247461384476792	0.14247461384476792
UP_SEQ_FEATURE	BINDING:FAD	4	0.997506234413965	0.026139156047804767	SMC00154, SMC02599, SMC01035, SMA1191	268	11	4348	5.899592944369064	0.999900706055318	1.0	1.0
UP_KW_DOMAIN	KW-0677~Repeat	10	2.493765586034913	0.03014118116758415	SMC01280, SMC02094, SMC03112, SMC04454, SMC02433, SMC02325, SMC01235, SMC01215, SMC02093, SMA1213	131	61	1777	2.2237517206857715	0.26364847348771714	0.3014118116758415	0.3014118116758415
UP_SEQ_FEATURE	DOMAIN:tr-type G	3	0.7481296758104738	0.03319925233430017	SMC01326, SMC00090	268	5	4348	9.734328358208955	0.9999921065256442	1.0	1.0
INTERPRO	IPR027409:GroEL-like apical domain	3	0.7481296758104738	0.03398434480813698	SMC00913, SM_B21566, SMA0744	305	5	4890	9.61967213114754	0.9999999994373409	1.0	1.0
INTERPRO	IPR027410:TCP-1-like chaperonin intermediate domain	3	0.7481296758104738	0.03398434480813698	SMC00913, SM_B21566, SMA0744	305	5	4890	9.61967213114754	0.9999999994373409	1.0	1.0
INTERPRO	IPR001844:Chaperonin Cpn60	3	0.7481296758104738	0.03398434480813698	SMC00913, SM_B21566, SMA0744	305	5	4890	9.61967213114754	0.9999999994373409	1.0	1.0
INTERPRO	IPR027413:GroEL-like equatorial domain	3	0.7481296758104738	0.03398434480813698	SMC00913, SM_B21566, SMA0744	305	5	4890	9.61967213114754	0.9999999994373409	1.0	1.0
INTERPRO	IPR018370:Chaperonin Cpn60, conserved site	3	0.7481296758104738	0.03398434480813698	SMC00913, SM_B21566, SMA0744	305	5	4890	9.61967213114754	0.9999999994373409	1.0	1.0
INTERPRO	IPR002423:Chaperonin Cpn60/TCP-1	3	0.7481296758104738	0.03398434480813698	SMC00913, SM_B21566, SMA0744	305	5	4890	9.61967213114754	0.9999999994373409	1.0	1.0
INTERPRO	IPR000795:Elongation factor, GTP-binding domain	4	0.997506234413965	0.03440427490229495	SM_B20049, SMC01326, SMC00090	305	12	4890	5.3442622950819665	0.9999999995695468	1.0	1.0
