camp_lodi,camp_verb,lodi_verb
,,SMc01419
SM_b20759,SMc01419,SinmeB_1263
SMc01420,SM_b20759,SMc00999
SMc01432,,SMc01432
SMc01370,SMc01420,SMc01370
SMc00150,SMc00999,SMc01187
SMc01068,SMc01187,SMc00141
SMc01790,SMc00141,SMc04109
SMc01288,SMc04109,SMc02123
SMc02376,SMc02123,SMc01068
SMc04204,SMc00150,SMc01288
SMc01319,SMc04204,SMc04282
SMc00041,SMc04170,SMc01629
SM_b20941,SMc04277,SMc01319
SMc01371,SMc01300,SMc04170
SM_b21296,SMc00041,SMc04277
SMc01295,SMc01657,SMc01299
SMc01290,SMc01030,SMc01657
SM_b20595,SM_b20941,SMc01030
SMc00059,SMc01295,SM_b20595
SMc04225,SMc01290,
SMc01190,SMc01011,SMc00059
SMc02094,SMc01374,SMc01292
SMc02078,SMc01280,SMc01190
SMc01308,SMc00995,SM_b21514
SMc01275,SMc03794,SMc01374
SMc00995,SMc01305,SMc02094
SM_b21157,SM_b22017,SMc02078
SMc01305,SMc01306,SMc01308
SMc01903,SMc03859,SMc01275
SMc00493,SMc00604,SMc01903
SMc00184,SMc04865,SM_b22017
,SMc01563,SMc01306
SMc01321,SMc02082,SMc00175
SM_b21196,SMc04290,SMc00493
SMc00191,SMc02092,
SMc02597,SMc02601,SM_b21196
SMc04865,SMc01180,SMc00191
SMc02082,SMc01465,SMc00604
SMc01180,SMc01215,SMc01563
SMc00158,SMc02062,SMc04290
SMc00776,SMc00165,SMc02092
SMc02060,SMc00195,SMc01465
SMc00942,SMc02882,SMc00235
SMc02599,SMc02060,SMc00158
SMc02098,SMc00942,SMc01215
SM_b21640,SMc02599,SMc02062
SMc00134,SMc02098,SMc00165
SMc00517,SM_b21640,SMc01235
SM_b21091,SMc00134,SM_b21205
SMc02553,SMc00517,SMc04297
SMc02445,SM_b21091,SM_b21207
SMc04297,SMc02445,SM_b20838
SM_b21207,SM_b21205,SM_b21294
SM_b21208,SMc04293,SMc01294
SMc01294,SMc00976,SMc00185
SMc00148,SM_b20838,SM_b21344
SMc01547,SM_b21208,SMc00148
SMc03143,SM_b21294,SMc03143
SMc01012,SMc00185,SMc01008
SMc01008,SM_b21344,SMc01256
SMc00276,SMc01547,SMc00936
SM_b20758,SMc01256,SMc02053
SMc01013,SMc00276,SM_b20758
SMc01225,SMc00936,SMc01013
SMc03143,SMc01225,SMc04040
SMc00277,SMc00154,SMc00469
SMc04278,SMc04040,SM_b21294
SMa0744,SMc00469,SMc03143
SMc01206,SM_b21204,SMc00277
SMc01169,SM_b21294,SMa0744
SM_b21639,SMc04278,SMc01296
SMc01005,SMc02558,SMc01326
SMc04406,SMc01296,SMc01296
SMc01192,SMc01326,SMc00302
SMc01169,SMc00302,SMc01169
SMc01032,SM_b22023,SM_b21639
SMc01013,SMc01005,SMc04406
SMc01032,SMc00302,SMc04406
SMc00916,SM_b21344,SMc00302
SMa0744,SMc01192,SM_b21344
SMc01225,SMc01032,SMc02558
SMc00916,SMc04040,SMc01169
SM_b21566,SMc01032,SMc01013
SMc00913,SMc00916,SMc04040
SMc01304,SMc01547,SMa0744
SMc01206,SMc01225,SMc00913
SMc01005,SMc00916,SMc01304
SMc01192,SM_b21566,SMc00469
SMc04278,SMc00469,SM_b20758
SMc02053,SMc01206,SMc01326
SM_b21204,SMc01005,SMc02053
SMc01008,SMc01192,SMc00154
SMc00276,SMc01326,SMc00936
SMc02888,SMc04278,SM_b22023
SMc02467,SMc00154,SMc01256
SM_b20937,SM_b21204,SMc01008
SMc04146,SMc00936,SMc00185
SM_b20206,SMc01256,SMc00148
SMc00148,SM_b22023,SMc02888
SMc01111,SMc00276,SMc02467
SMc01294,SMc00185,SMc01294
SMa1746,SMc02509,SMc01038
SMc01038,SM_b20997,SMc04146
SMc00679,SMc00053,SM_b20206
SMc02687,SMa1225,SMc01111
SMc01012,SM_b21489,SM_b20194
SMc01501,SMc01012,SMa1746
SMc03298,SMa2353,SMc02509
SMc00397,SMc01597,SMc00679
SMc01224,SM_b20239,SMc02687
SMc02391,SMc01517,SMc01224
SMc04297,SMc00397,SMc02391
SMc03112,SMc00085,SMc00053
SMc00400,SMc02830,SMa1225
SMc01597,SM_b20049,SMc01501
SM_b20291,SMa1780,SMc01985
SM_b21346,SMa1226,SMc03298
SMc02171,SM_b20170,SM_b21346
SMc01309,SM_b20838,SM_b20838
SMa1437,SMc01497,SMc02171
SM_b20049,SM_b21205,SM_b21489
SMa1226,SMc01312,SMc00400
SMc01497,SMc03980,SMa2353
SMc00277,SM_b20198,SM_b20291
SMa1811,SMc03181,SMa1437
SMc01033,SM_b20618,SM_b20239
,SMc02504,SMc00277
SMc03980,,SMc01033
SM_b21566,SMc01036,SMc01036
SM_b20618,SMc03939,SMa1780
SMc00086,SMc02575,SM_b20170
SMc03939,SMc04455,
SMc02508,SMc03017,
SMc03017,SM_b20598,SMa1683
SM_b20598,SMa1691,SM_b20671
SMc01875,SM_b21522,SMc00086
SM_b21522,SMa1301,SMc02504
SMc03984,SM_b20011,SM_b20138
SMc01038,,SMc04455
SMc01279,SMc03065,SMc01036
SM_b20494,SMc03971,SMc02442
SMc00084,SMc00390,SMc01038
SMc04293,,SMc01312
SMc01509,,SMc03984
,SMc01312,SM_b20494
SMc00949,SMc01279,SM_b21523
SM_b20197,SMa0260,SMc02229
SM_b20169,SMc01509,SMc03971
SMa2331,SMc01509,SMa0260
SMc01279,SMc00857,SMc02575
SMc02174,SMa1178,SMc01033
SMc01304,SMc02174,SMc01033
SMc01033,SMc01309,SMc02229
SMc02391,SMc01279,SMc02442
SMc02171,SMc01723,SM_b21346
SM_b21346,SM_b21183,SMc01723
SMc00857,SMc01036,SMc02229
SMc01224,SMc02575,SMa1179
SMc00949,SMc02229,SMc00949
SMc03744,SMa1176,SMc01224
SMc01309,SMc03145,SM_b21183
SMc00913,SM_b20326,SMc00913
SMc00913,SMc03744,SM_b21639
SM_b21639,SM_b21208,SMc01312
SMc01851,SMc01498,SM_b20327
SMc03018,SM_b20477,SMc00988
SM_b21207,SMc03744,SMc01498
SMc01038,SMc01167,SMc00949
SM_b21346,SM_b20476,SMa1207
SM_b20476,SMc02872,SM_b21346
SMa1220,SMc03061,SMc02507
SMc02474,SMc00397,SM_b21487
SMa1232,SM_b20071,
SMa1363,SMc02872,SM_b20477
SMc02517,SMc03744,SMa1232
SMa1363,SM_b20476,SMa1213
SM_b21207,SinmeB_5232,SMc02854
SMc00813,SinmeB_2807,SM_b20071
SMc03744,SMc02229,SMc00988
SM_b21208,SM_b21183,SMc02369
SMc03744,SMa1216,SMc02872
SM_b20476,SMa0766,SMa0814
SMc02507,SMc03062,SMc02369
SMc02474,SMa1207,SMc00813
SMc02854,SMc00193,SinmeB_5232
SMc03018,SMa1198,SM_b20407
SMa1216,SMc03062,SMc02229
SMc00277,SMc02240,SMc02254
SM_b20615,SMc02240,SMc03018
SM_b21639,SMa1195,SMc03063
SM_b20044,SM_b22023,SMc02517
SM_b20615,SMa0766,SM_b20044
SM_b21346,SM_b20725,SMc00949
SMc03063,SM_b20071,SM_b22023
SMa1220,SMc00193,SMc03063
SMc00949,SMc00193,SMa1220
SMa1232,SM_b22022,SM_b20071
SMc02391,SM_b22022,SM_b21639
SMc02254,SM_b22022,SM_b20571
SM_b20724,SM_b22022,SinmeB_2807
SM_b20724,SM_b22022,SM_b22023
SM_b21207,SM_b22022,SMa1176
SMc00813,SM_b22022,SMc02391
SM_b20724,SM_b22022,SMa0766
SMc00193,SM_b22022,SMc02254
SM_b22022,SM_b22022,SM_b20725
SM_b22022,SM_b22022,SM_b20725
SM_b22022,SM_b22022,SM_b21207
SM_b22022,SM_b22022,SM_b20725
SM_b22022,SM_b22022,SM_b20071
SM_b22022,SM_b22022,SMc00813
SM_b22022,SM_b22022,SinmeB_4058
