Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR018370:Chaperonin Cpn60, conserved site	3	1.0380622837370241	0.017153945919229505	SMC00913, SM_B21566, SMA0744	213	5	4890	13.774647887323942	0.9995391481970854	1.0	1.0
INTERPRO	IPR002423:Chaperonin Cpn60/TCP-1	3	1.0380622837370241	0.017153945919229505	SMC00913, SM_B21566, SMA0744	213	5	4890	13.774647887323942	0.9995391481970854	1.0	1.0
INTERPRO	IPR027413:GroEL-like equatorial domain	3	1.0380622837370241	0.017153945919229505	SMC00913, SM_B21566, SMA0744	213	5	4890	13.774647887323942	0.9995391481970854	1.0	1.0
INTERPRO	IPR001844:Chaperonin Cpn60	3	1.0380622837370241	0.017153945919229505	SMC00913, SM_B21566, SMA0744	213	5	4890	13.774647887323942	0.9995391481970854	1.0	1.0
INTERPRO	IPR027410:TCP-1-like chaperonin intermediate domain	3	1.0380622837370241	0.017153945919229505	SMC00913, SM_B21566, SMA0744	213	5	4890	13.774647887323942	0.9995391481970854	1.0	1.0
INTERPRO	IPR027409:GroEL-like apical domain	3	1.0380622837370241	0.017153945919229505	SMC00913, SM_B21566, SMA0744	213	5	4890	13.774647887323942	0.9995391481970854	1.0	1.0
INTERPRO	IPR009056:Cytochrome c domain	4	1.384083044982699	0.06744899347564642	SMC00086, SMA1216, SMA0766, SMA1213	213	22	4890	4.1741357234314975	0.9999999999999658	1.0	1.0
INTERPRO	IPR000515:Binding-protein-dependent transport systems inner membrane component	13	4.498269896193772	0.07609333001915711	SMC02517, SM_B20571, SM_B20477, SM_B20327, SM_B20326, SMC03062, SMA1363, SMC03063, SMC02830, SMC01498, SMC01497, SMC02872, SMA1437	213	175	4890	1.7054325955734406	0.9999999999999994	1.0	1.0
INTERPRO	IPR004160:Translation elongation factor EFTu/EF1A, C-terminal	2	0.6920415224913495	0.08483649911478694	SMC01326	213	2	4890	22.95774647887324	1.0	1.0	1.0
INTERPRO	IPR004541:Translation elongation factor EFTu/EF1A, bacterial/organelle	2	0.6920415224913495	0.08483649911478694	SMC01326	213	2	4890	22.95774647887324	1.0	1.0	1.0
INTERPRO	IPR000795:Elongation factor, GTP-binding domain	3	1.0380622837370241	0.09278979421409955	SM_B20049, SMC01326	213	12	4890	5.73943661971831	1.0	1.0	1.0
