Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	14	4.844290657439446	3.978799668905576E-9	SMC01308, SMC01319, SMC01309, SMC01290, SMC01292, SMC01294, SMC01296, SMC01295, SMC01300, SMC01299, SMC01321, SMC01304, SMC01306, SMC01305	112	38	2425	7.9769736842105265	1.2732158005679395E-7	1.2732158940497844E-7	1.1936399006716728E-7
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	15	5.190311418685121	1.3869466128827312E-8	SMC01308, SMC01319, SMC03859, SMC01309, SMC01290, SMC01292, SMC01294, SMC01296, SMC01295, SMC01300, SMC01299, SMC01321, SMC01304, SMC01306, SMC01305	144	53	3453	6.786556603773585	1.6782040053175962E-6	1.6782054015881048E-6	1.6782054015881048E-6
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	15	5.190311418685121	9.040310554889177E-8	SMC01308, SMC01319, SMC03859, SMC01309, SMC01290, SMC01292, SMC01294, SMC01296, SMC01295, SMC01300, SMC01299, SMC01321, SMC01304, SMC01306, SMC01305	112	56	2425	5.799585459183674	2.8928953241802446E-6	9.642997925215122E-7	9.040310554889176E-7
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	15	5.190311418685121	9.040310554889177E-8	SMC01308, SMC01319, SMC03859, SMC01309, SMC01290, SMC01292, SMC01294, SMC01296, SMC01295, SMC01300, SMC01299, SMC01321, SMC01304, SMC01306, SMC01305	112	56	2425	5.799585459183674	2.8928953241802446E-6	9.642997925215122E-7	9.040310554889176E-7
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	12	4.1522491349480966	1.0336093938493834E-7	SMC01308, SMC01292, SMC01294, SMC01309, SMC01296, SMC01295, SMC01300, SMC01299, SMC01304, SMC01306, SMC01290, SMC01305	144	36	3453	7.9930555555555545	1.2506596101191647E-5	6.2533368327887695E-6	6.2533368327887695E-6
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	14	4.844290657439446	1.3198665661314535E-6	SMC01308, SMC01319, SMC01309, SMC01290, SMC01292, SMC01294, SMC01296, SMC01295, SMC01300, SMC01299, SMC01321, SMC01304, SMC01306, SMC01305	112	59	2425	5.137711864406779	4.223486607257687E-5	1.0558932529051628E-5	9.898999245985902E-6
GOTERM_BP_DIRECT	GO:0006412~translation	15	5.190311418685121	2.3654994355641322E-6	SMC01308, SMC01319, SMC03859, SMC01309, SMC01290, SMC01292, SMC01294, SMC01296, SMC01295, SMC01300, SMC01299, SMC01321, SMC01304, SMC01306, SMC01305	111	61	2016	4.466105449712007	2.010474770816062E-4	1.987019525873871E-4	1.987019525873871E-4
GOTERM_CC_DIRECT	GO:0015934~large ribosomal subunit	5	1.7301038062283738	3.2481039305647216E-4	SMC01319, SMC01299, SMC01304, SMC01306, SMC01290	115	7	1971	12.24223602484472	0.005184325243812293	0.005196966288903555	0.005196966288903555
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	10	3.4602076124567476	4.285079237273482E-4	SM_B21294, SM_B21183, SMC01280, SMC00913, SMC00949, SMC02376, SM_B22023, SM_B21566, SMA0744, SMC04040	82	41	1366	4.063057703747769	0.020362612412792802	0.020568380338912715	0.020568380338912715
GOTERM_CC_DIRECT	GO:0005840~ribosome	8	2.768166089965398	0.011579713353878321	SMC01308, SMC03859, SMC01294, SMC01309, SMC01296, SMC01295, SMC01300, SMC01321	115	44	1971	3.116205533596838	0.17002233278600887	0.09263770683102657	0.09263770683102657
UP_SEQ_FEATURE	DOMAIN:ABC transmembrane type-1	16	5.536332179930796	0.014332075210980948	SMC02517, SM_B20571, SM_B20477, SM_B20941, SM_B20327, SM_B20326, SMC03062, SMA1363, SM_B20937, SMC03063, SMC00185, SMC02830, SMC01498, SMC01497, SMC02872, SMA1437	189	187	4348	1.9683671448377331	0.9775532147980652	1.0	1.0
INTERPRO	IPR001844:Chaperonin Cpn60	3	1.0380622837370241	0.017153945919229505	SMC00913, SM_B21566, SMA0744	213	5	4890	13.774647887323942	0.9995391481970854	1.0	1.0
INTERPRO	IPR027413:GroEL-like equatorial domain	3	1.0380622837370241	0.017153945919229505	SMC00913, SM_B21566, SMA0744	213	5	4890	13.774647887323942	0.9995391481970854	1.0	1.0
INTERPRO	IPR027409:GroEL-like apical domain	3	1.0380622837370241	0.017153945919229505	SMC00913, SM_B21566, SMA0744	213	5	4890	13.774647887323942	0.9995391481970854	1.0	1.0
INTERPRO	IPR027410:TCP-1-like chaperonin intermediate domain	3	1.0380622837370241	0.017153945919229505	SMC00913, SM_B21566, SMA0744	213	5	4890	13.774647887323942	0.9995391481970854	1.0	1.0
INTERPRO	IPR018370:Chaperonin Cpn60, conserved site	3	1.0380622837370241	0.017153945919229505	SMC00913, SM_B21566, SMA0744	213	5	4890	13.774647887323942	0.9995391481970854	1.0	1.0
INTERPRO	IPR002423:Chaperonin Cpn60/TCP-1	3	1.0380622837370241	0.017153945919229505	SMC00913, SM_B21566, SMA0744	213	5	4890	13.774647887323942	0.9995391481970854	1.0	1.0
GOTERM_MF_DIRECT	GO:0051082~unfolded protein binding	4	1.384083044982699	0.01809314893954729	SM_B21183, SMC00913, SM_B21566, SMA0744	144	14	3453	6.851190476190476	0.8902245769960281	0.7297570072284074	0.7297570072284074
UP_SEQ_FEATURE	TRANSMEM:Helical	61	21.10726643598616	0.025094059915635358	SMC00813, SMC02517, SM_B20011, SMC01509, SM_B20571, SMA1691, SMC00053, SMC02830, SMA1216, SMC00059, SMC02872, SMA0766, SMA1179, SMC01985, SMA1213, SMC00988, SMC03939, SM_B20941, SMC03181, SMC02240, SMA1363, SM_B20937, SMA2331, SMC00185, SMC02882, SMC03971, SMC01111, SMC01036, SMC01597, SMC03018, SM_B21487, SM_B21489, SM_B20477, SM_B21205, SM_B21204, SM_B20997, SMC02174, SMC03062, SMA1232, SMA1198, SMC03063, SMC00195, SMC02254, SMC00158, SMA1437, SM_B20071, SMC01723, SMC02507, SM_B20327, SM_B20326, SM_B20725, SMC01180, SMA1780, SMA1220, SMC03794, SMC01498, SMC01497, SMC04204, SMC01851, SMC04406, SMA1301	189	1107	4348	1.2676808955038403	0.9987491810511168	1.0	1.0
UP_KW_LIGAND	KW-0547~Nucleotide-binding	24	8.304498269896193	0.029596129918390435	SM_B21183, SMC00913, SM_B21566, SM_B20049, SM_B21523, SMC04282, SMC01192, SMC03065, SM_B20937, SMA2331, SMC00493, SMC02376, SMC00154, SMC02599, SMC01288, SMA0744, SMC01005, SMC00059, SMC01235, SMC01279, SMC01169, SMC01326, SMC01215	57	283	981	1.459549934907941	0.5137490340488917	0.7103071180413705	0.7103071180413705
GOTERM_MF_DIRECT	GO:0004129~cytochrome-c oxidase activity	4	1.384083044982699	0.03595396403015058	SMA1220, SM_B21487, SM_B21489, SMC01985	144	18	3453	5.328703703703703	0.9880922266939419	1.0	1.0
GOTERM_BP_DIRECT	GO:0042026~protein refolding	3	1.0380622837370241	0.03831059065487507	SMC00913, SM_B21566, SMA0744	111	6	2016	9.081081081081082	0.9638622726063251	1.0	1.0
