Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0051536~iron-sulfur cluster binding	12	1.4354066985645932	1.8805015243065694E-5	SINMEB_1153, SINMEB_2275, SINMEB_2274, SINMEB_0804, SINMEB_1051, SINMEB_0442, SINMEB_1479, SINMEB_2820, SINMEB_1803, SINMEB_0558, SINMEB_2405, SINMEB_6270	430	22	3453	4.380126849894292	0.005345143348759018	0.005359429344273723	0.005359429344273723
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	15	1.7942583732057416	0.004095299974155466	SINMEB_0991, SINMEB_0980, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_0759, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1878, SINMEB_0987	430	53	3453	2.2727073277753402	0.6894955276202825	0.5835802463171539	0.5835802463171539
GOTERM_MF_DIRECT	GO:0008233~peptidase activity	7	0.8373205741626795	0.023324669900407092	SINMEB_3164, SINMEB_5551, SINMEB_1012, SINMEB_1117, SINMEB_2017, SINMEB_0733, SINMEB_1118	430	19	3453	2.9585067319461444	0.9988010194821817	1.0	1.0
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	10	1.1961722488038278	0.028152378567754075	SINMEB_0759, SINMEB_0991, SINMEB_0980, SINMEB_1001, SINMEB_0990, SINMEB_1000, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_0987	430	36	3453	2.2306201550387597	0.999707934551526	1.0	1.0
GOTERM_MF_DIRECT	GO:0004176~ATP-dependent peptidase activity	4	0.4784688995215311	0.02853722120226842	SINMEB_0882, SINMEB_0461, SINMEB_0884, SINMEB_2208	430	6	3453	5.3534883720930235	0.9997391101700223	1.0	1.0
GOTERM_MF_DIRECT	GO:0050660~flavin adenine dinucleotide binding	10	1.1961722488038278	0.052369028415381255	SINMEB_1087, SINMEB_0041, SINMEB_1175, SINMEB_0154, SINMEB_3209, SINMEB_0487, SINMEB_1411, SINMEB_1604, SINMEB_0404, SINMEB_1080	430	40	3453	2.0075581395348836	0.9999997801202548	1.0	1.0
GOTERM_MF_DIRECT	GO:0004497~monooxygenase activity	4	0.4784688995215311	0.06610873396232213	SINMEB_4751, SINMEB_1502, SINMEB_2248, SINMEB_4471	430	8	3453	4.015116279069767	0.9999999965766647	1.0	1.0
GOTERM_MF_DIRECT	GO:0004252~serine-type endopeptidase activity	6	0.7177033492822966	0.0768426468474268	SINMEB_0882, SINMEB_0461, SINMEB_1012, SINMEB_0884, SINMEB_0642, SINMEB_2208	430	19	3453	2.5358629130966954	0.9999999998730642	1.0	1.0
GOTERM_MF_DIRECT	GO:0003690~double-stranded DNA binding	3	0.3588516746411483	0.07788229868606128	SINMEB_4990, SINMEB_4834, SINMEB_4989	430	4	3453	6.022674418604652	0.9999999999079312	1.0	1.0
GOTERM_MF_DIRECT	GO:0020037~heme binding	11	1.3157894736842104	0.09307714430487649	SINMEB_0591, SINMEB_0590, SINMEB_2344, SINMEB_3004, SINMEB_4491, SINMEB_2898, SINMEB_4272, SINMEB_6176, SINMEB_2346, SINMEB_2408, SINMEB_4659	430	51	3453	1.7320109439124487	0.9999999999991918	1.0	1.0
