Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0051536~iron-sulfur cluster binding	9	1.4018691588785046	6.688845442989955E-4	SINMEB_2275, SINMEB_2274, SINMEB_0804, SINMEB_1479, SINMEB_2820, SINMEB_1803, SINMEB_0558, SINMEB_6270, SINMEB_2405	335	22	3453	4.216689280868385	0.1540348269599302	0.1672211360747489	0.1672211360747489
UP_KW_MOLECULAR_FUNCTION	KW-0720~Serine protease	6	0.9345794392523363	0.0013626742904560233	SINMEB_0882, SINMEB_1012, SINMEB_3617, SINMEB_0884, SINMEB_0642, SINMEB_2208	235	10	2419	6.176170212765958	0.050497329180274275	0.05178162303732889	0.05178162303732889
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	13	2.0249221183800623	0.005915807147294686	SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0759, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1977, SINMEB_1878, SINMEB_0987	235	56	2419	2.389589665653495	0.20185759448794427	0.07493355719906603	0.07493355719906603
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	13	2.0249221183800623	0.005915807147294686	SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0759, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1977, SINMEB_1878, SINMEB_0987	235	56	2419	2.389589665653495	0.20185759448794427	0.07493355719906603	0.07493355719906603
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	11	1.7133956386292832	0.009895812258282132	SINMEB_3164, SINMEB_3031, SINMEB_5276, SINMEB_1012, SINMEB_0654, SINMEB_1876, SINMEB_0047, SINMEB_0884, SINMEB_3028, SINMEB_0642, SINMEB_0406	147	41	1339	2.4438360710137714	0.48127255212009346	0.6531236090466207	0.6531236090466207
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	12	1.8691588785046727	0.010859002338603665	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1878, SINMEB_0987	335	53	3453	2.333765136581245	0.9347544809504643	0.89791183295727	0.89791183295727
GOTERM_MF_DIRECT	GO:0050660~flavin adenine dinucleotide binding	10	1.557632398753894	0.01215434889798847	SINMEB_1087, SINMEB_0041, SINMEB_1175, SINMEB_0154, SINMEB_3209, SINMEB_0487, SINMEB_1411, SINMEB_1604, SINMEB_0404, SINMEB_1080	335	40	3453	2.576865671641791	0.9529810353210776	0.89791183295727	0.89791183295727
UP_KW_MOLECULAR_FUNCTION	KW-0645~Protease	15	2.336448598130841	0.013713480104919316	SINMEB_3256, SINMEB_3164, SINMEB_4242, SINMEB_1981, SINMEB_0882, SINMEB_5551, SINMEB_1012, SINMEB_3617, SINMEB_0884, SINMEB_1279, SINMEB_0642, SINMEB_0733, SINMEB_2208, SINMEB_1636, SINMEB_1118	235	77	2419	2.0052500690798563	0.40827801929820917	0.1302780609967335	0.1302780609967335
GOTERM_MF_DIRECT	GO:0004176~ATP-dependent peptidase activity	4	0.6230529595015576	0.014366589327316319	SINMEB_0882, SINMEB_0461, SINMEB_0884, SINMEB_2208	335	6	3453	6.871641791044777	0.9731555716674118	0.89791183295727	0.89791183295727
INTERPRO	IPR003959:ATPase, AAA-type, core	5	0.778816199376947	0.016782350065724563	SINMEB_3164, SINMEB_4473, SINMEB_2221, SINMEB_0884, SINMEB_1118	477	11	4890	4.659805603201829	0.9999990921261716	1.0	1.0
