Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0051536~iron-sulfur cluster binding	9	1.4018691588785	6.69E-04	SINMEB_2275, SINMEB_2274, SINMEB_0804, SINMEB_1479, SINMEB_2820, SINMEB_1803, SINMEB_0558, SINMEB_6270, SINMEB_2405	335	22	3453	4.21668928086839	0.15403482695993	0.167221136074749	0.167221136074749
UP_KW_MOLECULAR_FUNCTION	KW-0720~Serine protease	6	0.934579439252336	0.001362674290456	SINMEB_0882, SINMEB_1012, SINMEB_3617, SINMEB_0884, SINMEB_0642, SINMEB_2208	235	10	2419	6.17617021276596	0.050497329180274	0.051781623037329	0.051781623037329
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	13	2.02492211838006	0.005915807147295	SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0759, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1977, SINMEB_1878, SINMEB_0987	235	56	2419	2.38958966565349	0.201857594487944	0.074933557199066	0.074933557199066
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	13	2.02492211838006	0.005915807147295	SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0759, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1977, SINMEB_1878, SINMEB_0987	235	56	2419	2.38958966565349	0.201857594487944	0.074933557199066	0.074933557199066
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	11	1.71339563862928	0.009895812258282	SINMEB_3164, SINMEB_3031, SINMEB_5276, SINMEB_1012, SINMEB_0654, SINMEB_1876, SINMEB_0047, SINMEB_0884, SINMEB_3028, SINMEB_0642, SINMEB_0406	147	41	1339	2.44383607101377	0.481272552120094	0.653123609046621	0.653123609046621
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	12	1.86915887850467	0.010859002338604	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0974, SINMEB_1006, SINMEB_0993, SINMEB_0989, SINMEB_1878, SINMEB_0987	335	53	3453	2.33376513658124	0.934754480950464	0.89791183295727	0.89791183295727
GOTERM_MF_DIRECT	GO:0050660~flavin adenine dinucleotide binding	10	1.55763239875389	0.012154348897989	SINMEB_1087, SINMEB_0041, SINMEB_1175, SINMEB_0154, SINMEB_3209, SINMEB_0487, SINMEB_1411, SINMEB_1604, SINMEB_0404, SINMEB_1080	335	40	3453	2.57686567164179	0.952981035321078	0.89791183295727	0.89791183295727
UP_KW_MOLECULAR_FUNCTION	KW-0645~Protease	15	2.33644859813084	0.013713480104919	SINMEB_3256, SINMEB_3164, SINMEB_4242, SINMEB_1981, SINMEB_0882, SINMEB_5551, SINMEB_1012, SINMEB_3617, SINMEB_0884, SINMEB_1279, SINMEB_0642, SINMEB_0733, SINMEB_2208, SINMEB_1636, SINMEB_1118	235	77	2419	2.00525006907986	0.408278019298209	0.130278060996734	0.130278060996734
GOTERM_MF_DIRECT	GO:0004176~ATP-dependent peptidase activity	4	0.623052959501558	0.014366589327316	SINMEB_0882, SINMEB_0461, SINMEB_0884, SINMEB_2208	335	6	3453	6.87164179104478	0.973155571667412	0.89791183295727	0.89791183295727
INTERPRO	IPR003959:ATPase, AAA-type, core	5	0.778816199376947	0.016782350065725	SINMEB_3164, SINMEB_4473, SINMEB_2221, SINMEB_0884, SINMEB_1118	477	11	4890	4.65980560320183	0.999999092126171	1	1
INTERPRO	IPR009642:Protein of unknown function DUF1236	4	0.623052959501558	0.023802170393446	SINMEB_4226, SINMEB_4917, SINMEB_1430, SINMEB_2161	477	7	4890	5.85804132973944	0.99999999748752	1	1
