Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	6	7.228915662650602	2.9183343400826136E-8	SINMEB_5740	13	6	456	35.07692307692308	1.751000476835074E-7	2.0428340380578296E-7	2.0428340380578296E-7
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	6	7.228915662650602	2.402865400216115E-7	SINMEB_5740	25	6	661	26.439999999999998	5.526575812320189E-6	5.5265904204970645E-6	5.5265904204970645E-6
INTERPRO	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA	6	7.228915662650602	3.2826722432028264E-7	SINMEB_5740	40	6	1044	26.099999999999998	2.855884538932596E-5	9.519749505288196E-6	9.519749505288196E-6
INTERPRO	IPR013597:Group II intron, maturase-specific	6	7.228915662650602	3.2826722432028264E-7	SINMEB_5740	40	6	1044	26.099999999999998	2.855884538932596E-5	9.519749505288196E-6	9.519749505288196E-6
INTERPRO	IPR000477:Reverse transcriptase	6	7.228915662650602	3.2826722432028264E-7	SINMEB_5740	40	6	1044	26.099999999999998	2.855884538932596E-5	9.519749505288196E-6	9.519749505288196E-6
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	6	7.228915662650602	3.983324119385675E-7	SINMEB_5740	38	6	950	25.0	1.8721451841563486E-5	1.8721623361112673E-5	1.8721623361112673E-5
GOTERM_MF_DIRECT	GO:0003723~RNA binding	6	7.228915662650602	8.206922066193549E-7	SINMEB_5740	25	7	661	22.662857142857142	1.8875750349089948E-5	9.43796037612258E-6	9.43796037612258E-6
UP_KW_MOLECULAR_FUNCTION	KW-0548~Nucleotidyltransferase	6	7.228915662650602	3.5612521923038395E-6	SINMEB_5740	13	12	456	17.53846153846154	2.1367322916687748E-5	1.2464382673063438E-5	1.2464382673063438E-5
UP_KW_MOLECULAR_FUNCTION	KW-0808~Transferase	7	8.433734939759036	0.03715886957085319	SINMEB_5740, SINMEB_5826	13	106	456	2.316400580551524	0.2032394833406468	0.08670402899865745	0.08670402899865745
UP_KW_BIOLOGICAL_PROCESS	KW-0535~Nitrogen fixation	3	3.614457831325301	0.0649680888481611	SINMEB_6162, SINMEB_6164, SINMEB_6170	10	12	246	6.1499999999999995	0.33171979458245093	0.3898085330889666	0.3898085330889666
INTERPRO	IPR002293:Amino acid/polyamine transporter I	2	2.4096385542168677	0.0733516271586274	SINMEB_5820, SINMEB_5816	40	2	1044	26.1	0.9986768710553562	1.0	1.0
GOTERM_BP_DIRECT	GO:0009399~nitrogen fixation	3	3.614457831325301	0.07645361364801431	SINMEB_6162, SINMEB_6164, SINMEB_6170	13	14	354	5.835164835164835	0.6715857546905833	0.6406137465788119	0.6406137465788119
GOTERM_MF_DIRECT	GO:0009055~electron carrier activity	3	3.614457831325301	0.07722206198691374	SINMEB_6166, SINMEB_6168, SINMEB_6182	25	13	661	6.1015384615384605	0.8425162805149775	0.5920358085663386	0.5920358085663386
UP_SEQ_FEATURE	TRANSMEM:Helical	15	18.072289156626507	0.08150833872035876	SINMEB_6204, SINMEB_6313, SINMEB_6008, SINMEB_5820, SINMEB_6166, SINMEB_6168, SINMEB_6201, SINMEB_6163, SINMEB_6162, SINMEB_6220, SINMEB_6165, SINMEB_6164, SINMEB_6291, SINMEB_5816, SINMEB_6218	38	251	950	1.4940239043824703	0.9816119685529884	1.0	1.0
GOTERM_BP_DIRECT	GO:0030255~protein secretion by the type IV secretion system	2	2.4096385542168677	0.09855596101212491	SINMEB_6220, SINMEB_6218	13	3	354	18.153846153846153	0.7660393621109536	0.6406137465788119	0.6406137465788119
