Annotation Cluster 1	Enrichment Score: 5.8854846403468075
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	6	7.228915662650602	2.9183343400826136E-8	SINMEB_5740	13	6	456	35.07692307692308	1.751000476835074E-7	2.0428340380578296E-7	2.0428340380578296E-7
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	6	7.228915662650602	2.402865400216115E-7	SINMEB_5740	25	6	661	26.439999999999998	5.526575812320189E-6	5.5265904204970645E-6	5.5265904204970645E-6
INTERPRO	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA	6	7.228915662650602	3.2826722432028264E-7	SINMEB_5740	40	6	1044	26.099999999999998	2.855884538932596E-5	9.519749505288196E-6	9.519749505288196E-6
INTERPRO	IPR000477:Reverse transcriptase	6	7.228915662650602	3.2826722432028264E-7	SINMEB_5740	40	6	1044	26.099999999999998	2.855884538932596E-5	9.519749505288196E-6	9.519749505288196E-6
INTERPRO	IPR013597:Group II intron, maturase-specific	6	7.228915662650602	3.2826722432028264E-7	SINMEB_5740	40	6	1044	26.099999999999998	2.855884538932596E-5	9.519749505288196E-6	9.519749505288196E-6
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	6	7.228915662650602	3.983324119385675E-7	SINMEB_5740	38	6	950	25.0	1.8721451841563486E-5	1.8721623361112673E-5	1.8721623361112673E-5
GOTERM_MF_DIRECT	GO:0003723~RNA binding	6	7.228915662650602	8.206922066193549E-7	SINMEB_5740	25	7	661	22.662857142857142	1.8875750349089948E-5	9.43796037612258E-6	9.43796037612258E-6
UP_KW_MOLECULAR_FUNCTION	KW-0548~Nucleotidyltransferase	6	7.228915662650602	3.5612521923038395E-6	SINMEB_5740	13	12	456	17.53846153846154	2.1367322916687748E-5	1.2464382673063438E-5	1.2464382673063438E-5
UP_KW_MOLECULAR_FUNCTION	KW-0808~Transferase	7	8.433734939759036	0.03715886957085319	SINMEB_5740, SINMEB_5826	13	106	456	2.316400580551524	0.2032394833406468	0.08670402899865745	0.08670402899865745

Annotation Cluster 2	Enrichment Score: 0.37705547600626255
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	TRANSMEM:Helical	15	18.072289156626507	0.08150833872035876	SINMEB_6204, SINMEB_6313, SINMEB_6008, SINMEB_5820, SINMEB_6166, SINMEB_6168, SINMEB_6201, SINMEB_6163, SINMEB_6162, SINMEB_6220, SINMEB_6165, SINMEB_6164, SINMEB_6291, SINMEB_5816, SINMEB_6218	38	251	950	1.4940239043824703	0.9816119685529884	1.0	1.0
UP_KW_DOMAIN	KW-0812~Transmembrane	10	12.048192771084338	0.3308908294979513	SINMEB_6204, SINMEB_5820, SINMEB_6166, SINMEB_6168, SINMEB_6162, SINMEB_6220, SINMEB_6165, SINMEB_6164, SINMEB_6291, SINMEB_6218	16	187	366	1.2232620320855614	0.8658826663349555	0.7803372206219993	0.7803372206219993
UP_KW_DOMAIN	KW-1133~Transmembrane helix	6	7.228915662650602	0.4682023323731995	SINMEB_6204, SINMEB_5820, SINMEB_6168, SINMEB_6162, SINMEB_6165, SINMEB_6164	16	108	366	1.2708333333333333	0.9574664001187619	0.7803372206219993	0.7803372206219993
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	14	16.867469879518072	0.6154315190973136	SINMEB_6204, SINMEB_6313, SINMEB_6008, SINMEB_5820, SINMEB_6166, SINMEB_6168, SINMEB_6201, SINMEB_6163, SINMEB_6162, SINMEB_6220, SINMEB_6165, SINMEB_6164, SINMEB_6291, SINMEB_6218	20	229	334	1.0209606986899562	0.9967652395806377	1.0	1.0
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	8	9.63855421686747	0.7559039764710631	SINMEB_6313, SINMEB_6008, SINMEB_6166, SINMEB_6201, SINMEB_6163, SINMEB_6162, SINMEB_6164, SINMEB_6291	20	140	334	0.9542857142857144	0.9997884737708582	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0472~Membrane	15	18.072289156626507	0.9304658405488688	SINMEB_6204, SINMEB_6313, SINMEB_6008, SINMEB_5820, SINMEB_6166, SINMEB_6168, SINMEB_6201, SINMEB_6163, SINMEB_6162, SINMEB_6220, SINMEB_6165, SINMEB_6164, SINMEB_6291, SINMEB_5816, SINMEB_6218	20	272	325	0.896139705882353	0.9999983744847595	1.0	1.0

