Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	6	7.2289156626506	2.92E-08	SINMEB_5740	13	6	456	35.0769230769231	1.75E-07	2.04E-07	2.04E-07
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	6	7.2289156626506	2.40E-07	SINMEB_5740	25	6	661	26.44	5.53E-06	5.53E-06	5.53E-06
INTERPRO	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA	6	7.2289156626506	3.28E-07	SINMEB_5740	40	6	1044	26.1	2.86E-05	9.52E-06	9.52E-06
INTERPRO	IPR013597:Group II intron, maturase-specific	6	7.2289156626506	3.28E-07	SINMEB_5740	40	6	1044	26.1	2.86E-05	9.52E-06	9.52E-06
INTERPRO	IPR000477:Reverse transcriptase	6	7.2289156626506	3.28E-07	SINMEB_5740	40	6	1044	26.1	2.86E-05	9.52E-06	9.52E-06
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	6	7.2289156626506	3.98E-07	SINMEB_5740	38	6	950	25	1.87E-05	1.87E-05	1.87E-05
GOTERM_MF_DIRECT	GO:0003723~RNA binding	6	7.2289156626506	8.21E-07	SINMEB_5740	25	7	661	22.6628571428571	1.89E-05	9.44E-06	9.44E-06
UP_KW_MOLECULAR_FUNCTION	KW-0548~Nucleotidyltransferase	6	7.2289156626506	3.56E-06	SINMEB_5740	13	12	456	17.5384615384615	2.14E-05	1.25E-05	1.25E-05
UP_KW_MOLECULAR_FUNCTION	KW-0808~Transferase	7	8.43373493975904	0.037158869570853	SINMEB_5740, SINMEB_5826	13	106	456	2.31640058055152	0.203239483340647	0.086704028998658	0.086704028998658
UP_KW_BIOLOGICAL_PROCESS	KW-0535~Nitrogen fixation	3	3.6144578313253	0.064968088848161	SINMEB_6162, SINMEB_6164, SINMEB_6170	10	12	246	6.15	0.331719794582451	0.389808533088967	0.389808533088967
INTERPRO	IPR002293:Amino acid/polyamine transporter I	2	2.40963855421687	0.073351627158627	SINMEB_5820, SINMEB_5816	40	2	1044	26.1	0.998676871055356	1	1
GOTERM_BP_DIRECT	GO:0009399~nitrogen fixation	3	3.6144578313253	0.076453613648014	SINMEB_6162, SINMEB_6164, SINMEB_6170	13	14	354	5.83516483516484	0.671585754690583	0.640613746578812	0.640613746578812
GOTERM_MF_DIRECT	GO:0009055~electron carrier activity	3	3.6144578313253	0.077222061986914	SINMEB_6166, SINMEB_6168, SINMEB_6182	25	13	661	6.10153846153846	0.842516280514977	0.592035808566339	0.592035808566339
UP_SEQ_FEATURE	TRANSMEM:Helical	15	18.0722891566265	0.081508338720359	SINMEB_6204, SINMEB_6313, SINMEB_6008, SINMEB_5820, SINMEB_6166, SINMEB_6168, SINMEB_6201, SINMEB_6163, SINMEB_6162, SINMEB_6220, SINMEB_6165, SINMEB_6164, SINMEB_6291, SINMEB_5816, SINMEB_6218	38	251	950	1.49402390438247	0.981611968552988	1	1
GOTERM_BP_DIRECT	GO:0030255~protein secretion by the type IV secretion system	2	2.40963855421687	0.098555961012125	SINMEB_6220, SINMEB_6218	13	3	354	18.1538461538462	0.766039362110954	0.640613746578812	0.640613746578812
