condition,strain,cumsum_50_tot_genes
Camporegio_lodi,1021,0.151376146788991
Camporegio_luteolina,1021,0.14954128440367
Camporegio_verbena,1021,0.147706422018349
Lodi_luteolina,1021,0.156880733944954
Lodi_verbena,1021,0.154128440366972
Luteolina_verbena,1021,0.153211009174312
Camporegio_lodi,AK83,0.155555555555556
Camporegio_luteolina,AK83,0.145185185185185
Camporegio_verbena,AK83,0.148148148148148
Lodi_luteolina,AK83,0.155555555555556
Lodi_verbena,AK83,0.158518518518519
Luteolina_verbena,AK83,0.14962962962963
Camporegio_lodi,BL225C,0.144439094848339
Camporegio_luteolina,BL225C,0.152623976889745
Camporegio_verbena,BL225C,0.148290804044295
Lodi_luteolina,BL225C,0.1478093403948
Lodi_verbena,BL225C,0.144439094848339
Luteolina_verbena,BL225C,0.15214251324025
Camporegio_lodi,hybrid,0.151329243353783
Camporegio_luteolina,hybrid,0.149284253578732
Camporegio_verbena,hybrid,0.152351738241309
Lodi_luteolina,hybrid,0.148261758691207
Lodi_verbena,hybrid,0.152351738241309
Luteolina_verbena,hybrid,0.151329243353783
