Annotation Cluster 1	Enrichment Score: 8.54823666731734
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	6	37.5	1.060566999080826E-10	SINMEB_5740	8	6	679	84.875	5.302835948128859E-10	5.30283499540413E-10	5.30283499540413E-10
INTERPRO	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA	6	37.5	2.8278901258119885E-10	SINMEB_5740	12	6	1034	86.16666666666666	3.6762571875570416E-9	1.2254190545185283E-9	1.2254190545185283E-9
INTERPRO	IPR000477:Reverse transcriptase	6	37.5	2.8278901258119885E-10	SINMEB_5740	12	6	1034	86.16666666666666	3.6762571875570416E-9	1.2254190545185283E-9	1.2254190545185283E-9
INTERPRO	IPR013597:Group II intron, maturase-specific	6	37.5	2.8278901258119885E-10	SINMEB_5740	12	6	1034	86.16666666666666	3.6762571875570416E-9	1.2254190545185283E-9	1.2254190545185283E-9
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	6	37.5	2.8314820588582996E-10	SINMEB_5740	11	6	916	83.27272727272727	2.8314817157593097E-9	2.8314820588582996E-9	2.8314820588582996E-9
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	6	37.5	2.967281454874902E-10	SINMEB_5740	7	6	431	61.57142857142857	8.901845927056229E-10	1.1869125819499607E-9	1.1869125819499607E-9
GOTERM_MF_DIRECT	GO:0003723~RNA binding	6	37.5	3.7027929013047635E-10	SINMEB_5740	8	7	679	72.75	1.8513962585231525E-9	9.256982253261909E-10	9.256982253261909E-10
UP_KW_MOLECULAR_FUNCTION	KW-0548~Nucleotidyltransferase	6	37.5	3.870749015844689E-8	SINMEB_5740	7	12	431	30.785714285714285	1.1612246619829847E-7	7.741498031689378E-8	7.741498031689378E-8
UP_KW_MOLECULAR_FUNCTION	KW-0808~Transferase	6	37.5	0.004029464179506646	SINMEB_5740	7	106	431	3.4851752021563343	0.01203974821852205	0.005372618906008861	0.005372618906008861

Annotation Cluster 2	Enrichment Score: 0.08318227506620067
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	3	18.75	0.7678371921633672	SINMEB_6204, SINMEB_5820, SINMEB_6162	4	239	348	1.0920502092050208	0.9874865246402392	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical	3	18.75	0.7879910471639253	SINMEB_6204, SINMEB_5820, SINMEB_6162	11	242	916	1.0323065364387678	0.9999998165397379	1.0	1.0
UP_KW_DOMAIN	KW-0812~Transmembrane	3	18.75	0.8265061273300336	SINMEB_6204, SINMEB_5820, SINMEB_6162	6	179	351	0.9804469273743017	0.9990939825439725	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0472~Membrane	3	18.75	0.9294678975210868	SINMEB_6204, SINMEB_5820, SINMEB_6162	4	261	312	0.896551724137931	0.9996491184849641	1.0	1.0

