camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut_verb
SinmeB_5993,SM2011_b21562,SM2011_b20938,SinmeB_5993,SinmeB_5993,SM2011_b21562
SM2011_b20939,SM2011_b20940,SinmeB_5989,SM2011_b21562,SM2011_b20939,SM2011_b20940
SM2011_b20938,SM2011_b20938,SM2011_b21566,SM2011_b20939,SinmeB_5989,SM2011_c03824
SinmeB_5805,SM2011_c03824,SinmeB_5991,SM2011_b20940,SinmeB_5805,SinmeB_5989
SinmeB_5817,SM2011_c03168,SinmeB_5801,SM2011_c03824,SinmeB_5817,SM2011_c03168
SinmeB_5801,SinmeB_5991,SM2011_c03169,SM2011_c03168,SM2011_b21566,SM2011_b21566
SM2011_c03167,SM2011_c01500,SinmeB_6191,SinmeB_5805,SM2011_c03167,SM2011_c01500
SinmeB_5991,SinmeB_5801,SM2011_c00703,SinmeB_5817,SM2011_c03169,SinmeB_6048
SM2011_c04293,SinmeB_6048,SM2011_c04293,SM2011_c01500,SinmeB_6191,SM2011_c03045
SM2011_c03005,SM2011_c03045,SinmeB_6015,SM2011_c03167,SM2011_c00703,SM2011_c03169
SM2011_c00198,SM2011_c04293,SM2011_c03037,SinmeB_6048,SM2011_c03005,SinmeB_6191
SM2011_c01318,SM2011_b22023,SM2011_c03825,SM2011_c03045,SinmeB_6015,SM2011_c00703
SM2011_c01497,SinmeB_5467,SM2011_c01090,SM2011_c03005,SM2011_c03037,SM2011_b22023
SM2011_c01310,SM2011_c00887,SM2011_c01318,SM2011_b22023,SM2011_c03825,SinmeB_6015
SM2011_c02636,SinmeB_5818,SM2011_c01286,SinmeB_5467,SM2011_c01090,SinmeB_5818
SM2011_c01305,SM2011_c00777,SM2011_c01497,SM2011_c00887,SM2011_c00198,SinmeB_5467
SM2011_c03009,SM2011_c01291,SM2011_c03011,SM2011_c00777,SM2011_c01286,SM2011_c03037
SinmeB_5816,SM2011_c01318,SM2011_c02636,SinmeB_5818,SM2011_c01310,SM2011_c03825
SinmeB_5723,SM2011_c02692,SinmeB_5811,SM2011_c01291,SM2011_c03011,SM2011_c01090
SM2011_c03770,SM2011_c01303,SM2011_c01305,SM2011_c00198,SM2011_c03009,SM2011_c00887
SM2011_c00975,SM2011_c01320,SM2011_c01317,SM2011_c02692,SinmeB_5811,SM2011_c00777
SM2011_c00567,SM2011_c02092,SM2011_c03807,SM2011_c01303,SM2011_c01317,SM2011_c01291
SM2011_c00409,SM2011_c01497,SM2011_c00888,SM2011_c01320,SM2011_c03807,SinmeB_5988
SM2011_c00045,SinmeB_6162,SM2011_c02073,SM2011_c02092,SM2011_c00888,SM2011_c02692
SM2011_c00185,SM2011_c02636,SM2011_c03020,SinmeB_6162,SM2011_c02073,SM2011_c03010
SM2011_c02376,SM2011_c01305,SinmeB_6050,SM2011_c03009,SinmeB_6050,SM2011_c01303
SM2011_c03038,SM2011_c03006,SinmeB_5816,SM2011_c01310,SM2011_c00293,SM2011_c01286
SM2011_c01298,SinmeB_5988,SM2011_c03012,SM2011_c03006,SM2011_c01777,SM2011_c01320
