Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	6	20.689655172413794	1.2679475191636005E-9	SINMEB_5740	11	6	679	61.72727272727273	1.3947422661253484E-8	1.3947422710799605E-8	1.3947422710799605E-8
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	6	20.689655172413794	2.7586060400642326E-9	SINMEB_5740	9	6	431	47.888888888888886	8.275818030867299E-9	1.103442416025693E-8	1.103442416025693E-8
INTERPRO	IPR000477:Reverse transcriptase	6	20.689655172413794	3.769165093556448E-9	SINMEB_5740	18	6	1034	57.444444444444436	1.0553661722312313E-7	3.517887420652685E-8	3.517887420652685E-8
INTERPRO	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA	6	20.689655172413794	3.769165093556448E-9	SINMEB_5740	18	6	1034	57.444444444444436	1.0553661722312313E-7	3.517887420652685E-8	3.517887420652685E-8
INTERPRO	IPR013597:Group II intron, maturase-specific	6	20.689655172413794	3.769165093556448E-9	SINMEB_5740	18	6	1034	57.444444444444436	1.0553661722312313E-7	3.517887420652685E-8	3.517887420652685E-8
GOTERM_MF_DIRECT	GO:0003723~RNA binding	6	20.689655172413794	4.410351892562943E-9	SINMEB_5740	11	7	679	52.90909090909091	4.851386936621793E-8	2.4256935409096187E-8	2.4256935409096187E-8
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	6	20.689655172413794	4.880840967224541E-9	SINMEB_5740	17	6	916	53.88235294117648	1.0249765503012043E-7	1.0249766031171537E-7	1.0249766031171537E-7
UP_KW_MOLECULAR_FUNCTION	KW-0548~Nucleotidyltransferase	6	20.689655172413794	3.5142006819260723E-7	SINMEB_5740	9	12	431	23.944444444444443	1.0542598339879916E-6	7.028401363852145E-7	7.028401363852145E-7
UP_KW_MOLECULAR_FUNCTION	KW-0808~Transferase	7	24.137931034482758	0.0035438452682448685	SINMEB_5740, SINMEB_5826	9	106	431	3.1624737945492662	0.010593903793462145	0.004725127024326491	0.004725127024326491
INTERPRO	IPR002293:Amino acid/polyamine transporter I	2	6.896551724137931	0.03262735904694027	SINMEB_5820, SINMEB_5816	18	2	1034	57.44444444444444	0.6049733310484045	0.2283915133285819	0.2283915133285819
