Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	6	20.6896551724138	1.2679475191636E-09	SINMEB_5740	11	6	679	61.7272727272727	1.39474226612535E-08	1.39474227107996E-08	1.39474227107996E-08
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	6	20.6896551724138	2.75860604006423E-09	SINMEB_5740	9	6	431	47.8888888888889	8.2758180308673E-09	1.10344241602569E-08	1.10344241602569E-08
INTERPRO	IPR000477:Reverse transcriptase	6	20.6896551724138	3.76916509355645E-09	SINMEB_5740	18	6	1034	57.4444444444444	1.05536617223123E-07	3.51788742065268E-08	3.51788742065268E-08
INTERPRO	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA	6	20.6896551724138	3.76916509355645E-09	SINMEB_5740	18	6	1034	57.4444444444444	1.05536617223123E-07	3.51788742065268E-08	3.51788742065268E-08
INTERPRO	IPR013597:Group II intron, maturase-specific	6	20.6896551724138	3.76916509355645E-09	SINMEB_5740	18	6	1034	57.4444444444444	1.05536617223123E-07	3.51788742065268E-08	3.51788742065268E-08
GOTERM_MF_DIRECT	GO:0003723~RNA binding	6	20.6896551724138	4.41035189256294E-09	SINMEB_5740	11	7	679	52.9090909090909	4.85138693662179E-08	2.42569354090962E-08	2.42569354090962E-08
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	6	20.6896551724138	4.88084096722454E-09	SINMEB_5740	17	6	916	53.8823529411765	1.0249765503012E-07	1.02497660311715E-07	1.02497660311715E-07
UP_KW_MOLECULAR_FUNCTION	KW-0548~Nucleotidyltransferase	6	20.6896551724138	3.51420068192607E-07	SINMEB_5740	9	12	431	23.9444444444444	1.05425983398799E-06	7.02840136385215E-07	7.02840136385215E-07
UP_KW_MOLECULAR_FUNCTION	KW-0808~Transferase	7	24.1379310344828	0.003543845268245	SINMEB_5740, SINMEB_5826	9	106	431	3.16247379454927	0.010593903793462	0.004725127024327	0.004725127024327
INTERPRO	IPR002293:Amino acid/polyamine transporter I	2	6.89655172413793	0.03262735904694	SINMEB_5820, SINMEB_5816	18	2	1034	57.4444444444444	0.604973331048404	0.228391513328582	0.228391513328582
