Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR000477:Reverse transcriptase	6	20.6896551724138	3.76916509355645E-09	SINMEB_5740	18	6	1034	57.4444444444444	1.05536617223123E-07	3.51788742065268E-08	3.51788742065268E-08
INTERPRO	IPR013597:Group II intron, maturase-specific	6	20.6896551724138	3.76916509355645E-09	SINMEB_5740	18	6	1034	57.4444444444444	1.05536617223123E-07	3.51788742065268E-08	3.51788742065268E-08
INTERPRO	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA	6	20.6896551724138	3.76916509355645E-09	SINMEB_5740	18	6	1034	57.4444444444444	1.05536617223123E-07	3.51788742065268E-08	3.51788742065268E-08
INTERPRO	IPR002293:Amino acid/polyamine transporter I	2	6.89655172413793	0.03262735904694	SINMEB_5820, SINMEB_5816	18	2	1034	57.4444444444444	0.604973331048404	0.228391513328582	0.228391513328582
												
												
												
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
PFAM	PF08388:Group II intron, maturase-specific domain	6	20.6896551724138	4.73216399165314E-09	SINMEB_5740	18	6	988	54.8888888888889	7.57146212393423E-08	3.78573119332251E-08	3.78573119332251E-08
PFAM	PF00078:Reverse transcriptase (RNA-dependent DNA polymerase)	6	20.6896551724138	4.73216399165314E-09	SINMEB_5740	18	6	988	54.8888888888889	7.57146212393423E-08	3.78573119332251E-08	3.78573119332251E-08
PFAM	PF13520:Amino acid permease	2	6.89655172413793	0.034134025735302	SINMEB_5820, SINMEB_5816	18	2	988	54.8888888888889	0.426319787091593	0.182048137254944	0.182048137254944
												
												
												
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
PROSITE	PS50878:PS50878	6	20.6896551724138	1.94697020753466E-09	SINMEB_5740	9	6	462	51.3333333333333	7.78788100674888E-09	7.78788083013864E-09	7.78788083013864E-09
												
												
												
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SUPFAM	SSF56672:DNA/RNA polymerases	6	20.6896551724138	8.02161624261209E-10	SINMEB_5740	11	6	744	67.6363636363636	5.61513169294869E-09	5.61513136982846E-09	5.61513136982846E-09
