CHART														
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR		
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	6	35.2941176470588	1.06056699908083E-10	SINMEB_5740	8	6	679	84.875	6.36340313775463E-10	6.36340199448496E-10	6.36340199448496E-10		
INTERPRO	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA	6	35.2941176470588	1.54374145119358E-10	SINMEB_5740	11	6	1034	94	2.46998688169242E-09	8.23328773969907E-10	8.23328773969907E-10		
INTERPRO	IPR013597:Group II intron, maturase-specific	6	35.2941176470588	1.54374145119358E-10	SINMEB_5740	11	6	1034	94	2.46998688169242E-09	8.23328773969907E-10	8.23328773969907E-10		
INTERPRO	IPR000477:Reverse transcriptase	6	35.2941176470588	1.54374145119358E-10	SINMEB_5740	11	6	1034	94	2.46998688169242E-09	8.23328773969907E-10	8.23328773969907E-10		
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	6	35.2941176470588	2.8314820588583E-10	SINMEB_5740	11	6	916	83.2727272727273	4.5303707452149E-09	4.53037129417328E-09	4.53037129417328E-09		
GOTERM_MF_DIRECT	GO:0003723~RNA binding	6	35.2941176470588	3.70279290130476E-10	SINMEB_5740	8	7	679	72.75	2.22167551022778E-09	1.11083787039143E-09	1.11083787039143E-09		
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	6	35.2941176470588	1.03651283160444E-09	SINMEB_5740	8	6	431	53.875	3.10953862658891E-09	4.14605132641776E-09	4.14605132641776E-09		
UP_KW_MOLECULAR_FUNCTION	KW-0548~Nucleotidyltransferase	6	35.2941176470588	1.33618107932449E-07	SINMEB_5740	8	12	431	26.9375	4.00854270221629E-07	2.67236215864897E-07	2.67236215864897E-07		
UP_KW_MOLECULAR_FUNCTION	KW-0808~Transferase	7	41.1764705882353	0.001108862500427	SINMEB_5740, SINMEB_5826	8	106	431	3.55778301886792	0.003322900136576	0.001478483333902	0.001478483333902		
														
														
														
CLUSTERING														
Annotation Cluster 1	Enrichment Score: 8.577986362209723													
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR		
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	6	35.2941176470588	1.06056699908083E-10	SINMEB_5740	8	6	679	84.875	6.36340313775463E-10	6.36340199448496E-10	6.36340199448496E-10		
